simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mFZS,mMBS,mMZS,mFBD,mFZD,mMBD,mMZD,fFBS,fFZS,fMBS,fMZS,fFBD,fFZD,fMBD,fMZD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.10430123728006913,1.0250218198575005,0.9207205825774314,"tutua, totua","tutua, totua",ɸuβu,ɸuβu,"tutua, totua",ɸuβu,ɸuβu,"totua, tutua",tua,tua,ɸuβu,ɸuβu,ɸuβu,ɸuβu,ɸuβu,"tutua, totua",tua,tua,"tutua, totua","tutua, totua","tutua, totua","totua, tutua","tutua, totua",ɸuβu,ɸuβu,tua,"tutua, totua","tutua, totua","tutua, totua",tua,"tutua, totua",tua,tua,ɸuβu,ɸuβu,ɸuβu,tua,ɸuβu,ɸuβu,ɸuβu,tua,tua,ɸuβu,ɸuβu,tua,"tutua, totua",ɸuβu,"tutua, totua","tutua, totua",ɸuβu,ɸuβu,"tutua, totua",tua,"tutua, totua",tua,ɸuβu,ɸuβu,ɸuβu,tua,"tutua, totua",tua,tua,ɸuβu,ɸuβu,tua,ɸuβu,tua,tua,"tutua, totua",ɸuβu,ɸuβu,"totua, tutua",ɸuβu,ɸuβu,"totua, tutua",ɸuβu,ɸuβu,ɸuβu,ɸuβu,ɸuβu,ɸuβu,ɸuβu,tua,tua,ɸuβu,tata,toa,tata,toa,tata,ᵑgʷau,tata,tata,tata,ᵑgʷau,toa,ᵑgʷau,tata,ᵑgʷau,ᵑgʷau,tata,tata,tata,ᵑgʷau,toa
1,0.04837808473162697,1.0439676895764558,0.9955896048448288,tua,tua,"tutua, totua",tua,"tutua, totua","tutua, totua",ɸuβu,"tutua, totua",ɸuβu,ɸuβu,ɸuβu,tua,"tutua, totua",ɸuβu,ɸuβu,tua,tua,"tutua, totua","totua, tutua",ɸuβu,"tutua, totua","totua, tutua",ɸuβu,"tutua, totua","totua, tutua",ɸuβu,ɸuβu,ɸuβu,"tutua, totua",ɸuβu,"tutua, totua","tutua, totua",tua,ɸuβu,tua,tua,tua,tua,ɸuβu,tua,ɸuβu,ɸuβu,tua,"tutua, totua",tua,ɸuβu,tua,"tutua, totua","tutua, totua",tua,"tutua, totua",tua,ɸuβu,ɸuβu,"tutua, totua","tutua, totua",ɸuβu,ɸuβu,"totua, tutua",ɸuβu,ɸuβu,"tutua, totua",ɸuβu,tua,ɸuβu,ɸuβu,tua,ɸuβu,ɸuβu,ɸuβu,tua,ɸuβu,ɸuβu,ɸuβu,ɸuβu,ɸuβu,tua,ɸuβu,ɸuβu,ɸuβu,tua,"tutua, totua",ɸuβu,ɸuβu,ɸuβu,ᵑgʷau,tata,toa,tata,tata,tata,tata,tata,ᵑgʷau,ᵑgʷau,tata,ᵑgʷau,toa,tata,tata,ᵑgʷau,tata,toa,toa,ᵑgʷau
2,0.0932000778013653,1.0203927291312471,0.9271926513298818,ɸuβu,tua,ɸuβu,ɸuβu,ɸuβu,"tutua, totua",ɸuβu,tua,ɸuβu,ɸuβu,ɸuβu,ɸuβu,tua,tua,ɸuβu,ɸuβu,ɸuβu,tua,ɸuβu,ɸuβu,"tutua, totua",tua,"tutua, totua",tua,tua,"totua, tutua",ɸuβu,ɸuβu,"tutua, totua",tua,ɸuβu,ɸuβu,tua,ɸuβu,tua,"tutua, totua","totua, tutua",tua,tua,"tutua, totua",ɸuβu,ɸuβu,ɸuβu,ɸuβu,"tutua, totua",ɸuβu,ɸuβu,"tutua, totua","tutua, totua","tutua, totua",tua,ɸuβu,tua,ɸuβu,"tutua, totua",tua,ɸuβu,tua,ɸuβu,tua,ɸuβu,tua,ɸuβu,tua,ɸuβu,"tutua, totua",ɸuβu,"tutua, totua",ɸuβu,"tutua, totua",ɸuβu,"tutua, totua",ɸuβu,"totua, tutua","tutua, totua","totua, tutua",ɸuβu,tua,"tutua, totua",ɸuβu,"tutua, totua",ɸuβu,tua,"tutua, totua",ɸuβu,tata,tata,tata,ᵑgʷau,tata,tata,tata,toa,toa,ᵑgʷau,tata,ᵑgʷau,tata,ᵑgʷau,toa,toa,tata,ᵑgʷau,tata,ᵑgʷau
3,0.03874166459215023,1.0096137581740383,0.9708720935818881,ɸuβu,tua,ɸuβu,tua,tua,ɸuβu,ɸuβu,"totua, tutua",tua,ɸuβu,ɸuβu,tua,ɸuβu,ɸuβu,"tutua, totua",ɸuβu,ɸuβu,ɸuβu,ɸuβu,ɸuβu,ɸuβu,tua,ɸuβu,tua,ɸuβu,"tutua, totua",ɸuβu,"tutua, totua",tua,"tutua, totua","tutua, totua",tua,tua,ɸuβu,"tutua, totua",ɸuβu,ɸuβu,ɸuβu,tua,ɸuβu,"tutua, totua",ɸuβu,"tutua, totua","tutua, totua",tua,"totua, tutua",ɸuβu,ɸuβu,"tutua, totua","tutua, totua","totua, tutua",tua,ɸuβu,ɸuβu,"tutua, totua","tutua, totua",ɸuβu,tua,"totua, tutua","tutua, totua",tua,ɸuβu,"tutua, totua",tua,tua,ɸuβu,ɸuβu,ɸuβu,ɸuβu,tua,"tutua, totua","tutua, totua",ɸuβu,tua,ɸuβu,tua,tua,ɸuβu,ɸuβu,tua,ɸuβu,"tutua, totua","tutua, totua",ɸuβu,ɸuβu,toa,ᵑgʷau,tata,tata,tata,toa,ᵑgʷau,tata,tata,toa,tata,tata,toa,ᵑgʷau,ᵑgʷau,ᵑgʷau,ᵑgʷau,tata,tata,tata
4,0.11511318173603013,1.0039479810030614,0.8888347992670312,"totua, tutua","tutua, totua",tua,ɸuβu,ɸuβu,ɸuβu,ɸuβu,"tutua, totua",ɸuβu,ɸuβu,ɸuβu,tua,ɸuβu,ɸuβu,"tutua, totua",ɸuβu,"tutua, totua","tutua, totua",ɸuβu,"tutua, totua",tua,ɸuβu,"tutua, totua","tutua, totua","tutua, totua",ɸuβu,ɸuβu,"tutua, totua",ɸuβu,ɸuβu,ɸuβu,ɸuβu,tua,ɸuβu,ɸuβu,"tutua, totua",ɸuβu,tua,ɸuβu,"tutua, totua",tua,tua,tua,ɸuβu,"tutua, totua",ɸuβu,tua,tua,tua,"tutua, totua","tutua, totua",ɸuβu,tua,tua,ɸuβu,ɸuβu,ɸuβu,"tutua, totua",ɸuβu,ɸuβu,"tutua, totua","tutua, totua",ɸuβu,ɸuβu,ɸuβu,"tutua, totua",tua,"totua, tutua",ɸuβu,tua,"totua, tutua",tua,tua,ɸuβu,"totua, tutua",tua,tua,ɸuβu,ɸuβu,tua,tua,ɸuβu,ɸuβu,tua,ɸuβu,toa,tata,tata,ᵑgʷau,tata,ᵑgʷau,tata,tata,ᵑgʷau,tata,toa,tata,ᵑgʷau,toa,tata,tata,ᵑgʷau,toa,ᵑgʷau,tata
5,0.08911486767048571,1.0296530140645737,0.940538146394088,"tutua, totua",ɸuβu,"totua, tutua",tua,"tutua, totua","totua, tutua","tutua, totua",tua,ɸuβu,ɸuβu,ɸuβu,tua,ɸuβu,tua,tua,ɸuβu,tua,"tutua, totua","tutua, totua",ɸuβu,"tutua, totua",ɸuβu,ɸuβu,ɸuβu,ɸuβu,"tutua, totua",ɸuβu,ɸuβu,tua,tua,ɸuβu,tua,"tutua, totua",ɸuβu,ɸuβu,tua,"tutua, totua",tua,tua,"totua, tutua",ɸuβu,ɸuβu,"tutua, totua",tua,ɸuβu,ɸuβu,"tutua, totua",ɸuβu,ɸuβu,ɸuβu,ɸuβu,tua,tua,"tutua, totua",tua,tua,ɸuβu,ɸuβu,tua,"tutua, totua",ɸuβu,"tutua, totua","tutua, totua",ɸuβu,"tutua, totua",tua,"tutua, totua",ɸuβu,tua,ɸuβu,ɸuβu,ɸuβu,ɸuβu,ɸuβu,ɸuβu,tua,ɸuβu,ɸuβu,"tutua, totua",ɸuβu,"totua, tutua",tua,ɸuβu,ɸuβu,"tutua, totua",ᵑgʷau,tata,tata,tata,ᵑgʷau,tata,ᵑgʷau,toa,toa,tata,ᵑgʷau,tata,toa,tata,tata,ᵑgʷau,toa,tata,ᵑgʷau,tata
6,0.04883983455986762,1.0374312377016655,0.9885914031417978,ɸuβu,ɸuβu,tua,ɸuβu,ɸuβu,"tutua, totua",ɸuβu,"tutua, totua",ɸuβu,"tutua, totua","tutua, totua",ɸuβu,ɸuβu,tua,tua,ɸuβu,ɸuβu,ɸuβu,ɸuβu,ɸuβu,"tutua, totua","tutua, totua","tutua, totua",tua,"tutua, totua",ɸuβu,"tutua, totua","tutua, totua","tutua, totua",tua,tua,ɸuβu,ɸuβu,ɸuβu,ɸuβu,ɸuβu,"tutua, totua",ɸuβu,tua,tua,"tutua, totua","totua, tutua",ɸuβu,tua,tua,ɸuβu,ɸuβu,tua,tua,ɸuβu,ɸuβu,tua,"totua, tutua",ɸuβu,ɸuβu,ɸuβu,"tutua, totua",tua,"totua, tutua",tua,"tutua, totua",ɸuβu,"tutua, totua",tua,ɸuβu,tua,ɸuβu,tua,tua,"tutua, totua",ɸuβu,ɸuβu,ɸuβu,tua,"tutua, totua",ɸuβu,ɸuβu,ɸuβu,"tutua, totua","totua, tutua",ɸuβu,ɸuβu,tua,ɸuβu,tua,ᵑgʷau,tata,tata,ᵑgʷau,tata,toa,tata,ᵑgʷau,tata,toa,tata,tata,tata,tata,ᵑgʷau,toa,ᵑgʷau,toa,ᵑgʷau,tata
7,0.030961768348344187,1.0039479810030614,0.9729862126547172,tua,"tutua, totua","tutua, totua",ɸuβu,ɸuβu,tua,ɸuβu,tua,ɸuβu,tua,"tutua, totua",ɸuβu,ɸuβu,"tutua, totua",tua,ɸuβu,"tutua, totua","tutua, totua","tutua, totua",tua,ɸuβu,tua,tua,"tutua, totua",tua,tua,tua,"tutua, totua","tutua, totua",ɸuβu,ɸuβu,ɸuβu,ɸuβu,ɸuβu,ɸuβu,ɸuβu,tua,ɸuβu,ɸuβu,ɸuβu,ɸuβu,"tutua, totua",ɸuβu,tua,"totua, tutua",ɸuβu,ɸuβu,ɸuβu,"tutua, totua",ɸuβu,ɸuβu,"totua, tutua",tua,ɸuβu,ɸuβu,tua,tua,tua,ɸuβu,"tutua, totua",ɸuβu,ɸuβu,ɸuβu,ɸuβu,ɸuβu,tua,"tutua, totua","tutua, totua",tua,ɸuβu,tua,ɸuβu,ɸuβu,"totua, tutua","tutua, totua",ɸuβu,ɸuβu,"tutua, totua","totua, tutua",ɸuβu,"tutua, totua",tua,tua,ɸuβu,"tutua, totua",tata,tata,tata,ᵑgʷau,toa,toa,ᵑgʷau,tata,tata,tata,tata,toa,tata,toa,tata,ᵑgʷau,tata,ᵑgʷau,ᵑgʷau,ᵑgʷau
8,0.03616979838121581,0.9950763711943895,0.9589065728131737,tua,ɸuβu,"tutua, totua",ɸuβu,ɸuβu,"tutua, totua",ɸuβu,ɸuβu,tua,ɸuβu,"tutua, totua","tutua, totua",ɸuβu,tua,"tutua, totua","tutua, totua",ɸuβu,ɸuβu,tua,tua,"tutua, totua",tua,tua,tua,ɸuβu,ɸuβu,"tutua, totua",tua,ɸuβu,ɸuβu,ɸuβu,ɸuβu,ɸuβu,ɸuβu,ɸuβu,ɸuβu,tua,"totua, tutua",tua,ɸuβu,"tutua, totua",tua,tua,ɸuβu,ɸuβu,ɸuβu,"tutua, totua",tua,"tutua, totua","tutua, totua","tutua, totua","tutua, totua",tua,ɸuβu,tua,tua,"tutua, totua","totua, tutua",tua,"totua, tutua","tutua, totua",ɸuβu,ɸuβu,tua,ɸuβu,ɸuβu,ɸuβu,ɸuβu,"tutua, totua",tua,"tutua, totua",ɸuβu,ɸuβu,ɸuβu,ɸuβu,ɸuβu,tua,"tutua, totua","totua, tutua",ɸuβu,ɸuβu,tua,ɸuβu,ɸuβu,ɸuβu,ᵑgʷau,tata,tata,tata,tata,ᵑgʷau,tata,ᵑgʷau,tata,ᵑgʷau,toa,tata,tata,toa,ᵑgʷau,toa,tata,tata,ᵑgʷau,toa
9,0.06523977277868342,1.0439676895764558,0.9787279167977724,"tutua, totua",ɸuβu,tua,ɸuβu,"tutua, totua",tua,"tutua, totua",ɸuβu,ɸuβu,ɸuβu,ɸuβu,"totua, tutua","tutua, totua",tua,ɸuβu,ɸuβu,tua,"tutua, totua",ɸuβu,"tutua, totua",ɸuβu,ɸuβu,tua,ɸuβu,"tutua, totua",ɸuβu,tua,tua,tua,tua,"tutua, totua",ɸuβu,tua,ɸuβu,ɸuβu,tua,tua,ɸuβu,tua,ɸuβu,"tutua, totua",ɸuβu,"tutua, totua",tua,ɸuβu,ɸuβu,ɸuβu,ɸuβu,ɸuβu,tua,ɸuβu,tua,ɸuβu,tua,ɸuβu,ɸuβu,ɸuβu,tua,"tutua, totua","tutua, totua",ɸuβu,ɸuβu,ɸuβu,ɸuβu,"tutua, totua",tua,tua,ɸuβu,ɸuβu,"totua, tutua","tutua, totua",ɸuβu,ɸuβu,"totua, tutua",ɸuβu,tua,"tutua, totua","tutua, totua","totua, tutua","tutua, totua",ɸuβu,"tutua, totua",tua,ɸuβu,"tutua, totua",ᵑgʷau,tata,toa,tata,tata,tata,toa,tata,tata,ᵑgʷau,ᵑgʷau,ᵑgʷau,tata,tata,ᵑgʷau,toa,toa,tata,tata,ᵑgʷau
