simulation_number,mutual_information,entropy,conditional_entropy,mZ,myZ,fB,fZ,fyZ,mB,meB,myB,meZ,feB,fyB,feZ,mFZ,mFeZ,mFyZ,fFZ,fFeZ,fFyZ,mF,mM,mFB,mMZ,mFeB,mFyB,mMeZ,mMyZ,fF,fM,fFB,fMZ,fFeB,fFyB,fMeZ,fMyZ
0,0.5343822308972674,0.9502705392332347,0.4158883083359672,uko,apa,uko,ako,dōdar,hohar,dodar,apa,dodar,dōdar,ako,hohar,taḡoi,hola,taḡoi,modar,hola,holam,holam,holam,hola,hola,holam,hola,padar,modar,padar,taḡoi,taḡoi,taḡoi,holam,hola,taḡoi,holam
1,0.1717139902044118,1.0296530140645737,0.8579390238601619,dōdar,hohar,ako,hohar,dodar,dodar,apa,apa,uko,uko,dōdar,ako,padar,hola,taḡoi,modar,hola,hola,holam,padar,modar,holam,hola,hola,taḡoi,holam,taḡoi,holam,hola,holam,taḡoi,taḡoi,holam,taḡoi
2,0.3103434263164009,1.0296530140645737,0.7193095877481728,hohar,dōdar,apa,apa,ako,uko,dodar,uko,dōdar,ako,hohar,dodar,taḡoi,holam,hola,holam,holam,holam,taḡoi,hola,taḡoi,taḡoi,padar,modar,holam,hola,hola,padar,modar,hola,holam,taḡoi,taḡoi,hola
3,0.39575279478527847,0.9502705392332347,0.5545177444479562,ako,dōdar,uko,apa,uko,hohar,dodar,hohar,ako,dōdar,apa,dodar,hola,modar,padar,taḡoi,hola,modar,taḡoi,taḡoi,taḡoi,holam,hola,holam,holam,hola,padar,holam,holam,hola,taḡoi,hola,holam,taḡoi
4,0.310343426316401,1.0296530140645737,0.7193095877481727,apa,dōdar,ako,hohar,hohar,dōdar,dodar,apa,ako,uko,dodar,uko,holam,hola,hola,holam,hola,modar,holam,modar,taḡoi,padar,taḡoi,hola,holam,taḡoi,holam,padar,hola,taḡoi,taḡoi,hola,holam,taḡoi
5,0.33650583350462837,1.0296530140645737,0.6931471805599453,dodar,dōdar,ako,dodar,uko,dōdar,apa,uko,apa,hohar,hohar,ako,hola,taḡoi,taḡoi,taḡoi,taḡoi,taḡoi,modar,holam,holam,hola,taḡoi,holam,hola,hola,holam,hola,padar,holam,hola,padar,holam,modar
6,0.1969811441259824,0.5004024235381879,0.3034212794122055,hohar,dōdar,uko,dodar,dodar,dōdar,uko,apa,apa,hohar,ako,ako,holam,holam,padar,taḡoi,hola,taḡoi,holam,holam,taḡoi,taḡoi,hola,modar,padar,hola,hola,holam,modar,taḡoi,hola,hola,taḡoi,holam
7,0.5082198237090401,1.366158847569202,0.8579390238601619,hohar,apa,dōdar,dodar,ako,dōdar,dodar,uko,uko,apa,hohar,ako,holam,taḡoi,holam,hola,hola,taḡoi,taḡoi,modar,taḡoi,padar,holam,hola,taḡoi,taḡoi,hola,holam,holam,holam,modar,hola,hola,padar
8,0.1717139902044118,1.0296530140645737,0.8579390238601619,uko,dodar,hohar,dodar,hohar,dōdar,ako,apa,ako,dōdar,uko,apa,padar,hola,padar,holam,modar,holam,holam,modar,hola,hola,hola,hola,taḡoi,taḡoi,holam,hola,taḡoi,taḡoi,holam,taḡoi,taḡoi,holam
9,0.24102870826040645,1.0296530140645737,0.7886243058041672,dōdar,ako,ako,dodar,apa,dōdar,hohar,uko,dodar,hohar,apa,uko,hola,taḡoi,taḡoi,holam,padar,hola,padar,hola,holam,holam,hola,holam,taḡoi,modar,hola,modar,holam,taḡoi,taḡoi,hola,taḡoi,holam
