simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mFZS,mMBS,mMZS,mFBD,mFZD,mMBD,mMZD,fFBS,fFZS,fMBS,fMZS,fFBD,fFZD,fMBD,fMZD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.05559185828778812,1.192854958575232,1.1372631002874438,rurus sangganing,rurus sangganing,rurus sangganing,tuai,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,sia'a,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,tuai,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,sia'a,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,tuai,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,tuai,sia'a,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,"posinaong, posinao","posiamaong, posiamao","posinaong, posinao","posiamaong, posiamao","posinaong, posinao","posinaong, posinao",siina,"posinaong, posinao","posiamaong, posiamao","posiamaong, posiamao","posiamaong, posiamao",siama,"posinaong, posinao","posinaong, posinao",siama,"posinaong, posinao","posiamaong, posiamao","posiamaong, posiamao","posiamaong, posiamao",siina
1,0.04638699192699569,1.192854958575232,1.1464679666482362,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,sia'a,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,tuai,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,sia'a,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,sia'a,rurus sangganing,tuai,tuai,rurus sangganing,rurus sangganing,tuai,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,"posinaong, posinao","posinaong, posinao","posiamaong, posiamao","posinaong, posinao","posiamaong, posiamao","posiamaong, posiamao","posiamaong, posiamao","posinaong, posinao","posinaong, posinao","posiamaong, posiamao","posinaong, posinao","posinaong, posinao","posiamaong, posiamao","posinaong, posinao",siina,siama,"posiamaong, posiamao","posiamaong, posiamao",siina,siama
2,0.04411467155632076,1.2135652713163758,1.169450599760055,rurus sangganing,sia'a,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,tuai,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,tuai,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,tuai,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,sia'a,rurus sangganing,rurus sangganing,rurus sangganing,tuai,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,sia'a,"posinaong, posinao","posiamaong, posiamao","posiamaong, posiamao",siama,"posinaong, posinao","posinaong, posinao","posiamaong, posiamao","posiamaong, posiamao","posiamaong, posiamao",siina,"posinaong, posinao","posinaong, posinao","posinaong, posinao","posinaong, posinao",siama,"posiamaong, posiamao","posiamaong, posiamao","posiamaong, posiamao","posinaong, posinao",siina
3,0.09899921765864295,1.2135652713163756,1.1145660536577326,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,tuai,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,sia'a,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,tuai,rurus sangganing,sia'a,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,tuai,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,sia'a,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,tuai,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,siama,"posiamaong, posiamao","posinaong, posinao",siina,"posinaong, posinao","posinaong, posinao",siama,"posinaong, posinao","posiamaong, posiamao","posinaong, posinao","posiamaong, posiamao","posinaong, posinao","posiamaong, posiamao","posiamaong, posiamao",siina,"posiamaong, posiamao","posinaong, posinao","posinaong, posinao","posiamaong, posiamao","posiamaong, posiamao"
4,0.0939540971311339,1.1907686023357982,1.0968145052046643,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,sia'a,rurus sangganing,tuai,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,tuai,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,tuai,rurus sangganing,sia'a,rurus sangganing,rurus sangganing,rurus sangganing,sia'a,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,tuai,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,"posinaong, posinao","posinaong, posinao","posiamaong, posiamao","posiamaong, posiamao","posiamaong, posiamao","posiamaong, posiamao","posiamaong, posiamao",siina,"posinaong, posinao","posiamaong, posiamao","posiamaong, posiamao","posinaong, posinao","posinaong, posinao","posinaong, posinao",siama,"posinaong, posinao",siina,siama,"posinaong, posinao","posiamaong, posiamao"
5,0.15386984817068483,1.1907686023357982,1.0368987541651133,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,sia'a,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,tuai,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,tuai,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,tuai,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,tuai,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,sia'a,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,sia'a,rurus sangganing,"posinaong, posinao","posinaong, posinao","posinaong, posinao","posinaong, posinao",siama,"posinaong, posinao","posiamaong, posiamao","posiamaong, posiamao","posiamaong, posiamao","posinaong, posinao",siama,siina,siina,"posiamaong, posiamao","posiamaong, posiamao","posiamaong, posiamao","posiamaong, posiamao","posinaong, posinao","posinaong, posinao","posiamaong, posiamao"
6,0.05912644336633455,1.1396856259428154,1.0805591825764809,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,sia'a,rurus sangganing,rurus sangganing,sia'a,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,tuai,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,tuai,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,sia'a,rurus sangganing,tuai,rurus sangganing,rurus sangganing,tuai,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,"posinaong, posinao","posinaong, posinao","posinaong, posinao","posinaong, posinao","posiamaong, posiamao",siina,"posiamaong, posiamao","posiamaong, posiamao","posinaong, posinao","posiamaong, posiamao","posinaong, posinao",siama,"posiamaong, posiamao",siina,"posinaong, posinao","posiamaong, posiamao",siama,"posiamaong, posiamao","posiamaong, posiamao","posinaong, posinao"
7,0.07478478175096726,1.2135652713163758,1.1387804895654086,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,tuai,rurus sangganing,rurus sangganing,rurus sangganing,sia'a,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,tuai,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,sia'a,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,sia'a,rurus sangganing,rurus sangganing,tuai,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,tuai,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,siina,"posinaong, posinao",siama,"posiamaong, posiamao","posinaong, posinao",siina,"posinaong, posinao",siama,"posiamaong, posiamao","posinaong, posinao","posinaong, posinao","posiamaong, posiamao","posiamaong, posiamao","posinaong, posinao","posinaong, posinao","posiamaong, posiamao","posinaong, posinao","posiamaong, posiamao","posiamaong, posiamao","posiamaong, posiamao"
8,0.09443237571331697,1.2333059780380897,1.1388736023247727,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,sia'a,rurus sangganing,rurus sangganing,rurus sangganing,tuai,tuai,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,tuai,rurus sangganing,rurus sangganing,sia'a,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,tuai,rurus sangganing,rurus sangganing,sia'a,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,siama,"posinaong, posinao",siina,siina,"posiamaong, posiamao","posinaong, posinao","posinaong, posinao","posinaong, posinao","posiamaong, posiamao","posiamaong, posiamao",siama,"posiamaong, posiamao","posiamaong, posiamao","posiamaong, posiamao","posiamaong, posiamao","posinaong, posinao","posinaong, posinao","posinaong, posinao","posinaong, posinao","posiamaong, posiamao"
9,0.06685335150624128,1.1396856259428154,1.0728322744365741,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,tuai,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,sia'a,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,sia'a,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,sia'a,rurus sangganing,tuai,tuai,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,rurus sangganing,tuai,rurus sangganing,siama,"posiamaong, posiamao","posiamaong, posiamao","posiamaong, posiamao","posinaong, posinao","posinaong, posinao","posinaong, posinao","posiamaong, posiamao","posiamaong, posiamao","posinaong, posinao","posinaong, posinao",siina,"posinaong, posinao",siina,"posinaong, posinao","posiamaong, posiamao","posiamaong, posiamao","posinaong, posinao","posiamaong, posiamao",siama
