simulation_number,mutual_information,entropy,conditional_entropy,myZ,feZ,fyZ,mFBS,mFZS,mMBS,mMZS,mFBD,mFZD,mMBD,mMZD,fFBS,fFZS,fMBS,fMZS,fFBD,fFZD,fMBD,fMZD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.024894815340956722,1.3174447222200467,1.29254990687909,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,soa,soa,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,soa,kave,kave,kave,kave,kave,kave,kave,kave,kave,tinna,tamana,tamana,tamana,"tamana, aapaa",tamana,"tamana, aapaa",tamana,ilaamotu,tinna,tinna,ilaamotu,tinna,tamana,tamana,tinna,tinna,ilaamotu,ilaamotu,tamana
1,0.018678100584156976,1.2359746996680463,1.2172965990838893,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,soa,kave,kave,kave,kave,kave,kave,kave,kave,kave,soa,kave,kave,soa,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,tamana,"tamana, aapaa","tamana, aapaa",tinna,tamana,tinna,ilaamotu,ilaamotu,tamana,tinna,tamana,tamana,ilaamotu,tamana,tamana,ilaamotu,tinna,tamana,tinna,tinna
2,0.04930302429851707,1.2565666198946848,1.2072635955961677,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,soa,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,soa,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,soa,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,ilaamotu,ilaamotu,tamana,tinna,tinna,ilaamotu,"tamana, aapaa",tamana,tinna,"tamana, aapaa",ilaamotu,tamana,tamana,tinna,tamana,tamana,tinna,tamana,tinna,tamana
3,2.220446049250313e-16,1.2878473674720499,1.2878473674720496,kave,kave,kave,kave,kave,kave,kave,kave,soa,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,soa,kave,kave,kave,kave,kave,kave,soa,kave,kave,kave,kave,kave,kave,tamana,tamana,tamana,ilaamotu,"tamana, aapaa",ilaamotu,tinna,ilaamotu,tinna,"tamana, aapaa",tamana,tinna,tamana,ilaamotu,tinna,tinna,tamana,tamana,tinna,tamana
4,-2.220446049250313e-16,1.2472786475858246,1.2472786475858249,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,soa,kave,kave,kave,kave,kave,soa,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,soa,kave,kave,kave,kave,kave,kave,kave,kave,ilaamotu,tinna,tinna,tinna,tamana,ilaamotu,"tamana, aapaa",tinna,tamana,"tamana, aapaa",tamana,tinna,tamana,ilaamotu,tinna,tamana,tamana,ilaamotu,tamana,tamana
5,0.05833804133128395,1.3174447222200467,1.2591066808887628,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,soa,soa,soa,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,tamana,tamana,tamana,tamana,"tamana, aapaa",ilaamotu,tinna,tinna,tamana,tinna,tinna,ilaamotu,tamana,tamana,ilaamotu,tinna,tinna,tamana,ilaamotu,"tamana, aapaa"
6,0.11485883553651499,1.3083420897637779,1.1934832542272629,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,soa,kave,kave,kave,soa,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,soa,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,tamana,tinna,tamana,tamana,tinna,ilaamotu,ilaamotu,ilaamotu,"tamana, aapaa",tinna,tinna,"tamana, aapaa",tinna,tinna,tamana,tamana,tamana,tamana,ilaamotu,tamana
7,0.026966771092362674,1.314041214090661,1.2870744429982983,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,soa,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,soa,kave,kave,kave,kave,kave,kave,soa,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,tamana,tinna,tamana,tinna,tamana,tamana,ilaamotu,tinna,"tamana, aapaa",ilaamotu,"tamana, aapaa",tinna,tamana,tamana,tinna,tamana,ilaamotu,tamana,ilaamotu,tinna
8,0.05205548825178741,1.2553482515061212,1.2032927632543338,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,soa,kave,soa,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,soa,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,ilaamotu,tinna,"tamana, aapaa",ilaamotu,tinna,tinna,tinna,tamana,tinna,tamana,tamana,tamana,ilaamotu,tamana,tamana,ilaamotu,tamana,"tamana, aapaa",tinna,tamana
9,0.04460863966162276,1.268826657236147,1.2242180175745243,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,soa,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,kave,soa,kave,soa,kave,kave,kave,kave,ilaamotu,ilaamotu,tamana,tinna,tamana,tinna,tamana,tamana,"tamana, aapaa",tinna,"tamana, aapaa",tinna,ilaamotu,tamana,tinna,tinna,tamana,ilaamotu,tamana,tamana
