simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mFZS,mMBS,mMZS,mFBD,mFZD,mMBD,mMZD,fFBS,fFZS,fMBS,fMZS,fFBD,fFZD,fMBD,fMZD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.08528475092062715,1.083290993675573,0.9980062427549459,kasina daki,kasina gare,vavinena,vavinena,vavinena,vavinena,kasina gare,vavinena,kasina daki,vavinena,vavinena,vavinena,kasina gare,vavinena,kasina daki,kasina gare,kasina daki,kasina gare,kasina daki,kasina daki,vavinena,kasina daki,kasina gare,vavinena,vavinena,vavinena,kasina daki,vavinena,vavinena,vavinena,vavinena,kasina gare,vavinena,kasina gare,kasina gare,kasina gare,kasina gare,kasina daki,vavinena,vavinena,kasina daki,kasina gare,vavinena,vavinena,kasina daki,kasina daki,kasina gare,vavinena,kasina daki,vavinena,kasina gare,vavinena,vavinena,vavinena,vavinena,kasina gare,kasina daki,vavinena,vavinena,kasina daki,kasina daki,kasina daki,vavinena,kasina gare,kasina daki,vavinena,vavinena,kasina gare,vavinena,vavinena,kasina daki,kasina daki,vavinena,kasina gare,vavinena,vavinena,vavinena,vavinena,kasina daki,kasina gare,kasina gare,vavinena,kasina gare,vavinena,vavinena,tsagina,"kaka, tamana","kaka, tamana",tsagina,tsagina,"lake, nana(na)","kaka, tamana","lake, nana(na)","lake, nana(na)","lake, nana(na)","lake, nana(na)",tsagina,tsagina,"kaka, tamana","kaka, tamana","kaka, tamana",tsagina,"lake, nana(na)",tsagina,tsagina
1,0.004699092741616395,1.0760342091133341,1.0713351163717177,kasina daki,kasina daki,vavinena,kasina gare,kasina gare,vavinena,vavinena,kasina gare,kasina gare,kasina daki,kasina daki,vavinena,vavinena,vavinena,vavinena,kasina gare,vavinena,vavinena,kasina daki,kasina daki,vavinena,kasina gare,kasina daki,vavinena,vavinena,kasina daki,vavinena,kasina daki,kasina daki,kasina daki,vavinena,vavinena,kasina daki,kasina gare,vavinena,kasina gare,kasina gare,kasina daki,vavinena,vavinena,vavinena,vavinena,vavinena,kasina gare,vavinena,vavinena,vavinena,kasina daki,kasina gare,kasina daki,vavinena,kasina daki,vavinena,vavinena,kasina gare,kasina gare,vavinena,kasina daki,vavinena,vavinena,vavinena,kasina daki,kasina daki,kasina gare,kasina gare,vavinena,kasina gare,vavinena,kasina daki,vavinena,kasina gare,vavinena,kasina daki,kasina gare,vavinena,kasina gare,vavinena,vavinena,vavinena,vavinena,vavinena,kasina gare,vavinena,vavinena,kasina gare,tsagina,"kaka, tamana",tsagina,tsagina,"lake, nana(na)","kaka, tamana","lake, nana(na)",tsagina,tsagina,"lake, nana(na)",tsagina,"lake, nana(na)","kaka, tamana","lake, nana(na)",tsagina,"kaka, tamana","kaka, tamana","lake, nana(na)",tsagina,"kaka, tamana"
2,0.06664204686921904,1.0928879086777044,1.0262458618084853,kasina gare,vavinena,vavinena,kasina gare,kasina gare,vavinena,kasina gare,vavinena,vavinena,vavinena,kasina gare,kasina gare,vavinena,vavinena,vavinena,kasina daki,kasina daki,kasina gare,vavinena,vavinena,vavinena,vavinena,vavinena,kasina daki,kasina gare,kasina daki,vavinena,vavinena,kasina gare,kasina daki,kasina gare,vavinena,kasina daki,vavinena,vavinena,vavinena,kasina gare,kasina gare,vavinena,kasina gare,kasina gare,kasina daki,kasina daki,vavinena,vavinena,vavinena,vavinena,vavinena,vavinena,vavinena,vavinena,kasina gare,kasina daki,kasina gare,kasina daki,kasina daki,kasina gare,kasina daki,vavinena,kasina gare,vavinena,vavinena,kasina gare,kasina daki,vavinena,vavinena,kasina daki,vavinena,vavinena,vavinena,kasina daki,kasina daki,vavinena,kasina daki,vavinena,vavinena,kasina daki,vavinena,kasina gare,kasina gare,kasina daki,vavinena,kasina daki,vavinena,kasina daki,"lake, nana(na)","lake, nana(na)",tsagina,"kaka, tamana","lake, nana(na)","kaka, tamana","kaka, tamana",tsagina,tsagina,"lake, nana(na)",tsagina,"kaka, tamana","lake, nana(na)",tsagina,"lake, nana(na)","kaka, tamana",tsagina,tsagina,"kaka, tamana",tsagina
3,0.04838950412648524,1.0888999753452238,1.0405104712187385,kasina daki,vavinena,vavinena,kasina daki,vavinena,kasina gare,vavinena,kasina daki,vavinena,kasina gare,vavinena,vavinena,kasina gare,vavinena,kasina gare,kasina daki,vavinena,kasina gare,kasina daki,kasina daki,kasina daki,vavinena,vavinena,vavinena,kasina gare,kasina daki,kasina daki,vavinena,vavinena,vavinena,vavinena,vavinena,kasina gare,kasina gare,kasina gare,vavinena,kasina gare,kasina gare,kasina gare,kasina gare,kasina gare,vavinena,vavinena,vavinena,kasina daki,vavinena,vavinena,vavinena,vavinena,vavinena,kasina daki,kasina gare,kasina gare,vavinena,vavinena,kasina gare,vavinena,vavinena,vavinena,vavinena,kasina daki,kasina daki,kasina daki,kasina gare,kasina gare,kasina daki,kasina daki,kasina gare,vavinena,vavinena,kasina daki,vavinena,vavinena,vavinena,kasina daki,vavinena,vavinena,vavinena,kasina gare,kasina daki,vavinena,kasina daki,vavinena,kasina daki,vavinena,tsagina,"kaka, tamana","kaka, tamana","kaka, tamana",tsagina,"kaka, tamana",tsagina,tsagina,"lake, nana(na)","lake, nana(na)","lake, nana(na)",tsagina,tsagina,"kaka, tamana","lake, nana(na)",tsagina,"kaka, tamana","lake, nana(na)",tsagina,"lake, nana(na)"
4,0.016599537210962634,1.0760342091133341,1.0594346719023715,vavinena,vavinena,vavinena,vavinena,vavinena,kasina gare,vavinena,vavinena,kasina gare,vavinena,kasina daki,kasina daki,kasina daki,kasina gare,vavinena,vavinena,kasina gare,kasina daki,vavinena,vavinena,vavinena,kasina daki,kasina gare,vavinena,vavinena,kasina daki,kasina gare,kasina gare,kasina gare,vavinena,vavinena,kasina daki,kasina gare,vavinena,kasina daki,vavinena,vavinena,vavinena,vavinena,vavinena,vavinena,vavinena,kasina gare,kasina daki,kasina gare,kasina gare,kasina gare,kasina daki,kasina gare,kasina daki,vavinena,vavinena,kasina daki,vavinena,vavinena,kasina daki,vavinena,kasina gare,vavinena,kasina gare,kasina daki,vavinena,vavinena,vavinena,vavinena,kasina daki,vavinena,vavinena,vavinena,vavinena,vavinena,kasina daki,kasina gare,kasina daki,kasina gare,vavinena,kasina daki,kasina gare,kasina daki,vavinena,kasina gare,kasina gare,kasina daki,kasina daki,vavinena,"lake, nana(na)",tsagina,tsagina,tsagina,tsagina,"lake, nana(na)","lake, nana(na)",tsagina,tsagina,"lake, nana(na)","kaka, tamana","lake, nana(na)","kaka, tamana","kaka, tamana",tsagina,"kaka, tamana","kaka, tamana","kaka, tamana","lake, nana(na)",tsagina
5,0.06537688030316846,1.0813836325270358,1.0160067522238674,kasina daki,vavinena,vavinena,kasina gare,vavinena,kasina gare,kasina gare,kasina gare,vavinena,kasina daki,vavinena,kasina daki,kasina gare,kasina daki,kasina gare,kasina daki,kasina daki,vavinena,vavinena,vavinena,kasina daki,kasina daki,kasina gare,vavinena,kasina gare,vavinena,vavinena,vavinena,vavinena,vavinena,vavinena,kasina gare,kasina daki,kasina daki,kasina gare,vavinena,vavinena,kasina daki,kasina daki,kasina daki,kasina gare,kasina daki,vavinena,kasina daki,vavinena,vavinena,vavinena,kasina daki,kasina gare,vavinena,vavinena,vavinena,kasina gare,vavinena,kasina daki,vavinena,vavinena,vavinena,vavinena,vavinena,kasina gare,kasina gare,kasina gare,kasina gare,kasina daki,kasina daki,vavinena,vavinena,vavinena,vavinena,vavinena,kasina daki,kasina gare,vavinena,kasina gare,vavinena,vavinena,vavinena,vavinena,kasina gare,vavinena,vavinena,kasina daki,kasina gare,vavinena,tsagina,"kaka, tamana",tsagina,"kaka, tamana","kaka, tamana","kaka, tamana",tsagina,tsagina,"lake, nana(na)",tsagina,"lake, nana(na)","lake, nana(na)",tsagina,"lake, nana(na)",tsagina,"lake, nana(na)","kaka, tamana","kaka, tamana",tsagina,"lake, nana(na)"
6,0.049191129471476636,1.0952733774372052,1.0460822479657286,vavinena,kasina daki,kasina daki,kasina gare,kasina daki,kasina gare,kasina daki,kasina gare,kasina daki,kasina gare,vavinena,kasina gare,vavinena,vavinena,vavinena,vavinena,vavinena,kasina daki,vavinena,vavinena,vavinena,kasina gare,vavinena,kasina daki,kasina gare,vavinena,vavinena,kasina daki,vavinena,kasina gare,kasina daki,kasina daki,vavinena,vavinena,vavinena,vavinena,vavinena,vavinena,vavinena,vavinena,kasina gare,kasina gare,vavinena,vavinena,kasina daki,kasina daki,kasina daki,kasina daki,kasina gare,vavinena,kasina gare,vavinena,kasina daki,vavinena,vavinena,vavinena,kasina daki,kasina daki,kasina gare,vavinena,kasina gare,kasina gare,vavinena,vavinena,kasina daki,kasina daki,vavinena,vavinena,kasina gare,vavinena,vavinena,vavinena,kasina gare,vavinena,vavinena,kasina gare,kasina daki,kasina gare,kasina daki,vavinena,kasina gare,vavinena,vavinena,vavinena,kasina gare,tsagina,"lake, nana(na)","kaka, tamana","kaka, tamana",tsagina,"kaka, tamana","lake, nana(na)","kaka, tamana","lake, nana(na)",tsagina,"lake, nana(na)","lake, nana(na)",tsagina,tsagina,tsagina,tsagina,"kaka, tamana",tsagina,"kaka, tamana","lake, nana(na)"
7,0.11989200392079113,1.0928879086777044,0.9729959047569132,kasina gare,kasina daki,vavinena,vavinena,kasina gare,vavinena,vavinena,kasina daki,kasina gare,kasina gare,vavinena,vavinena,vavinena,kasina gare,kasina daki,vavinena,vavinena,kasina gare,kasina gare,vavinena,vavinena,vavinena,vavinena,kasina daki,kasina daki,kasina gare,kasina gare,kasina gare,vavinena,kasina daki,kasina daki,vavinena,vavinena,vavinena,kasina daki,vavinena,vavinena,vavinena,kasina daki,kasina gare,kasina gare,vavinena,kasina daki,kasina gare,vavinena,vavinena,vavinena,kasina gare,vavinena,kasina daki,kasina gare,vavinena,kasina daki,kasina daki,vavinena,vavinena,vavinena,vavinena,vavinena,vavinena,vavinena,vavinena,kasina daki,kasina daki,kasina gare,vavinena,vavinena,kasina daki,vavinena,kasina gare,vavinena,kasina gare,vavinena,kasina gare,kasina daki,vavinena,kasina gare,kasina daki,kasina daki,vavinena,vavinena,vavinena,kasina daki,kasina daki,kasina gare,"lake, nana(na)","kaka, tamana","kaka, tamana",tsagina,"lake, nana(na)",tsagina,tsagina,"lake, nana(na)","kaka, tamana","kaka, tamana","lake, nana(na)",tsagina,"lake, nana(na)",tsagina,"lake, nana(na)",tsagina,tsagina,tsagina,"kaka, tamana","kaka, tamana"
8,0.012423884401812746,1.0888999753452238,1.076476090943411,vavinena,kasina daki,kasina gare,vavinena,kasina daki,vavinena,vavinena,vavinena,vavinena,kasina gare,kasina daki,vavinena,vavinena,kasina daki,vavinena,vavinena,kasina gare,vavinena,vavinena,kasina daki,kasina gare,kasina gare,kasina daki,vavinena,kasina daki,kasina gare,vavinena,vavinena,vavinena,kasina gare,vavinena,vavinena,vavinena,vavinena,kasina gare,kasina gare,vavinena,kasina daki,vavinena,kasina daki,kasina daki,kasina daki,kasina gare,kasina daki,vavinena,kasina gare,vavinena,vavinena,kasina gare,kasina daki,kasina gare,kasina gare,vavinena,kasina gare,vavinena,vavinena,vavinena,kasina gare,vavinena,vavinena,kasina gare,vavinena,kasina daki,kasina gare,vavinena,vavinena,kasina gare,vavinena,kasina daki,vavinena,kasina daki,vavinena,kasina gare,vavinena,vavinena,vavinena,vavinena,kasina daki,vavinena,kasina daki,kasina daki,kasina gare,kasina daki,vavinena,kasina daki,"lake, nana(na)","kaka, tamana",tsagina,tsagina,"kaka, tamana","lake, nana(na)","lake, nana(na)",tsagina,tsagina,"lake, nana(na)","kaka, tamana",tsagina,tsagina,tsagina,"kaka, tamana","kaka, tamana",tsagina,"lake, nana(na)","lake, nana(na)","kaka, tamana"
9,0.08043251470408341,1.0760342091133341,0.9956016944092507,kasina daki,kasina daki,kasina gare,kasina daki,kasina daki,vavinena,vavinena,vavinena,vavinena,vavinena,vavinena,vavinena,kasina daki,vavinena,vavinena,kasina daki,vavinena,kasina gare,vavinena,vavinena,kasina gare,kasina daki,kasina gare,vavinena,vavinena,vavinena,vavinena,vavinena,vavinena,kasina daki,kasina daki,kasina daki,vavinena,vavinena,kasina gare,kasina daki,vavinena,kasina gare,vavinena,vavinena,vavinena,vavinena,vavinena,vavinena,kasina daki,vavinena,vavinena,kasina daki,kasina gare,vavinena,kasina gare,vavinena,kasina gare,kasina gare,kasina daki,vavinena,kasina daki,kasina daki,kasina gare,vavinena,kasina gare,vavinena,vavinena,kasina daki,vavinena,kasina daki,kasina gare,kasina gare,vavinena,kasina gare,kasina daki,kasina gare,kasina gare,kasina gare,kasina daki,kasina gare,vavinena,vavinena,kasina gare,kasina daki,vavinena,vavinena,vavinena,kasina gare,vavinena,"lake, nana(na)",tsagina,tsagina,tsagina,"kaka, tamana","lake, nana(na)",tsagina,tsagina,tsagina,"lake, nana(na)",tsagina,"kaka, tamana","kaka, tamana","kaka, tamana","kaka, tamana","lake, nana(na)","lake, nana(na)",tsagina,"kaka, tamana","lake, nana(na)"
