simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.1355026245168498,1.5598097967537252,1.4243071722368754,anabavy,anadahy,rahavavy,anadahy,rahalahy,rahalahy,anjaravady,rahalahy,rahavavy,anadahy,anabavy,anjaravady,anjaravady,anjaravady,rahavavy,rahavavy,anabavy,rahalahy,anabavy,anjaravady,anabavy,anjaravady,anjaravady,rahalahy,anjaravady,anadahy,anjaravady,anjaravady,anjaravady,anjaravady,anabavy,anabavy,rahavavy,anabavy,rahavavy,anjaravady,anjaravady,anjaravady,anjaravady,anjaravady,rahavavy,rahavavy,rahavavy,anjaravady,anadahy,rahalahy,anabavy,anjaravady,anabavy,anjaravady,anjaravady,anabavy,rahavavy,anjaravady,rahalahy,rahalahy,rahavavy,anabavy,rahalahy,anjaravady,rahavavy,anadahy,anadahy,anjaravady,anjaravady,anjaravady,anadahy,anjaravady,anjaravady,anadahy,rahavavy,anjaravady,anjaravady,anjaravady,anabavy,anadahy,anabavy,rahalahy,rahalahy,anabavy,anjaravady,anjaravady,rahavavy,anadahy,anjaravady,rahalahy,anadahy,anjaravady,rahalahy,anjaravady,rahavaviandreny,anabavanbaba,baba,anabavanbaba,rahavaviandreny,rahavaviandreny,anabavanbaba,rahalahiandraiko,anabavanbaba,anabavanbaba,rahalahiandraiko,rahalahiandraiko,baba,anadhiandreny,anadhiandreny,rahalahiandraiko,rahalahiandraiko,anadhiandreny,anadhiandreny,anabavanbaba,rahavaviandreny,rahavaviandreny,rahavaviandreny,anadhiandreny,rahalahiandraiko,anadhiandreny
1,0.1957304638009525,1.5535048920994405,1.357774428298488,anabavy,anabavy,anabavy,anabavy,anadahy,anjaravady,anadahy,anadahy,anjaravady,anadahy,rahavavy,rahavavy,anjaravady,anjaravady,anjaravady,anjaravady,rahavavy,rahalahy,anjaravady,anjaravady,anabavy,rahalahy,anabavy,anadahy,anjaravady,anjaravady,anjaravady,anjaravady,anjaravady,rahavavy,anjaravady,anadahy,rahavavy,rahalahy,anjaravady,anjaravady,anadahy,anjaravady,rahavavy,anjaravady,anabavy,anabavy,anjaravady,anabavy,anjaravady,rahavavy,anjaravady,anadahy,anadahy,rahavavy,anadahy,anadahy,anjaravady,anjaravady,anjaravady,rahalahy,anjaravady,anabavy,anabavy,rahalahy,anjaravady,anjaravady,rahavavy,anjaravady,rahalahy,rahalahy,rahalahy,rahavavy,anabavy,rahalahy,rahalahy,anabavy,rahalahy,rahavavy,anabavy,anjaravady,anjaravady,anabavy,rahavavy,anjaravady,rahavavy,anjaravady,anjaravady,rahavavy,anadahy,anjaravady,anjaravady,rahalahy,anjaravady,rahalahy,anabavanbaba,anabavanbaba,anabavanbaba,anadhiandreny,anadhiandreny,anadhiandreny,rahalahiandraiko,anabavanbaba,rahavaviandreny,rahalahiandraiko,rahavaviandreny,anabavanbaba,anabavanbaba,rahavaviandreny,rahalahiandraiko,rahavaviandreny,rahavaviandreny,baba,anadhiandreny,rahalahiandraiko,anadhiandreny,rahalahiandraiko,rahavaviandreny,anadhiandreny,rahalahiandraiko,baba
2,0.13605607554959542,1.5336927196681922,1.3976366441185968,anabavy,anabavy,anadahy,anjaravady,rahalahy,rahavavy,anjaravady,anjaravady,anjaravady,rahavavy,anabavy,anjaravady,rahavavy,rahavavy,anjaravady,rahalahy,anjaravady,anjaravady,anabavy,anadahy,anjaravady,anadahy,rahavavy,anjaravady,anjaravady,anjaravady,anabavy,anadahy,anabavy,rahalahy,anjaravady,anjaravady,rahalahy,rahalahy,anjaravady,rahavavy,anadahy,rahavavy,anadahy,anadahy,rahalahy,rahalahy,anjaravady,anjaravady,anjaravady,anadahy,rahavavy,anjaravady,anjaravady,anjaravady,anabavy,rahavavy,rahalahy,anjaravady,anabavy,anabavy,anabavy,anjaravady,rahalahy,anjaravady,rahalahy,anjaravady,anabavy,anjaravady,anjaravady,anabavy,anjaravady,rahavavy,rahavavy,anadahy,anjaravady,anjaravady,anjaravady,anabavy,rahalahy,anabavy,anjaravady,anjaravady,anadahy,anabavy,anjaravady,rahavavy,anjaravady,anadahy,rahalahy,rahavavy,rahalahy,anjaravady,anadahy,rahavavy,rahalahiandraiko,rahavaviandreny,rahavaviandreny,rahalahiandraiko,baba,rahavaviandreny,rahalahiandraiko,anabavanbaba,anabavanbaba,anabavanbaba,rahavaviandreny,anadhiandreny,rahavaviandreny,rahalahiandraiko,anadhiandreny,rahavaviandreny,rahalahiandraiko,rahalahiandraiko,baba,anabavanbaba,anadhiandreny,anadhiandreny,anadhiandreny,anadhiandreny,anabavanbaba,anabavanbaba
3,0.177521328156101,1.5148139143389585,1.3372925861828575,anjaravady,rahavavy,anjaravady,anjaravady,rahavavy,anjaravady,rahavavy,anadahy,rahavavy,anjaravady,rahalahy,anjaravady,anjaravady,anadahy,anjaravady,anabavy,rahalahy,rahalahy,anjaravady,anjaravady,anjaravady,anabavy,anadahy,rahavavy,anjaravady,anabavy,anjaravady,anjaravady,rahalahy,anabavy,rahavavy,anabavy,rahavavy,rahavavy,anjaravady,anjaravady,rahavavy,anabavy,rahalahy,rahalahy,anabavy,anjaravady,anjaravady,rahalahy,anabavy,anjaravady,rahavavy,anjaravady,anjaravady,anabavy,anadahy,anabavy,anjaravady,anjaravady,anjaravady,anabavy,rahavavy,anjaravady,rahalahy,rahalahy,anadahy,rahavavy,anadahy,rahalahy,rahalahy,anadahy,anabavy,rahalahy,anabavy,anjaravady,anadahy,anjaravady,anjaravady,anjaravady,anadahy,anjaravady,anadahy,anjaravady,anadahy,anjaravady,anjaravady,anadahy,anabavy,anjaravady,anjaravady,anjaravady,rahalahy,rahavavy,rahavavy,anabavy,anabavanbaba,rahalahiandraiko,anadhiandreny,rahalahiandraiko,rahalahiandraiko,rahavaviandreny,baba,anabavanbaba,anadhiandreny,anabavanbaba,baba,anabavanbaba,rahalahiandraiko,anadhiandreny,rahavaviandreny,anabavanbaba,rahalahiandraiko,anadhiandreny,rahalahiandraiko,rahavaviandreny,anadhiandreny,rahavaviandreny,rahavaviandreny,rahavaviandreny,anabavanbaba,anadhiandreny
4,0.2557205479429572,1.5175036005547107,1.2617830526117535,rahavavy,anabavy,anabavy,anabavy,anjaravady,rahavavy,rahavavy,rahavavy,anjaravady,anabavy,anabavy,rahalahy,anjaravady,rahavavy,anadahy,rahalahy,anjaravady,anjaravady,anjaravady,anadahy,anadahy,anabavy,anjaravady,anadahy,anadahy,anabavy,rahavavy,rahavavy,anabavy,anadahy,anjaravady,anjaravady,rahalahy,anjaravady,rahavavy,anjaravady,anjaravady,anjaravady,anabavy,anjaravady,rahalahy,anjaravady,anjaravady,rahavavy,anjaravady,anabavy,anjaravady,anabavy,rahalahy,anadahy,rahalahy,anadahy,rahalahy,anjaravady,anadahy,anadahy,anjaravady,anjaravady,rahavavy,anjaravady,anadahy,anabavy,rahavavy,anjaravady,anabavy,rahalahy,rahalahy,anjaravady,anjaravady,rahalahy,anjaravady,rahavavy,anabavy,anjaravady,anjaravady,rahalahy,anabavy,anjaravady,rahalahy,anjaravady,anjaravady,anadahy,rahavavy,anjaravady,anjaravady,anjaravady,rahalahy,anjaravady,rahavavy,anjaravady,rahavaviandreny,rahavaviandreny,anabavanbaba,rahavaviandreny,rahavaviandreny,rahalahiandraiko,anabavanbaba,anadhiandreny,rahalahiandraiko,rahalahiandraiko,rahalahiandraiko,anabavanbaba,rahalahiandraiko,anabavanbaba,rahalahiandraiko,anadhiandreny,anadhiandreny,anadhiandreny,baba,anadhiandreny,anabavanbaba,anadhiandreny,baba,anabavanbaba,rahavaviandreny,rahavaviandreny
5,0.1367845747551435,1.5075577890745762,1.3707732143194327,rahalahy,anjaravady,rahalahy,rahavavy,anjaravady,anabavy,rahavavy,anjaravady,anjaravady,anjaravady,anabavy,rahavavy,anabavy,rahavavy,rahalahy,anjaravady,anjaravady,rahavavy,anadahy,anjaravady,rahavavy,anadahy,anjaravady,rahalahy,anjaravady,rahavavy,anabavy,anabavy,anadahy,anjaravady,anadahy,rahalahy,anadahy,rahavavy,anabavy,anjaravady,rahalahy,anadahy,anabavy,anjaravady,anjaravady,rahalahy,anabavy,anjaravady,rahalahy,anjaravady,anabavy,anabavy,rahavavy,anjaravady,rahalahy,anjaravady,anjaravady,rahavavy,anabavy,rahavavy,anabavy,anjaravady,anabavy,rahavavy,anjaravady,anjaravady,anjaravady,anjaravady,anadahy,rahavavy,rahalahy,anadahy,anadahy,anadahy,anjaravady,rahavavy,anjaravady,rahalahy,anabavy,anjaravady,anjaravady,anjaravady,anjaravady,anjaravady,anjaravady,anjaravady,anadahy,anabavy,anjaravady,rahalahy,anadahy,rahalahy,anjaravady,anjaravady,anabavanbaba,rahavaviandreny,anadhiandreny,rahalahiandraiko,anadhiandreny,rahavaviandreny,rahavaviandreny,anadhiandreny,rahalahiandraiko,anabavanbaba,rahalahiandraiko,anabavanbaba,anadhiandreny,baba,anadhiandreny,anabavanbaba,rahalahiandraiko,anabavanbaba,anabavanbaba,baba,anadhiandreny,rahavaviandreny,rahalahiandraiko,rahavaviandreny,rahalahiandraiko,rahavaviandreny
6,0.18299663883600004,1.555791128905699,1.372794490069699,anadahy,anadahy,anjaravady,anjaravady,anabavy,anjaravady,anabavy,rahalahy,rahavavy,rahalahy,anadahy,anabavy,anabavy,anjaravady,anadahy,rahalahy,rahalahy,anjaravady,anjaravady,rahalahy,anjaravady,anjaravady,anjaravady,anabavy,anjaravady,rahavavy,anjaravady,anjaravady,anjaravady,anjaravady,anjaravady,anjaravady,anjaravady,anadahy,rahalahy,anjaravady,anjaravady,anabavy,anjaravady,rahalahy,anabavy,rahalahy,anjaravady,anjaravady,anabavy,anjaravady,rahavavy,anjaravady,anadahy,anabavy,anjaravady,rahalahy,anadahy,rahavavy,anjaravady,anjaravady,rahavavy,rahavavy,rahavavy,rahavavy,rahalahy,anjaravady,anabavy,anabavy,rahalahy,anjaravady,anadahy,anabavy,rahavavy,anjaravady,anabavy,rahavavy,anjaravady,anjaravady,rahalahy,anadahy,anadahy,rahavavy,anjaravady,rahavavy,rahavavy,anabavy,anjaravady,anadahy,rahalahy,anadahy,anjaravady,rahavavy,anjaravady,anabavy,baba,rahalahiandraiko,rahalahiandraiko,rahavaviandreny,anadhiandreny,anadhiandreny,anabavanbaba,anabavanbaba,anadhiandreny,rahalahiandraiko,anadhiandreny,rahavaviandreny,rahalahiandraiko,baba,rahavaviandreny,rahalahiandraiko,anabavanbaba,rahalahiandraiko,anabavanbaba,anadhiandreny,rahavaviandreny,anadhiandreny,anabavanbaba,anabavanbaba,rahavaviandreny,rahavaviandreny
7,0.1291348079037924,1.5806157700524324,1.45148096214864,anadahy,rahalahy,rahavavy,anabavy,rahavavy,anjaravady,anjaravady,anabavy,anjaravady,anabavy,rahavavy,rahalahy,anjaravady,rahalahy,rahalahy,anabavy,anabavy,anjaravady,anjaravady,anjaravady,anjaravady,anadahy,rahavavy,anjaravady,anjaravady,anjaravady,anabavy,anadahy,anjaravady,rahavavy,rahavavy,anjaravady,anabavy,rahavavy,anjaravady,rahavavy,anjaravady,anjaravady,anadahy,anjaravady,rahalahy,rahavavy,rahalahy,rahavavy,anjaravady,anjaravady,anadahy,anjaravady,rahavavy,rahalahy,anadahy,anjaravady,anjaravady,anjaravady,rahavavy,anadahy,rahalahy,rahavavy,rahalahy,anadahy,anabavy,anjaravady,anabavy,anjaravady,anabavy,rahalahy,anadahy,anjaravady,anjaravady,anadahy,rahalahy,anjaravady,anjaravady,anjaravady,anabavy,anadahy,anjaravady,anabavy,anjaravady,anjaravady,anabavy,anjaravady,anjaravady,anadahy,anabavy,anjaravady,anabavy,rahavavy,rahalahy,rahalahy,anabavanbaba,baba,anadhiandreny,anabavanbaba,rahalahiandraiko,anadhiandreny,rahavaviandreny,rahavaviandreny,rahavaviandreny,rahalahiandraiko,anabavanbaba,anadhiandreny,anabavanbaba,rahalahiandraiko,anabavanbaba,rahavaviandreny,baba,rahalahiandraiko,anadhiandreny,anabavanbaba,rahavaviandreny,rahavaviandreny,rahalahiandraiko,anadhiandreny,rahalahiandraiko,anadhiandreny
8,0.0980356863398375,1.5538275771507912,1.4557918908109537,rahalahy,anadahy,rahalahy,rahalahy,rahavavy,rahavavy,rahavavy,anjaravady,rahalahy,anadahy,rahavavy,anjaravady,rahalahy,anabavy,anabavy,rahavavy,rahalahy,anjaravady,anjaravady,anjaravady,anjaravady,anjaravady,anadahy,anabavy,anjaravady,anabavy,anjaravady,anjaravady,anadahy,anabavy,anabavy,anabavy,anjaravady,rahalahy,anjaravady,anjaravady,rahalahy,rahalahy,anadahy,anjaravady,anjaravady,anabavy,anabavy,anjaravady,anjaravady,rahavavy,anjaravady,anjaravady,rahavavy,anjaravady,anjaravady,anjaravady,anjaravady,anjaravady,anabavy,anjaravady,rahavavy,rahalahy,anabavy,rahalahy,anabavy,anjaravady,anjaravady,anjaravady,anadahy,anjaravady,anjaravady,rahavavy,anadahy,rahalahy,rahavavy,anjaravady,anabavy,anabavy,rahavavy,anadahy,anadahy,anjaravady,rahavavy,anjaravady,anabavy,rahavavy,anjaravady,rahavavy,anadahy,rahalahy,anjaravady,anadahy,anjaravady,anadahy,anabavanbaba,rahavaviandreny,anadhiandreny,rahalahiandraiko,rahavaviandreny,rahavaviandreny,anadhiandreny,anadhiandreny,anadhiandreny,anabavanbaba,rahalahiandraiko,anadhiandreny,rahalahiandraiko,anabavanbaba,anabavanbaba,anabavanbaba,baba,rahavaviandreny,rahavaviandreny,rahavaviandreny,baba,rahalahiandraiko,rahalahiandraiko,rahalahiandraiko,anabavanbaba,anadhiandreny
9,0.15604343118479536,1.5545536976886307,1.3985102665038354,anjaravady,anadahy,rahavavy,anabavy,anabavy,anadahy,anjaravady,anjaravady,anadahy,rahalahy,anabavy,anadahy,anjaravady,anjaravady,anadahy,anjaravady,anjaravady,rahavavy,anabavy,rahalahy,rahalahy,rahalahy,anadahy,anjaravady,anabavy,anjaravady,rahavavy,anjaravady,anjaravady,anjaravady,anjaravady,anadahy,rahavavy,anjaravady,rahavavy,rahavavy,rahalahy,rahavavy,rahavavy,anadahy,anabavy,anabavy,anjaravady,rahavavy,anjaravady,anjaravady,anabavy,anjaravady,rahavavy,anjaravady,rahalahy,anadahy,anjaravady,anabavy,anjaravady,anjaravady,anjaravady,anabavy,anjaravady,rahalahy,anjaravady,anjaravady,anjaravady,anabavy,anjaravady,anjaravady,rahavavy,rahavavy,anabavy,rahavavy,anadahy,anabavy,anjaravady,rahalahy,anadahy,anabavy,anjaravady,anjaravady,rahalahy,anadahy,rahalahy,anjaravady,anjaravady,anjaravady,anabavy,anjaravady,rahalahy,rahalahy,rahavavy,rahalahy,baba,anabavanbaba,rahalahiandraiko,anabavanbaba,anadhiandreny,rahalahiandraiko,anabavanbaba,anabavanbaba,anadhiandreny,rahavaviandreny,rahavaviandreny,rahalahiandraiko,rahavaviandreny,anadhiandreny,anadhiandreny,rahavaviandreny,anadhiandreny,anabavanbaba,anabavanbaba,anadhiandreny,rahalahiandraiko,rahavaviandreny,rahalahiandraiko,rahalahiandraiko,rahavaviandreny,baba
