simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,meZ,myZ,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,feB,fyB,feZ,fyZ,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.29666170085552035,1.6519074019387887,1.3552457010832684,che-rykera,che-rikayra,che-rykera,che-kuwyra,che-rinyra,che-rinyra,che-kypýura,che-rykera,che-kypýura,che-rinyra,che-rikayra,che-rikayra,che-rinyra,che-kypýura,che-rinyra,che-kypýura,che-kuwyra,che-kuwyra,che-kuwyra,che-kuwyra,che-riwyra,che-kuwyra,che-rikayra,che-rinyra,che-kypýura,che-rinyra,che-kuwyra,che-rinyra,che-kuwyra,che-rikayra,che-rykera,che-rinyra,che-riwyra,che-riwyra,che-riwyra,che-rykera,che-kuwyra,che-rinyra,che-kuwyra,che-riwyra,che-ropy,che-totyra,che-chanche,che-chanche,che-yura,che-yura,che-ropy,che-totyra,che-rowyrangi,che-rowyrangi,che-vi,che-ropy,che-chotyrangi,che-chanche,che-totyra,che-ropy,che-yura,che-rowyrangi,che-yura,che-chotyrangi,che-chanche,che-yura,che-chanche,che-vi,che-chotyrangi,che-chanche,che-ropy,che-yura
1,0.4660633478456293,1.8555304192897009,1.3894670714440716,che-rinyra,che-kypýura,che-riwyra,che-kypýura,che-rykera,che-rykera,che-kuwyra,che-rinyra,che-kuwyra,che-kuwyra,che-kypýura,che-rinyra,che-rinyra,che-rykera,che-rinyra,che-riwyra,che-riwyra,che-riwyra,che-kuwyra,che-rykera,che-rinyra,che-rikayra,che-kuwyra,che-rykera,che-rikayra,che-kuwyra,che-kuwyra,che-kuwyra,che-kuwyra,che-kypýura,che-rinyra,che-rinyra,che-rinyra,che-rikayra,che-rinyra,che-kypýura,che-rikayra,che-kuwyra,che-rikayra,che-riwyra,che-yura,che-ropy,che-rowyrangi,che-chotyrangi,che-vi,che-chanche,che-ropy,che-chanche,che-chanche,che-vi,che-chanche,che-ropy,che-yura,che-rowyrangi,che-totyra,che-yura,che-ropy,che-chanche,che-totyra,che-chanche,che-rowyrangi,che-yura,che-chotyrangi,che-ropy,che-totyra,che-yura,che-chotyrangi,che-yura
2,0.4247502562232346,1.7075486395281876,1.282798383304953,che-kuwyra,che-kuwyra,che-rinyra,che-rykera,che-rykera,che-kypýura,che-rykera,che-rykera,che-rikayra,che-kuwyra,che-kuwyra,che-kypýura,che-kuwyra,che-rinyra,che-rinyra,che-rinyra,che-rikayra,che-rikayra,che-kuwyra,che-rinyra,che-riwyra,che-riwyra,che-rikayra,che-rikayra,che-kypýura,che-kuwyra,che-rinyra,che-rinyra,che-riwyra,che-rinyra,che-rinyra,che-riwyra,che-rinyra,che-kuwyra,che-riwyra,che-kuwyra,che-rykera,che-kypýura,che-kypýura,che-kuwyra,che-chanche,che-totyra,che-chotyrangi,che-vi,che-chotyrangi,che-chotyrangi,che-totyra,che-ropy,che-yura,che-chanche,che-chanche,che-yura,che-yura,che-rowyrangi,che-chanche,che-rowyrangi,che-chanche,che-ropy,che-ropy,che-vi,che-ropy,che-yura,che-yura,che-rowyrangi,che-yura,che-totyra,che-ropy,che-chanche
3,0.42500837183728124,1.8423823368234267,1.4173739649861454,che-kuwyra,che-rykera,che-kypýura,che-rinyra,che-kypýura,che-rinyra,che-rinyra,che-rykera,che-rykera,che-kuwyra,che-riwyra,che-rykera,che-rinyra,che-rinyra,che-riwyra,che-rikayra,che-kuwyra,che-riwyra,che-kuwyra,che-rinyra,che-rikayra,che-rikayra,che-kuwyra,che-kuwyra,che-rinyra,che-kuwyra,che-rykera,che-kypýura,che-rinyra,che-rinyra,che-riwyra,che-kypýura,che-rinyra,che-kuwyra,che-kuwyra,che-rikayra,che-kuwyra,che-riwyra,che-rikayra,che-kypýura,che-totyra,che-chanche,che-yura,che-vi,che-vi,che-yura,che-chotyrangi,che-chanche,che-chanche,che-totyra,che-rowyrangi,che-yura,che-yura,che-chanche,che-chanche,che-ropy,che-chotyrangi,che-yura,che-rowyrangi,che-yura,che-ropy,che-chotyrangi,che-ropy,che-ropy,che-totyra,che-chanche,che-ropy,che-rowyrangi
4,0.505968914402914,1.8775832281676081,1.3716143137646941,che-rykera,che-kuwyra,che-rikayra,che-kuwyra,che-kypýura,che-rinyra,che-rikayra,che-rinyra,che-rinyra,che-rykera,che-rikayra,che-rinyra,che-rinyra,che-rinyra,che-rinyra,che-kuwyra,che-kuwyra,che-kypýura,che-kuwyra,che-riwyra,che-kypýura,che-kuwyra,che-kypýura,che-riwyra,che-rykera,che-kuwyra,che-rinyra,che-kuwyra,che-kuwyra,che-kypýura,che-riwyra,che-rinyra,che-rykera,che-riwyra,che-riwyra,che-rikayra,che-rinyra,che-rykera,che-kuwyra,che-rikayra,che-totyra,che-ropy,che-yura,che-vi,che-chotyrangi,che-ropy,che-ropy,che-yura,che-chanche,che-chanche,che-chotyrangi,che-yura,che-yura,che-rowyrangi,che-totyra,che-chotyrangi,che-chanche,che-rowyrangi,che-chanche,che-vi,che-chanche,che-totyra,che-rowyrangi,che-yura,che-ropy,che-ropy,che-chanche,che-yura
5,0.5158505007708618,1.8187197263398924,1.3028692255690306,che-riwyra,che-rinyra,che-riwyra,che-kuwyra,che-rikayra,che-rinyra,che-rikayra,che-kuwyra,che-riwyra,che-rykera,che-rykera,che-kuwyra,che-kypýura,che-kuwyra,che-rinyra,che-kuwyra,che-kuwyra,che-kypýura,che-kypýura,che-rykera,che-rinyra,che-rinyra,che-rinyra,che-rinyra,che-kypýura,che-kypýura,che-rinyra,che-rikayra,che-rikayra,che-rinyra,che-rykera,che-rikayra,che-kuwyra,che-kuwyra,che-rykera,che-rinyra,che-riwyra,che-kuwyra,che-kuwyra,che-riwyra,che-yura,che-chotyrangi,che-rowyrangi,che-ropy,che-ropy,che-chanche,che-chotyrangi,che-chotyrangi,che-chanche,che-chanche,che-ropy,che-vi,che-yura,che-totyra,che-yura,che-vi,che-ropy,che-chanche,che-totyra,che-yura,che-chanche,che-yura,che-rowyrangi,che-totyra,che-chanche,che-rowyrangi,che-ropy,che-yura
6,0.4947781398802311,1.7372429525461675,1.2424648126659363,che-riwyra,che-kypýura,che-kypýura,che-kuwyra,che-rinyra,che-rinyra,che-rinyra,che-kuwyra,che-riwyra,che-rikayra,che-rinyra,che-kuwyra,che-rinyra,che-riwyra,che-rykera,che-rinyra,che-rykera,che-rykera,che-kypýura,che-rykera,che-rikayra,che-rikayra,che-kuwyra,che-kypýura,che-rikayra,che-rinyra,che-riwyra,che-kypýura,che-kuwyra,che-rinyra,che-rykera,che-rikayra,che-rinyra,che-kuwyra,che-kuwyra,che-riwyra,che-kuwyra,che-kuwyra,che-rinyra,che-kuwyra,che-vi,che-rowyrangi,che-ropy,che-totyra,che-yura,che-ropy,che-chotyrangi,che-yura,che-ropy,che-chotyrangi,che-vi,che-chanche,che-chotyrangi,che-yura,che-rowyrangi,che-totyra,che-yura,che-yura,che-chanche,che-totyra,che-chanche,che-chanche,che-rowyrangi,che-ropy,che-chanche,che-yura,che-chanche,che-ropy
7,0.4132119753625876,1.6930957639574056,1.279883788594818,che-rikayra,che-rikayra,che-rikayra,che-rinyra,che-rinyra,che-riwyra,che-kypýura,che-rinyra,che-kuwyra,che-rinyra,che-kuwyra,che-rinyra,che-kuwyra,che-riwyra,che-riwyra,che-rinyra,che-rinyra,che-kypýura,che-rykera,che-rykera,che-kuwyra,che-rykera,che-kuwyra,che-riwyra,che-rinyra,che-kuwyra,che-rikayra,che-kuwyra,che-rinyra,che-rykera,che-kuwyra,che-rikayra,che-kypýura,che-rinyra,che-kypýura,che-kypýura,che-rykera,che-kuwyra,che-riwyra,che-kuwyra,che-yura,che-yura,che-ropy,che-chanche,che-totyra,che-yura,che-totyra,che-yura,che-chotyrangi,che-rowyrangi,che-yura,che-ropy,che-chotyrangi,che-ropy,che-chanche,che-vi,che-chanche,che-rowyrangi,che-rowyrangi,che-vi,che-chotyrangi,che-chanche,che-totyra,che-chanche,che-chanche,che-ropy,che-yura,che-ropy
8,0.3750744916650963,1.8437340228150072,1.4686595311499109,che-riwyra,che-rikayra,che-rinyra,che-rykera,che-kypýura,che-riwyra,che-kypýura,che-kuwyra,che-kuwyra,che-kuwyra,che-kypýura,che-rinyra,che-rikayra,che-kuwyra,che-rykera,che-kypýura,che-rikayra,che-rinyra,che-rinyra,che-kuwyra,che-rinyra,che-rinyra,che-kuwyra,che-rinyra,che-riwyra,che-rikayra,che-kuwyra,che-kuwyra,che-kuwyra,che-rinyra,che-rykera,che-rinyra,che-rinyra,che-rykera,che-rykera,che-riwyra,che-kypýura,che-riwyra,che-kuwyra,che-rikayra,che-vi,che-chanche,che-rowyrangi,che-yura,che-chanche,che-ropy,che-rowyrangi,che-yura,che-chotyrangi,che-ropy,che-yura,che-totyra,che-rowyrangi,che-yura,che-chanche,che-totyra,che-ropy,che-chotyrangi,che-chotyrangi,che-totyra,che-yura,che-ropy,che-chanche,che-yura,che-chanche,che-vi,che-chanche,che-ropy
9,0.31273879116078285,1.8271579735321448,1.514419182371362,che-rinyra,che-rinyra,che-kuwyra,che-riwyra,che-kypýura,che-riwyra,che-rinyra,che-kypýura,che-kuwyra,che-kuwyra,che-rykera,che-rinyra,che-kuwyra,che-kypýura,che-rinyra,che-riwyra,che-kuwyra,che-riwyra,che-kuwyra,che-rykera,che-rinyra,che-rykera,che-rinyra,che-rikayra,che-kuwyra,che-riwyra,che-rinyra,che-rykera,che-rikayra,che-kypýura,che-rinyra,che-rikayra,che-rinyra,che-kuwyra,che-rikayra,che-rykera,che-kypýura,che-kuwyra,che-rikayra,che-kuwyra,che-chotyrangi,che-rowyrangi,che-totyra,che-yura,che-chanche,che-yura,che-yura,che-chanche,che-rowyrangi,che-ropy,che-chotyrangi,che-totyra,che-ropy,che-chanche,che-ropy,che-chanche,che-yura,che-totyra,che-yura,che-vi,che-chanche,che-chanche,che-ropy,che-chotyrangi,che-vi,che-rowyrangi,che-ropy,che-yura
