simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mFZS,mMBS,mMZS,mFBD,mFZD,mMBD,mMZD,fFBS,fFZS,fMBS,fMZS,fFBD,fFZD,fMBD,fMZD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.031410352786099605,1.1396856259428154,1.1082752731567158,manghud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,magulang,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,manghud,manghud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,manghud,patungud,patungud,patungud,patungud,patungud,magulang,patungud,patungud,magulang,patungud,patungud,patungud,patungud,"bapa', amaun","bapa', amaun","bapu', inaun","bapu', inaun","bapa', amaun","bapa', amaun","bapa', amaun","bapu', inaun","bapa', amaun",ama',"bapa', amaun","bapu', inaun",ama',ina',"bapu', inaun","bapu', inaun","bapa', amaun",ina',"bapu', inaun","bapu', inaun"
1,0.1213233146534014,1.2149847829974896,1.0936614683440882,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,magulang,patungud,patungud,patungud,patungud,magulang,patungud,manghud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,magulang,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,manghud,patungud,patungud,manghud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,manghud,patungud,patungud,patungud,patungud,patungud,patungud,"bapa', amaun","bapu', inaun",ina',"bapu', inaun",ina',"bapu', inaun","bapa', amaun","bapu', inaun","bapa', amaun","bapu', inaun","bapu', inaun","bapa', amaun","bapa', amaun","bapu', inaun","bapa', amaun","bapa', amaun",ama',ama',"bapu', inaun","bapa', amaun"
2,0.05354995835970611,1.1907686023357982,1.137218643976092,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,magulang,patungud,patungud,patungud,manghud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,magulang,patungud,patungud,patungud,patungud,manghud,patungud,patungud,patungud,patungud,magulang,patungud,patungud,patungud,patungud,patungud,patungud,manghud,patungud,manghud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,"bapu', inaun","bapa', amaun","bapu', inaun","bapu', inaun","bapa', amaun",ina',"bapa', amaun",ama',"bapu', inaun","bapa', amaun",ina',"bapu', inaun","bapa', amaun","bapa', amaun","bapu', inaun","bapu', inaun","bapa', amaun","bapu', inaun",ama',"bapa', amaun"
3,0.015981470428557243,1.2149847829974896,1.1990033125689323,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,magulang,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,manghud,patungud,patungud,patungud,patungud,patungud,manghud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,magulang,patungud,patungud,patungud,patungud,patungud,patungud,manghud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,manghud,patungud,patungud,magulang,patungud,patungud,patungud,patungud,patungud,patungud,patungud,"bapu', inaun","bapa', amaun",ama',"bapu', inaun","bapa', amaun",ina',"bapu', inaun","bapa', amaun",ina',"bapa', amaun","bapu', inaun","bapa', amaun","bapa', amaun","bapu', inaun","bapu', inaun","bapu', inaun",ama',"bapa', amaun","bapa', amaun","bapu', inaun"
4,0.031460323152258995,1.2135652713163756,1.1821049481641166,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,manghud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,manghud,patungud,patungud,patungud,patungud,patungud,manghud,patungud,patungud,patungud,patungud,patungud,magulang,patungud,patungud,patungud,patungud,manghud,magulang,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,magulang,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,"bapa', amaun","bapa', amaun",ama',"bapu', inaun",ama',"bapa', amaun","bapa', amaun","bapu', inaun",ina',"bapu', inaun","bapu', inaun","bapu', inaun","bapa', amaun","bapa', amaun","bapa', amaun",ina',"bapu', inaun","bapu', inaun","bapa', amaun","bapu', inaun"
5,0.11023368001347955,1.2356950957386335,1.125461415725154,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,manghud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,magulang,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,magulang,patungud,patungud,manghud,patungud,manghud,patungud,patungud,patungud,patungud,patungud,magulang,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,manghud,patungud,patungud,patungud,patungud,patungud,patungud,"bapu', inaun",ama',ama',ina',"bapu', inaun","bapa', amaun","bapu', inaun","bapa', amaun","bapa', amaun","bapu', inaun","bapa', amaun","bapa', amaun",ina',"bapu', inaun","bapu', inaun","bapa', amaun","bapu', inaun","bapa', amaun","bapu', inaun","bapa', amaun"
6,0.0963870442992516,1.1935496040981333,1.0971625597988817,patungud,manghud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,manghud,patungud,patungud,manghud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,magulang,patungud,patungud,patungud,patungud,magulang,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,magulang,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,manghud,patungud,patungud,patungud,patungud,patungud,ama',"bapu', inaun","bapa', amaun","bapa', amaun","bapu', inaun","bapu', inaun","bapa', amaun","bapa', amaun","bapu', inaun",ama',"bapa', amaun",ina',"bapu', inaun","bapa', amaun",ina',"bapu', inaun","bapa', amaun","bapa', amaun","bapu', inaun","bapu', inaun"
7,0.06206612780033405,1.192854958575232,1.130788830774898,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,manghud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,manghud,patungud,patungud,patungud,magulang,patungud,patungud,patungud,patungud,patungud,patungud,manghud,magulang,patungud,manghud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,magulang,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,"bapa', amaun",ina',"bapa', amaun","bapu', inaun","bapu', inaun","bapu', inaun","bapu', inaun",ama',"bapa', amaun","bapu', inaun","bapa', amaun","bapa', amaun",ina',"bapu', inaun","bapa', amaun",ama',"bapu', inaun","bapu', inaun","bapa', amaun","bapa', amaun"
8,0.12505462284360624,1.1403524705011352,1.015297847657529,patungud,magulang,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,magulang,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,manghud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,manghud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,magulang,patungud,patungud,patungud,manghud,patungud,patungud,manghud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,"bapa', amaun","bapu', inaun","bapa', amaun","bapu', inaun","bapu', inaun","bapu', inaun","bapa', amaun","bapa', amaun","bapa', amaun","bapa', amaun","bapu', inaun","bapa', amaun",ama',ina',"bapu', inaun",ina',ama',"bapu', inaun","bapu', inaun","bapa', amaun"
9,0.09058854090209656,1.2149847829974896,1.124396242095393,patungud,patungud,patungud,patungud,patungud,manghud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,magulang,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,manghud,patungud,patungud,patungud,patungud,magulang,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,manghud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,magulang,patungud,patungud,manghud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,ina',"bapa', amaun","bapa', amaun",ama',"bapa', amaun","bapu', inaun","bapu', inaun","bapu', inaun",ina',"bapu', inaun","bapu', inaun","bapu', inaun","bapa', amaun","bapa', amaun",ama',"bapu', inaun","bapa', amaun","bapu', inaun","bapa', amaun","bapa', amaun"
