simulation_number,mutual_information,entropy,conditional_entropy,mM,fF,fM,mFeB,mFyB,mMeB,mMyB,fFeB,fFyB,fMeB,fMyB
0,NA,NA,NA,meme,meme,meme,tama,sabe,sabe,rabui,meme,sabe,sabe,rabui
1,NA,NA,NA,rabui,sabe,meme,meme,sabe,tama,meme,rabui,sabe,meme,sabe
2,NA,NA,NA,meme,sabe,sabe,meme,tama,meme,rabui,sabe,sabe,rabui,meme
3,NA,NA,NA,sabe,meme,meme,meme,sabe,meme,tama,rabui,sabe,rabui,sabe
4,NA,NA,NA,rabui,meme,meme,sabe,rabui,sabe,meme,tama,meme,sabe,sabe
5,NA,NA,NA,meme,rabui,meme,rabui,meme,sabe,sabe,sabe,sabe,meme,tama
6,NA,NA,NA,rabui,meme,sabe,tama,sabe,meme,sabe,meme,sabe,meme,rabui
7,NA,NA,NA,sabe,sabe,sabe,meme,sabe,rabui,meme,tama,meme,rabui,meme
8,NA,NA,NA,meme,tama,sabe,meme,meme,meme,sabe,rabui,sabe,rabui,sabe
9,NA,NA,NA,sabe,meme,meme,tama,rabui,meme,meme,sabe,sabe,sabe,rabui
