simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mFZS,mMBS,mMZS,mFBD,mFZD,mMBD,mMZD,fFBS,fFZS,fMBS,fMZS,fFBD,fFZD,fMBD,fMZD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.1470176302641113,1.358231894813244,1.2112142645491326,taina faka-laui,kave faka-laui,kave,taina faka-pariki,kave faka-laui,kave faka-pariki,taina faka-pariki,kave faka-pariki,taina faka-laui,kave faka-pariki,kave faka-pariki,taina faka-pariki,taina faka-laui,taina faka-pariki,taina faka-pariki,kave,kave faka-pariki,taina faka-pariki,taina faka-laui,taina faka-pariki,taina faka-laui,taina faka-laui,taina faka-laui,taina faka-laui,kave faka-laui,kave faka-laui,kave faka-pariki,kave faka-pariki,kave faka-pariki,taina faka-laui,taina faka-pariki,taina faka-laui,taina,kave faka-laui,kave faka-laui,kave faka-laui,kave faka-pariki,taina faka-laui,kave faka-laui,kave faka-laui,taina faka-pariki,taina faka-pariki,kave faka-pariki,taina faka-laui,kave faka-laui,taina faka-laui,kave faka-laui,taina,kave faka-laui,kave faka-pariki,taina faka-laui,taina faka-pariki,kave faka-pariki,kave faka-laui,kave faka-pariki,taina faka-pariki,taina faka-laui,kave faka-laui,taina faka-pariki,kave,taina faka-pariki,kave faka-pariki,taina faka-laui,taina faka-pariki,taina faka-pariki,kave faka-laui,kave faka-pariki,taina faka-laui,taina faka-pariki,kave faka-pariki,taina faka-laui,taina faka-pariki,taina faka-pariki,kave faka-laui,kave faka-laui,kave faka-pariki,kave faka-pariki,kave faka-pariki,kave faka-laui,taina faka-pariki,taina,taina faka-laui,kave faka-laui,kave faka-pariki,kave,masikitanga,tinana,tuatina,tamana,tinana,tinana,tinana,tamana,masikitanga,tamana,tuatina,tamana,tamana,tuatina,tinana,tinana,tamana,tuatina,masikitanga,masikitanga
1,0.16754260821120437,1.3479100982119798,1.1803674900007755,taina faka-laui,taina faka-pariki,kave faka-pariki,kave faka-pariki,kave faka-pariki,taina faka-laui,kave faka-laui,taina faka-pariki,taina faka-pariki,taina faka-laui,kave faka-laui,taina faka-laui,kave,taina,taina faka-laui,taina faka-laui,kave faka-laui,kave faka-pariki,taina faka-laui,kave faka-pariki,taina faka-pariki,taina faka-laui,kave faka-pariki,kave faka-laui,taina faka-pariki,taina faka-laui,taina faka-laui,taina,kave faka-pariki,kave faka-laui,taina faka-pariki,kave faka-laui,kave,taina faka-laui,taina faka-pariki,kave faka-pariki,kave faka-laui,taina faka-pariki,taina faka-pariki,taina faka-pariki,kave faka-laui,kave faka-laui,kave faka-laui,taina faka-pariki,kave faka-laui,kave faka-laui,taina,taina faka-pariki,kave faka-pariki,kave faka-laui,kave faka-laui,taina faka-pariki,kave faka-pariki,taina faka-laui,kave faka-pariki,kave faka-pariki,kave faka-pariki,taina faka-pariki,taina faka-laui,taina faka-laui,kave faka-pariki,taina faka-pariki,taina faka-laui,kave faka-laui,taina faka-pariki,taina faka-pariki,kave faka-pariki,kave faka-pariki,kave faka-laui,kave faka-pariki,taina faka-laui,taina faka-laui,kave faka-pariki,kave faka-laui,kave faka-laui,taina faka-pariki,kave faka-pariki,kave,kave,kave faka-pariki,taina faka-laui,taina faka-pariki,taina faka-laui,taina faka-pariki,kave faka-laui,tinana,tinana,tinana,tinana,tinana,tuatina,masikitanga,tuatina,masikitanga,tuatina,tamana,tamana,tinana,tuatina,masikitanga,tamana,masikitanga,tamana,tamana,tamana
2,0.2079580519017834,1.3652324447549333,1.15727439285315,taina faka-laui,taina faka-pariki,taina,kave faka-pariki,taina faka-pariki,taina faka-pariki,kave faka-pariki,taina faka-pariki,kave faka-laui,kave faka-laui,kave,kave faka-pariki,taina,kave faka-pariki,taina faka-laui,taina faka-pariki,taina faka-laui,kave faka-pariki,kave faka-pariki,kave faka-pariki,taina faka-laui,taina faka-pariki,taina faka-laui,taina faka-laui,kave faka-laui,kave faka-pariki,kave faka-pariki,kave faka-laui,taina faka-laui,taina faka-pariki,kave faka-pariki,taina faka-laui,taina faka-pariki,taina faka-laui,kave faka-pariki,taina faka-laui,taina faka-pariki,taina faka-pariki,kave,taina faka-pariki,taina faka-laui,taina faka-pariki,kave faka-laui,kave faka-laui,kave faka-pariki,kave faka-pariki,taina faka-laui,kave faka-laui,taina faka-pariki,kave faka-pariki,kave,taina faka-laui,kave faka-laui,kave faka-laui,kave faka-pariki,taina faka-pariki,taina faka-pariki,kave faka-laui,kave faka-laui,taina faka-laui,taina faka-pariki,kave faka-laui,taina faka-pariki,taina,kave,kave faka-laui,taina faka-pariki,kave faka-pariki,kave faka-pariki,kave faka-laui,taina faka-pariki,kave faka-laui,taina faka-laui,kave faka-laui,kave faka-laui,taina faka-pariki,taina faka-laui,taina faka-laui,kave faka-laui,kave faka-pariki,taina faka-laui,kave faka-laui,kave faka-pariki,kave faka-pariki,taina faka-laui,tinana,tuatina,tamana,tinana,tamana,tinana,tinana,tamana,tamana,masikitanga,tamana,tuatina,masikitanga,tamana,tinana,tuatina,masikitanga,masikitanga,tuatina,tinana
3,0.11541113502009126,1.3553241485015382,1.239913013481447,kave faka-pariki,kave faka-pariki,taina faka-laui,taina faka-pariki,kave faka-laui,kave faka-laui,kave faka-laui,taina faka-pariki,kave,kave faka-pariki,taina faka-pariki,kave faka-laui,kave faka-laui,kave,taina faka-laui,kave faka-laui,kave faka-laui,kave faka-pariki,taina faka-pariki,taina faka-pariki,taina,kave faka-pariki,kave faka-laui,taina faka-pariki,taina faka-pariki,kave faka-laui,taina faka-pariki,taina faka-laui,taina faka-pariki,kave,taina faka-laui,kave faka-pariki,kave faka-laui,taina faka-pariki,taina,taina,taina faka-laui,taina faka-laui,kave faka-pariki,kave faka-pariki,taina faka-pariki,taina faka-laui,kave faka-pariki,taina faka-laui,kave,kave faka-pariki,taina faka-laui,kave faka-pariki,taina faka-pariki,taina faka-pariki,taina faka-pariki,kave faka-pariki,kave faka-pariki,taina faka-laui,kave faka-laui,taina faka-laui,kave faka-pariki,taina faka-pariki,kave faka-laui,kave faka-laui,taina faka-pariki,taina faka-laui,kave faka-pariki,kave faka-pariki,kave faka-laui,taina faka-pariki,kave faka-pariki,taina faka-laui,taina faka-laui,kave faka-pariki,taina faka-laui,taina faka-laui,kave faka-laui,taina faka-laui,kave faka-laui,kave faka-pariki,taina faka-pariki,taina faka-laui,kave faka-pariki,kave faka-laui,taina faka-pariki,taina faka-pariki,taina faka-laui,kave faka-laui,kave faka-laui,tuatina,tinana,masikitanga,tamana,tamana,masikitanga,tamana,tamana,tamana,tinana,tinana,tinana,tinana,tuatina,tuatina,tinana,masikitanga,masikitanga,tuatina,tamana
4,0.11951859810562637,1.3698615354811867,1.2503429373755603,kave faka-pariki,kave faka-pariki,taina faka-laui,taina faka-pariki,taina faka-pariki,taina faka-laui,kave faka-pariki,taina faka-pariki,kave faka-pariki,taina faka-pariki,taina faka-pariki,taina faka-laui,kave faka-laui,kave faka-laui,kave faka-laui,taina faka-laui,kave faka-laui,kave faka-laui,taina faka-pariki,kave,taina faka-pariki,kave faka-pariki,taina faka-pariki,kave faka-laui,kave faka-laui,taina faka-laui,taina,taina faka-laui,taina faka-pariki,kave faka-laui,taina faka-laui,kave faka-pariki,kave faka-pariki,taina faka-laui,kave faka-laui,kave faka-laui,kave,taina faka-laui,kave faka-laui,taina faka-laui,kave faka-pariki,taina,kave faka-laui,kave faka-laui,taina faka-laui,kave,taina faka-laui,taina faka-pariki,kave,taina faka-laui,kave faka-pariki,taina faka-laui,kave faka-laui,kave faka-laui,kave faka-pariki,taina faka-laui,taina faka-pariki,kave faka-laui,kave faka-pariki,taina faka-pariki,taina faka-pariki,taina faka-laui,taina,kave faka-pariki,kave faka-laui,taina faka-laui,kave faka-pariki,taina faka-pariki,taina faka-pariki,taina faka-laui,kave faka-pariki,kave faka-pariki,taina faka-pariki,kave faka-pariki,taina faka-pariki,kave faka-laui,kave faka-pariki,kave faka-pariki,taina faka-pariki,taina faka-laui,kave faka-laui,taina faka-pariki,taina faka-pariki,kave faka-pariki,kave faka-pariki,tinana,tuatina,tamana,masikitanga,tamana,tamana,tamana,tuatina,tuatina,tinana,tinana,tinana,tamana,tinana,tinana,tuatina,masikitanga,tamana,masikitanga,masikitanga
5,0.1638445805841695,1.371768896629724,1.2079243160455544,kave faka-laui,taina faka-pariki,kave faka-pariki,taina faka-laui,taina faka-laui,taina faka-pariki,kave faka-laui,taina faka-pariki,taina faka-laui,taina faka-pariki,taina faka-pariki,taina,taina faka-pariki,taina faka-laui,taina faka-laui,kave faka-pariki,taina faka-laui,kave faka-pariki,kave faka-laui,kave faka-pariki,taina faka-pariki,taina faka-laui,kave faka-laui,taina faka-laui,kave,kave faka-pariki,taina faka-laui,kave faka-laui,kave faka-laui,kave faka-laui,taina faka-laui,taina faka-pariki,kave faka-pariki,taina faka-pariki,taina faka-pariki,taina faka-pariki,kave faka-laui,taina faka-laui,taina faka-laui,taina faka-pariki,taina faka-laui,kave faka-pariki,kave faka-pariki,taina faka-pariki,taina faka-laui,kave faka-pariki,taina faka-pariki,kave faka-pariki,taina faka-pariki,kave faka-pariki,kave faka-laui,taina faka-laui,taina faka-laui,kave faka-pariki,taina,taina faka-laui,kave faka-laui,taina faka-pariki,taina faka-laui,taina faka-pariki,kave faka-pariki,kave faka-laui,kave faka-laui,kave,taina faka-pariki,kave faka-pariki,taina,taina faka-pariki,kave faka-pariki,kave faka-pariki,kave faka-laui,kave faka-pariki,kave,kave faka-pariki,taina faka-laui,kave,kave faka-laui,kave faka-pariki,kave faka-laui,kave faka-laui,kave faka-laui,taina faka-pariki,kave faka-pariki,kave faka-laui,kave faka-laui,tamana,masikitanga,tuatina,tinana,tuatina,tuatina,masikitanga,tinana,masikitanga,tinana,tamana,tamana,masikitanga,tinana,tamana,tamana,tuatina,tinana,tamana,tinana
6,0.18997763283226687,1.3698615354811867,1.1798839026489198,kave faka-pariki,kave faka-pariki,taina faka-laui,taina faka-pariki,taina faka-pariki,taina faka-pariki,taina faka-pariki,kave faka-laui,kave faka-pariki,kave faka-pariki,kave faka-laui,taina faka-pariki,kave faka-pariki,taina faka-pariki,taina faka-pariki,taina faka-pariki,taina faka-pariki,kave faka-laui,taina,taina,kave faka-laui,kave faka-laui,taina faka-laui,taina faka-laui,taina faka-laui,taina faka-pariki,kave faka-laui,taina faka-laui,taina faka-pariki,kave,kave faka-pariki,kave faka-pariki,kave faka-laui,taina faka-pariki,taina faka-pariki,kave faka-laui,taina faka-laui,taina faka-pariki,taina faka-pariki,taina faka-laui,taina faka-laui,kave faka-laui,kave faka-laui,taina faka-laui,kave faka-pariki,kave faka-pariki,kave faka-laui,kave faka-pariki,kave faka-laui,kave faka-laui,kave faka-laui,taina faka-laui,kave faka-pariki,kave faka-laui,taina faka-pariki,kave faka-laui,kave faka-laui,kave faka-pariki,kave faka-laui,kave faka-pariki,kave faka-pariki,kave faka-pariki,taina faka-laui,kave faka-pariki,taina faka-laui,taina faka-laui,kave faka-pariki,kave faka-pariki,kave,taina faka-pariki,taina faka-pariki,taina faka-laui,taina faka-laui,taina faka-laui,taina faka-laui,taina faka-laui,taina,kave faka-laui,taina faka-laui,kave faka-pariki,taina faka-pariki,kave,taina faka-pariki,kave,kave faka-pariki,tuatina,tamana,tinana,tuatina,tinana,masikitanga,tamana,masikitanga,tinana,tinana,masikitanga,tamana,tuatina,tamana,masikitanga,tuatina,tinana,tamana,tamana,tinana
7,0.23369221771311177,1.358231894813244,1.1245396771001321,kave faka-laui,taina faka-pariki,kave faka-pariki,taina faka-laui,taina faka-laui,taina faka-pariki,taina faka-pariki,taina faka-pariki,taina faka-pariki,kave faka-laui,kave faka-laui,taina faka-laui,taina faka-pariki,kave faka-laui,kave faka-laui,kave faka-laui,taina faka-pariki,taina faka-pariki,kave faka-laui,taina faka-pariki,taina faka-pariki,taina faka-laui,kave faka-laui,kave faka-laui,taina faka-pariki,taina faka-laui,taina faka-pariki,kave,kave faka-laui,kave faka-laui,taina faka-laui,kave faka-laui,kave faka-pariki,taina faka-laui,kave faka-laui,taina faka-laui,taina,kave faka-laui,taina faka-laui,kave faka-pariki,taina faka-laui,kave faka-pariki,kave,taina faka-pariki,kave faka-laui,kave faka-pariki,kave,taina faka-laui,taina faka-pariki,taina faka-pariki,kave faka-laui,kave faka-pariki,taina faka-pariki,kave faka-pariki,kave faka-pariki,kave faka-pariki,kave faka-pariki,taina faka-laui,kave faka-pariki,taina faka-laui,taina faka-pariki,kave faka-pariki,kave faka-pariki,taina faka-laui,kave faka-pariki,kave faka-laui,taina faka-laui,taina,kave faka-pariki,kave faka-pariki,kave faka-pariki,taina faka-pariki,taina faka-pariki,taina faka-laui,taina,taina faka-pariki,taina faka-laui,kave faka-laui,taina faka-laui,kave faka-pariki,kave faka-pariki,kave faka-pariki,kave faka-laui,kave,taina faka-laui,tamana,tamana,tuatina,tamana,masikitanga,tuatina,tinana,masikitanga,tamana,tinana,tinana,tamana,masikitanga,tuatina,tinana,masikitanga,tinana,tamana,tinana,tuatina
8,0.09854219145301868,1.358231894813244,1.2596897033602252,taina faka-pariki,taina faka-laui,kave faka-pariki,taina faka-laui,taina faka-pariki,kave faka-pariki,kave faka-pariki,taina,kave,kave faka-pariki,kave faka-pariki,taina faka-pariki,taina,kave faka-pariki,taina faka-pariki,kave faka-pariki,taina faka-pariki,taina faka-laui,kave faka-laui,taina faka-laui,kave faka-laui,taina faka-pariki,taina faka-laui,taina faka-pariki,kave faka-laui,taina faka-laui,kave faka-pariki,kave faka-pariki,taina faka-laui,taina faka-pariki,kave faka-pariki,taina faka-laui,kave faka-pariki,taina faka-pariki,kave faka-pariki,taina faka-pariki,kave faka-pariki,kave faka-laui,taina faka-pariki,kave faka-laui,kave faka-pariki,taina faka-laui,kave faka-pariki,taina faka-pariki,kave,taina faka-laui,kave faka-pariki,kave,kave faka-laui,kave faka-laui,kave faka-pariki,kave faka-laui,taina faka-pariki,taina faka-pariki,kave faka-laui,kave faka-laui,taina faka-laui,kave faka-pariki,taina faka-laui,kave faka-laui,kave faka-laui,kave faka-laui,taina faka-laui,taina faka-laui,taina faka-pariki,taina faka-pariki,kave faka-laui,taina,taina faka-laui,kave faka-laui,kave faka-laui,kave,kave faka-laui,kave faka-pariki,taina faka-laui,taina faka-pariki,kave faka-laui,taina faka-pariki,taina faka-pariki,taina faka-laui,kave faka-pariki,kave faka-laui,taina faka-pariki,taina faka-laui,taina faka-laui,tuatina,tinana,tamana,tuatina,tamana,tamana,masikitanga,tinana,tinana,tinana,masikitanga,masikitanga,tinana,tuatina,tuatina,tamana,masikitanga,tinana,tamana,tamana
9,0.27438053056076983,1.3652324447549333,1.0908519141941635,kave faka-pariki,taina faka-pariki,taina faka-laui,kave faka-laui,taina faka-pariki,taina faka-pariki,kave faka-laui,taina faka-pariki,kave faka-laui,taina faka-laui,kave faka-pariki,kave faka-pariki,kave faka-pariki,taina faka-pariki,taina faka-laui,taina faka-laui,kave faka-pariki,taina faka-pariki,kave faka-laui,kave faka-pariki,kave faka-pariki,taina faka-laui,kave faka-laui,taina faka-laui,kave faka-laui,kave faka-laui,taina faka-laui,kave faka-pariki,kave faka-laui,kave faka-pariki,taina faka-pariki,taina faka-laui,kave,taina faka-pariki,taina faka-pariki,kave faka-pariki,kave faka-pariki,taina faka-pariki,kave faka-laui,kave faka-pariki,taina faka-pariki,taina faka-laui,taina faka-laui,kave faka-laui,taina faka-pariki,taina faka-laui,kave faka-laui,taina faka-laui,kave faka-laui,kave faka-pariki,kave faka-pariki,kave faka-laui,taina faka-laui,kave faka-pariki,kave faka-laui,taina faka-laui,kave faka-pariki,taina faka-laui,taina faka-laui,taina,taina faka-pariki,kave,taina faka-pariki,taina faka-laui,taina faka-laui,taina,kave faka-laui,kave faka-pariki,kave faka-pariki,taina,taina faka-pariki,taina faka-pariki,kave faka-laui,taina faka-laui,taina faka-pariki,kave faka-laui,kave faka-laui,kave faka-laui,kave,kave faka-pariki,taina faka-pariki,taina faka-pariki,kave faka-pariki,taina faka-pariki,kave,tinana,tamana,tamana,tinana,masikitanga,tuatina,masikitanga,tinana,masikitanga,masikitanga,tamana,tamana,tinana,tinana,tuatina,tinana,tamana,tamana,tuatina,tuatina
