simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mFBeS,mFByS,mMZeS,mMZyS,fB,feB,fyB,feZ,fyZ,fFZD,fMBD,fFZS,fMBS,fMZS,fFBeD,fFByD,fMZeD,fMZyD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mMeZD,mMyZD,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeD,mMZyD,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,mF,mM,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.4930672142894881,1.7764744736262923,1.2834072593368042,serenyra,serywyra,sesasémemyra,serenyra,setotyrasyra,setotyrasyra,sekywyra,setotyrasyra,sesasémemyra,serenyra,serykéra,serenyra,sekywyra,setotyra'yra,serenyra,setotyrasyra,sekywyra,sesasémemyra,sesasémemyra,sesasémemyra,sekywyra,serykéra,sesasémemyra,sesasémemyra,sesasémemyra,sesasémemyra,setotyrasyra,sesasémemyra,sekywyra,setotyrasyra,setotyrasyra,sekywyra,serenyra,setotyra'yra,sekywyra,serenyra,sesasémemyra,sesasémemyra,setotyrasyra,serykéra,sesasémemyra,sesasémemyra,serenyra,sekywyra,seryke'yra,setotyra'yra,sepyky'yra,serywyra,sepyky'yra,sesasémemyra,setotyra'yra,sekywyra,sepyky'yra,serenyra,setotyra'yra,sesasémemyra,setotyra'yra,setotyra'yra,sesasémemyra,setotyra'yra,setotyrasyra,setotyrasyra,serenyra,sesasémemyra,sesasémemyra,sekywyra,seryke'yra,serenyra,serenyra,sesasémemyra,setotyra'yra,serywyra,setotyra'yra,seryke'yra,mihengee,sesasee,mihákee,mihákee,miatôpee,sesasee,miangakee,miatôpee,miangakee,setotyra,mihengee,miangakee,setotyra,setotyra,mihákee,setotyra,sesasee,sesasee,miatôpee,mihengee
1,0.4677492542754693,1.7601282156493059,1.2923789613738366,serenyra,sekywyra,setotyrasyra,sekywyra,serenyra,setotyra'yra,setotyrasyra,serenyra,sepyky'yra,sesasémemyra,serenyra,serenyra,serykéra,setotyrasyra,sesasémemyra,setotyra'yra,setotyrasyra,serykéra,setotyra'yra,seryke'yra,setotyra'yra,serywyra,sekywyra,serenyra,serenyra,setotyrasyra,sekywyra,sesasémemyra,serykéra,setotyrasyra,serenyra,sesasémemyra,serenyra,setotyra'yra,serywyra,serenyra,sekywyra,sekywyra,sesasémemyra,serywyra,sesasémemyra,seryke'yra,setotyrasyra,serenyra,sesasémemyra,sesasémemyra,sekywyra,sekywyra,setotyrasyra,sepyky'yra,seryke'yra,sepyky'yra,setotyra'yra,sekywyra,setotyra'yra,sesasémemyra,sesasémemyra,serenyra,sesasémemyra,sesasémemyra,sesasémemyra,sesasémemyra,sesasémemyra,sesasémemyra,setotyrasyra,sesasémemyra,sesasémemyra,setotyra'yra,setotyrasyra,sesasémemyra,sesasémemyra,setotyra'yra,sekywyra,setotyra'yra,sesasee,miangakee,miatôpee,miangakee,setotyra,setotyra,setotyra,mihengee,mihákee,miatôpee,mihákee,setotyra,mihengee,sesasee,mihengee,miatôpee,mihákee,sesasee,miangakee,sesasee
2,0.6309215921681726,1.780541939169645,1.1496203470014725,sekywyra,serenyra,serenyra,sesasémemyra,sekywyra,sesasémemyra,setotyrasyra,setotyrasyra,sepyky'yra,setotyrasyra,setotyra'yra,sesasémemyra,sesasémemyra,sesasémemyra,setotyrasyra,serenyra,setotyra'yra,sesasémemyra,sesasémemyra,sesasémemyra,sesasémemyra,serenyra,serykéra,sesasémemyra,serenyra,setotyra'yra,sesasémemyra,setotyra'yra,sekywyra,seryke'yra,sesasémemyra,setotyra'yra,setotyra'yra,sekywyra,serenyra,sekywyra,serywyra,setotyra'yra,sekywyra,sesasémemyra,serenyra,sepyky'yra,serenyra,sekywyra,sesasémemyra,sekywyra,setotyrasyra,serykéra,sesasémemyra,serenyra,setotyrasyra,sesasémemyra,setotyra'yra,setotyra'yra,sesasémemyra,seryke'yra,sesasémemyra,serenyra,setotyrasyra,sekywyra,serywyra,serenyra,sekywyra,setotyrasyra,serywyra,setotyrasyra,sesasémemyra,seryke'yra,sesasémemyra,setotyra'yra,serykéra,serenyra,setotyrasyra,sepyky'yra,setotyra,sesasee,mihengee,miatôpee,mihákee,mihákee,miatôpee,sesasee,miangakee,mihengee,miangakee,miatôpee,sesasee,mihengee,mihákee,sesasee,setotyra,setotyra,setotyra,miangakee
3,0.5337105413257268,1.7164447825477056,1.1827342412219788,serenyra,sesasémemyra,sekywyra,setotyra'yra,seryke'yra,serenyra,sesasémemyra,sesasémemyra,sekywyra,serenyra,setotyrasyra,serykéra,sekywyra,seryke'yra,sesasémemyra,setotyrasyra,serenyra,sesasémemyra,setotyra'yra,sesasémemyra,setotyra'yra,sesasémemyra,setotyra'yra,sekywyra,sesasémemyra,sekywyra,sepyky'yra,serywyra,sesasémemyra,setotyra'yra,serykéra,sesasémemyra,setotyrasyra,setotyra'yra,sekywyra,setotyrasyra,serenyra,sesasémemyra,setotyrasyra,setotyra'yra,sesasémemyra,sekywyra,setotyrasyra,serywyra,setotyra'yra,sesasémemyra,sesasémemyra,sekywyra,sesasémemyra,sepyky'yra,serenyra,sesasémemyra,setotyrasyra,seryke'yra,serenyra,sekywyra,setotyrasyra,sesasémemyra,serenyra,serywyra,sepyky'yra,sesasémemyra,sesasémemyra,serenyra,sekywyra,setotyrasyra,serenyra,setotyra'yra,setotyra'yra,serenyra,serenyra,setotyrasyra,sesasémemyra,serykéra,mihengee,sesasee,miangakee,sesasee,miangakee,mihákee,setotyra,setotyra,miatôpee,miangakee,sesasee,sesasee,mihengee,miatôpee,setotyra,mihákee,miatôpee,mihákee,mihengee,setotyra
4,0.5688462788386295,1.7457441963540086,1.176897917515379,sesasémemyra,sesasémemyra,serywyra,setotyrasyra,sepyky'yra,sesasémemyra,sesasémemyra,setotyrasyra,sekywyra,serenyra,seryke'yra,sesasémemyra,serenyra,setotyrasyra,sekywyra,sesasémemyra,setotyrasyra,setotyra'yra,serywyra,sekywyra,sesasémemyra,sekywyra,sesasémemyra,setotyra'yra,setotyra'yra,sesasémemyra,sesasémemyra,setotyrasyra,serenyra,sekywyra,serenyra,sesasémemyra,setotyra'yra,setotyra'yra,sekywyra,serenyra,sesasémemyra,seryke'yra,setotyrasyra,sesasémemyra,setotyra'yra,serykéra,sesasémemyra,sekywyra,serykéra,serenyra,setotyrasyra,serenyra,sekywyra,sesasémemyra,sesasémemyra,sekywyra,serenyra,setotyra'yra,sesasémemyra,setotyrasyra,setotyra'yra,sekywyra,setotyra'yra,setotyrasyra,serenyra,seryke'yra,setotyra'yra,sepyky'yra,serenyra,sepyky'yra,sesasémemyra,serenyra,sesasémemyra,serywyra,setotyrasyra,serenyra,sesasémemyra,serykéra,miatôpee,mihengee,miatôpee,setotyra,sesasee,sesasee,miangakee,mihengee,mihákee,setotyra,mihákee,sesasee,miangakee,miatôpee,mihákee,sesasee,mihengee,setotyra,setotyra,miangakee
5,0.4968877514157919,1.7555768994211716,1.2586891480053797,sepyky'yra,sesasémemyra,sesasémemyra,setotyrasyra,serenyra,setotyrasyra,sekywyra,sesasémemyra,sekywyra,serenyra,sekywyra,sesasémemyra,setotyra'yra,setotyra'yra,sesasémemyra,serywyra,sepyky'yra,sesasémemyra,sesasémemyra,setotyra'yra,sekywyra,setotyra'yra,serywyra,serenyra,setotyra'yra,serykéra,setotyrasyra,serenyra,sekywyra,serykéra,serykéra,setotyrasyra,setotyrasyra,seryke'yra,setotyrasyra,sekywyra,setotyrasyra,serenyra,sesasémemyra,seryke'yra,sepyky'yra,serenyra,sesasémemyra,sekywyra,serywyra,sekywyra,serenyra,setotyra'yra,setotyra'yra,sesasémemyra,sesasémemyra,serenyra,setotyra'yra,setotyra'yra,sekywyra,setotyra'yra,serenyra,sesasémemyra,serenyra,serenyra,sesasémemyra,setotyrasyra,sesasémemyra,sesasémemyra,sesasémemyra,sekywyra,setotyrasyra,sesasémemyra,serenyra,setotyrasyra,sesasémemyra,sesasémemyra,sesasémemyra,seryke'yra,sesasee,miangakee,sesasee,miatôpee,mihákee,miangakee,sesasee,miatôpee,setotyra,miatôpee,mihákee,mihengee,mihengee,setotyra,mihákee,sesasee,mihengee,setotyra,setotyra,miangakee
6,0.4174916994642044,1.7835675884627455,1.3660758889985412,setotyra'yra,serenyra,serenyra,sesasémemyra,sesasémemyra,setotyra'yra,setotyra'yra,setotyrasyra,sesasémemyra,setotyra'yra,sesasémemyra,sesasémemyra,sesasémemyra,serenyra,sekywyra,sepyky'yra,setotyra'yra,sesasémemyra,serywyra,setotyrasyra,serywyra,sepyky'yra,serykéra,setotyrasyra,sesasémemyra,serenyra,sesasémemyra,setotyrasyra,serenyra,sekywyra,sekywyra,seryke'yra,seryke'yra,setotyra'yra,serenyra,sesasémemyra,serenyra,sesasémemyra,setotyra'yra,serenyra,sesasémemyra,setotyrasyra,sesasémemyra,serenyra,sesasémemyra,setotyrasyra,sesasémemyra,sekywyra,seryke'yra,sekywyra,setotyrasyra,serykéra,sesasémemyra,sekywyra,sekywyra,sepyky'yra,setotyra'yra,sekywyra,setotyra'yra,sesasémemyra,setotyrasyra,serenyra,setotyrasyra,sekywyra,setotyra'yra,serenyra,sesasémemyra,serywyra,sesasémemyra,sesasémemyra,sekywyra,serenyra,setotyrasyra,serykéra,setotyra,mihengee,miangakee,miatôpee,sesasee,miangakee,miangakee,mihengee,mihákee,sesasee,sesasee,mihákee,sesasee,setotyra,setotyra,mihákee,setotyra,miatôpee,miatôpee,mihengee
7,0.5146820000459895,1.7450683990545555,1.230386399008566,setotyra'yra,serenyra,sesasémemyra,seryke'yra,serywyra,sesasémemyra,serenyra,sesasémemyra,setotyra'yra,sekywyra,sesasémemyra,serenyra,serenyra,serenyra,setotyrasyra,serywyra,setotyra'yra,sesasémemyra,sekywyra,sesasémemyra,setotyrasyra,sesasémemyra,sesasémemyra,setotyrasyra,serykéra,sepyky'yra,seryke'yra,sesasémemyra,setotyra'yra,setotyrasyra,setotyrasyra,setotyra'yra,serenyra,sesasémemyra,sesasémemyra,sekywyra,sepyky'yra,serenyra,serykéra,sesasémemyra,sekywyra,serywyra,setotyrasyra,serenyra,sekywyra,serenyra,sekywyra,sekywyra,setotyra'yra,seryke'yra,sekywyra,sesasémemyra,sesasémemyra,sepyky'yra,serykéra,sekywyra,sekywyra,sesasémemyra,sesasémemyra,setotyrasyra,setotyra'yra,serenyra,setotyrasyra,setotyra'yra,sesasémemyra,setotyra'yra,setotyra'yra,setotyrasyra,serenyra,sesasémemyra,setotyrasyra,sesasémemyra,sesasémemyra,serenyra,mihákee,miangakee,miatôpee,mihengee,mihákee,setotyra,mihákee,setotyra,miangakee,setotyra,miangakee,sesasee,sesasee,miatôpee,mihengee,sesasee,mihengee,miatôpee,setotyra,sesasee
8,0.7304488856840912,1.6790109310478134,0.9485620453637222,serykéra,setotyra'yra,sekywyra,setotyra'yra,setotyra'yra,sekywyra,serenyra,sekywyra,sekywyra,serenyra,sesasémemyra,sesasémemyra,sesasémemyra,sesasémemyra,sesasémemyra,serywyra,setotyrasyra,sekywyra,sekywyra,seryke'yra,setotyra'yra,sesasémemyra,serywyra,serenyra,serenyra,sesasémemyra,sesasémemyra,serenyra,setotyra'yra,sesasémemyra,setotyra'yra,serenyra,sepyky'yra,serenyra,serywyra,seryke'yra,sesasémemyra,sesasémemyra,setotyra'yra,sesasémemyra,setotyrasyra,setotyrasyra,serenyra,serenyra,setotyrasyra,setotyra'yra,sesasémemyra,setotyrasyra,sekywyra,setotyrasyra,sesasémemyra,sesasémemyra,sesasémemyra,sesasémemyra,sesasémemyra,setotyrasyra,sekywyra,sepyky'yra,serenyra,seryke'yra,sekywyra,serenyra,sesasémemyra,sesasémemyra,setotyra'yra,setotyra'yra,sepyky'yra,setotyrasyra,sekywyra,serykéra,serenyra,setotyrasyra,serykéra,setotyrasyra,miatôpee,miatôpee,setotyra,setotyra,sesasee,setotyra,mihákee,miangakee,mihengee,miatôpee,mihákee,sesasee,mihengee,mihengee,sesasee,setotyra,miangakee,miangakee,sesasee,mihákee
9,0.5814772192005553,1.7857087590651917,1.2042315398646364,seryke'yra,serenyra,serenyra,serywyra,sesasémemyra,sesasémemyra,setotyrasyra,sepyky'yra,setotyra'yra,sesasémemyra,serenyra,setotyrasyra,setotyra'yra,setotyrasyra,setotyra'yra,sekywyra,serywyra,sekywyra,setotyra'yra,setotyra'yra,seryke'yra,serywyra,serenyra,setotyra'yra,serykéra,serenyra,setotyrasyra,sesasémemyra,sekywyra,serykéra,setotyrasyra,setotyrasyra,serenyra,sesasémemyra,sesasémemyra,sesasémemyra,sekywyra,sesasémemyra,sepyky'yra,sekywyra,sesasémemyra,serenyra,sekywyra,sesasémemyra,setotyra'yra,setotyrasyra,sekywyra,setotyrasyra,serenyra,sesasémemyra,seryke'yra,sesasémemyra,sekywyra,sesasémemyra,setotyra'yra,sesasémemyra,serenyra,sesasémemyra,sesasémemyra,sesasémemyra,sesasémemyra,setotyrasyra,sesasémemyra,serykéra,sekywyra,serenyra,sekywyra,serenyra,setotyra'yra,sepyky'yra,serenyra,sesasémemyra,setotyra'yra,setotyrasyra,mihengee,sesasee,mihengee,miatôpee,miatôpee,miangakee,miangakee,mihákee,mihákee,mihengee,setotyra,miangakee,sesasee,sesasee,mihákee,setotyra,setotyra,setotyra,miatôpee,sesasee
