simulation_number,mutual_information,entropy,conditional_entropy,mZ,myB,myZ,meB,meZ,fB,fZ,fyB,fyZ,feB,feZ,mF,mM,fF,fM
0,0.0009463889934173686,0.6914160776171183,0.690469688623701,-ati,-ati,-ati,-ati,-ati,-ati,ati,ati,ati,-ati,ati,meme,tata,tata,meme
1,0.0015436285667963512,0.6914160776171183,0.689872449050322,-ati,-ati,ati,-ati,-ati,-ati,-ati,-ati,ati,ati,ati,meme,tata,meme,tata
2,0.0009463889934173686,0.6914160776171183,0.690469688623701,-ati,-ati,ati,ati,-ati,-ati,ati,ati,-ati,-ati,-ati,meme,tata,meme,tata
3,0.0009463889934173686,0.6914160776171183,0.690469688623701,-ati,-ati,ati,ati,ati,-ati,ati,-ati,-ati,-ati,-ati,meme,tata,tata,meme
4,0.04918056054715558,0.6914160776171183,0.6422355170699627,ati,ati,-ati,-ati,ati,-ati,-ati,-ati,ati,-ati,-ati,meme,meme,tata,tata
5,0.00419110692502267,0.6914160776171183,0.6872249706920956,ati,-ati,ati,-ati,-ati,-ati,ati,-ati,-ati,-ati,ati,meme,tata,meme,tata
6,0.0015436285667963512,0.6914160776171183,0.689872449050322,-ati,ati,-ati,ati,-ati,-ati,-ati,-ati,-ati,ati,ati,tata,tata,meme,meme
7,0.0015436285667964622,0.6914160776171183,0.6898724490503219,-ati,ati,-ati,ati,-ati,-ati,-ati,-ati,ati,ati,-ati,tata,meme,meme,tata
8,0.0015436285667963512,0.6914160776171183,0.689872449050322,-ati,-ati,ati,-ati,ati,-ati,-ati,-ati,-ati,ati,ati,meme,tata,meme,tata
9,0.0009463889934173686,0.6914160776171183,0.690469688623701,-ati,-ati,-ati,ati,-ati,ati,-ati,-ati,ati,-ati,ati,meme,tata,meme,tata
