simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBeS,mFByS,mFBeD,mFByD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeS,mMZyS,mMZeD,mMZyD,fFBeS,fFByS,fFBeD,fFByD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZyS,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.06578959220211433,0.5982695885852573,0.5324799963831429,tua-hine,teina,tua-ana,tuane'a,tua-ana,tua-hine,tua-ana,tua-ana,tuane'a,tua-ana,tua-hine,tua-hine,tua-hine,teina,tua-ana,tuane'a,tua-ana,teina,tua-hine,teina,teina,tuane'a,teina,teina,tuane'a,tua-ana,tua-hine,tuane'a,tua-hine,tuane'a,tua-hine,tuane'a,teina,teina,tuane'a,teina,tua-ana,tua-hine,metua vahine,metua vahine,metua vahine,metua tane,metua tane,metua tane,metua tane,metua vahine,metua tane,metua tane,metua vahine,metua tane,metua tane,metua tane,metua vahine,metua vahine,metua vahine,metua vahine,metua vahine,metua tane
1,0.1608706033651573,0.5195798391305154,0.3587092357653581,tua-hine,tua-hine,teina,tuane'a,tuane'a,teina,tua-ana,teina,tua-hine,teina,teina,tua-hine,teina,tua-ana,tua-hine,tuane'a,tuane'a,tua-hine,tua-ana,tua-hine,tua-hine,tuane'a,tuane'a,tuane'a,teina,tuane'a,tuane'a,teina,tua-ana,tua-ana,tua-ana,tua-hine,tua-ana,teina,tua-ana,tua-hine,teina,tua-ana,metua tane,metua vahine,metua vahine,metua vahine,metua vahine,metua vahine,metua tane,metua tane,metua tane,metua tane,metua vahine,metua vahine,metua tane,metua vahine,metua vahine,metua tane,metua tane,metua tane,metua tane,metua vahine
2,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,tua-ana,tua-ana,teina,teina,tuane'a,tua-hine,tua-ana,tua-hine,tuane'a,tua-ana,tuane'a,tua-ana,tua-hine,teina,tua-ana,tuane'a,teina,tua-hine,tua-hine,tua-ana,teina,tua-ana,teina,tua-ana,tua-hine,tua-hine,teina,tuane'a,tua-hine,tuane'a,teina,teina,tuane'a,teina,tuane'a,tua-hine,tuane'a,tua-hine,metua vahine,metua tane,metua tane,metua vahine,metua tane,metua vahine,metua tane,metua tane,metua vahine,metua vahine,metua vahine,metua tane,metua tane,metua vahine,metua tane,metua vahine,metua vahine,metua vahine,metua tane,metua tane
3,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,teina,tua-ana,teina,tua-ana,teina,tuane'a,teina,teina,tua-ana,tua-ana,tua-hine,tua-ana,tua-hine,teina,tua-ana,tua-hine,teina,tua-ana,tuane'a,tuane'a,tua-hine,tua-hine,teina,tua-hine,tua-hine,tuane'a,tua-hine,tuane'a,tua-hine,tuane'a,teina,tua-ana,tuane'a,tuane'a,tua-hine,teina,tuane'a,tua-ana,metua vahine,metua tane,metua tane,metua vahine,metua vahine,metua tane,metua vahine,metua tane,metua vahine,metua tane,metua vahine,metua tane,metua tane,metua vahine,metua vahine,metua vahine,metua vahine,metua tane,metua tane,metua tane
4,0.08612086854165041,0.5195798391305154,0.433458970588865,tua-ana,tuane'a,tua-ana,tua-ana,tuane'a,tua-hine,tua-hine,tua-ana,teina,teina,tua-hine,tua-ana,teina,tuane'a,teina,tua-hine,tuane'a,tuane'a,teina,teina,tua-hine,teina,tua-ana,tua-hine,teina,tua-ana,teina,tua-ana,tua-hine,tuane'a,tua-hine,teina,tuane'a,tua-hine,tuane'a,tuane'a,tua-hine,tua-ana,metua tane,metua vahine,metua vahine,metua vahine,metua tane,metua tane,metua tane,metua vahine,metua tane,metua vahine,metua tane,metua tane,metua vahine,metua tane,metua vahine,metua tane,metua vahine,metua tane,metua vahine,metua vahine
5,0.1274357505846388,0.5982695885852573,0.47083383800061845,teina,tuane'a,tua-ana,tua-ana,tua-hine,tuane'a,tua-ana,teina,tua-ana,teina,tua-ana,teina,tuane'a,tuane'a,tua-ana,tua-hine,tua-hine,tua-hine,tuane'a,tua-hine,teina,teina,tuane'a,tua-ana,teina,tuane'a,teina,tua-ana,tua-ana,teina,tuane'a,tua-hine,tua-hine,teina,tua-hine,tua-hine,tuane'a,tua-hine,metua vahine,metua vahine,metua vahine,metua tane,metua vahine,metua tane,metua vahine,metua vahine,metua vahine,metua tane,metua vahine,metua vahine,metua vahine,metua tane,metua tane,metua tane,metua tane,metua tane,metua tane,metua tane
6,0.0788931686430967,0.5982695885852573,0.5193764199421605,tua-hine,tua-ana,tua-hine,tua-hine,tuane'a,tua-hine,tua-ana,tuane'a,tua-hine,tua-ana,tua-hine,teina,tua-ana,tua-ana,teina,tuane'a,teina,tuane'a,tuane'a,tua-ana,tua-hine,teina,teina,tuane'a,teina,tua-ana,teina,tua-ana,teina,teina,teina,tua-hine,tuane'a,tua-hine,tuane'a,tua-ana,tuane'a,tua-hine,metua vahine,metua vahine,metua tane,metua vahine,metua tane,metua vahine,metua vahine,metua tane,metua vahine,metua vahine,metua tane,metua vahine,metua tane,metua tane,metua vahine,metua vahine,metua tane,metua tane,metua tane,metua tane
7,0.1373245318763464,0.6829081047004717,0.5455835728241253,tua-hine,tua-hine,teina,teina,teina,tua-hine,tuane'a,tua-ana,tua-ana,tua-hine,tua-ana,tua-hine,teina,teina,tua-hine,tua-ana,tuane'a,tua-ana,tua-hine,tua-ana,teina,tua-ana,tuane'a,tuane'a,teina,tua-hine,teina,tuane'a,tua-ana,tuane'a,teina,tua-hine,tuane'a,teina,tua-hine,tua-ana,tuane'a,tuane'a,metua tane,metua tane,metua vahine,metua vahine,metua vahine,metua vahine,metua vahine,metua tane,metua vahine,metua vahine,metua tane,metua tane,metua vahine,metua tane,metua tane,metua tane,metua tane,metua vahine,metua tane,metua vahine
8,0.08878194993480437,0.6829081047004717,0.5941261547656673,tua-hine,tua-hine,teina,tuane'a,tua-hine,tua-hine,tuane'a,tua-hine,tua-hine,tuane'a,tua-hine,teina,teina,teina,tuane'a,teina,teina,tua-ana,tua-ana,teina,tuane'a,tua-hine,tuane'a,teina,tua-ana,tuane'a,teina,tua-ana,tuane'a,tua-hine,tua-ana,tua-ana,tuane'a,tua-ana,tua-ana,tua-ana,tua-hine,teina,metua tane,metua tane,metua vahine,metua vahine,metua vahine,metua vahine,metua tane,metua tane,metua vahine,metua vahine,metua tane,metua tane,metua tane,metua tane,metua vahine,metua tane,metua vahine,metua tane,metua vahine,metua vahine
9,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,tua-hine,tuane'a,tuane'a,teina,teina,tuane'a,tua-hine,tua-ana,teina,tua-ana,tua-ana,teina,tua-ana,tua-hine,tua-hine,teina,tuane'a,teina,tua-hine,tua-ana,tuane'a,tua-hine,tua-hine,teina,tua-hine,tuane'a,teina,tua-ana,tuane'a,tua-ana,tua-ana,tuane'a,teina,tuane'a,tua-hine,teina,tua-hine,tua-ana,metua tane,metua vahine,metua tane,metua vahine,metua tane,metua tane,metua tane,metua tane,metua tane,metua tane,metua vahine,metua vahine,metua vahine,metua tane,metua vahine,metua vahine,metua vahine,metua tane,metua vahine,metua vahine
