simulation_number,mutual_information,entropy,conditional_entropy,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.11446422435284798,1.5326290601637225,1.4181648358108745,tendyra,tykêra,tykêra,tendyra,kybyra,kybykyra,tendyra,tybykyra,tendyra,tykyyra,tykêra,tykêra,kybyra,tendyra,tykyra,tykêra,tendyra,tykêra,tykyyra,kybyra,tykêra,kybyra,tendyra,kybyra,kypýy,tykêra,tykêra,tendyra,kybyra,tendyra,tykêra,tykyra,tykyyra,tykyyra,tykêra,tykyyra,kybyra,tendyra,kybyra,tykyyra,tendyra,tykêra,tykyyra,kybyra,tendyra,kybyra,tykêra,kybyra,tykyyra,tykyra,kybyra,tendyra,tendyra,tendyra,tykyyra,tykêra,tykêra,kybyra,kybyra,tykêra,kybyra,tykêra,tykyyra,tykyyra,tendyra,kybyra,tykêra,tykêra,kybyra,kybyra,tendyra,kybyra,tykyyra,tendyra,tykêra,tykyyra,tendyra,tykyyra,tykyra,tykyyra,tendyra,tendyra,kybyra,tendyra,tykyra,tutyra,tutyra,aixé,aixé,tutyra,cyyra,tuba,tuba,cyyra,aixé,cy,tuba,tuba,aixé,cy,tuba,tutyra,tutyra,aixé,cyyra,cyyra,tuba,tutyra,aixé,cyyra,tuba,tuba,cyyra
1,0.19771035632245315,1.5336889428190847,1.3359785864966316,kybyra,tykêra,kypýy,kybyra,tykyra,tykêra,tendyra,tykêra,kybyra,tykyra,tendyra,kybyra,kybyra,tykêra,tykyyra,kybyra,tendyra,tendyra,tykêra,tykêra,tybykyra,tendyra,tykyyra,tykyra,kybykyra,kybyra,kybyra,tykyyra,tykêra,tendyra,tendyra,tykyyra,tendyra,tendyra,kybyra,kybyra,tykêra,tykyyra,tykyyra,tykyra,tykêra,tykêra,tendyra,tykyyra,tykyyra,kybyra,kybyra,tendyra,tendyra,tendyra,tykêra,tykêra,tykyyra,tykêra,tendyra,tendyra,tykyyra,tykyra,tykêra,tykyyra,kybyra,kybyra,kybyra,tykyyra,kybyra,tykyyra,tendyra,tykyyra,kybyra,kybyra,tykêra,tykêra,tykêra,tendyra,tendyra,tendyra,kybyra,tykêra,tykêra,kybyra,tykêra,tendyra,tendyra,tendyra,tykyyra,cy,tuba,tutyra,tutyra,aixé,cyyra,cyyra,tutyra,tutyra,aixé,tutyra,cyyra,tuba,aixé,cyyra,tuba,tutyra,cyyra,aixé,aixé,aixé,tuba,tuba,tuba,cy,cyyra,tuba,tuba
2,0.1656622676892865,1.5745407654606611,1.4088784977713746,tykyyra,tykêra,tendyra,tykêra,tykêra,kybyra,tykyyra,kybyra,kybyra,tykyra,tendyra,kybyra,tykyyra,tykyyra,kybyra,kybyra,tykêra,kybyra,tendyra,tendyra,kybyra,tendyra,tendyra,tendyra,kybykyra,kybyra,tykêra,tykêra,tykêra,tykêra,tendyra,tendyra,kybyra,tykêra,tykêra,tykyyra,tykyyra,tybykyra,tykêra,kybyra,kybyra,kybyra,tykêra,tykyra,tendyra,tykêra,tykyyra,tendyra,kypýy,tendyra,tykêra,tykêra,tykyyra,kybyra,tendyra,tykêra,tykyyra,kybyra,kybyra,tendyra,tykyyra,tendyra,tendyra,kybyra,tendyra,kybyra,tykyra,tendyra,tykyra,tykyyra,kybyra,tykyyra,tendyra,tykêra,tykêra,tendyra,tykyyra,tykyyra,tendyra,tykêra,kybyra,tykyra,tendyra,tykêra,tykyyra,aixé,tuba,tutyra,tuba,cyyra,tutyra,tuba,tuba,tuba,tutyra,aixé,cyyra,cyyra,tuba,aixé,aixé,cyyra,cy,cy,tutyra,aixé,cyyra,tuba,tutyra,tutyra,aixé,tuba,cyyra
3,0.30220762818064206,1.5345547700023014,1.2323471418216594,tykyyra,kybyra,tendyra,tendyra,tendyra,tendyra,tykyyra,tykyyra,kybyra,tykyra,tykêra,kybyra,tykyra,tybykyra,tendyra,tykyyra,tykêra,tykyyra,tykêra,kypýy,kybyra,tendyra,tykêra,kybyra,tendyra,tykêra,tendyra,kybyra,kybyra,tykêra,tendyra,tykyra,kybyra,tykyyra,tendyra,tykêra,tendyra,tykêra,tykyyra,tykêra,tykyyra,tykyyra,tykyyra,kybyra,tendyra,tykêra,tendyra,kybyra,kybyra,tendyra,tendyra,tendyra,tykyra,tykyyra,tendyra,tykêra,kybyra,kybyra,kybyra,tykêra,tykyyra,kybykyra,tykyyra,kybyra,tykêra,kybyra,tykêra,tykêra,tykêra,tykêra,kybyra,tendyra,tykyra,tykyyra,tendyra,tendyra,tykêra,tykêra,tendyra,tykyyra,tykêra,kybyra,tendyra,kybyra,kybyra,aixé,cyyra,tuba,cy,aixé,tuba,cy,aixé,tutyra,aixé,cyyra,cyyra,cyyra,tuba,cyyra,tuba,aixé,tuba,cyyra,tutyra,tuba,tutyra,tuba,aixé,tutyra,tutyra,tuba,tutyra
4,0.17980466659828442,1.5469768437513238,1.3671721771530394,tendyra,tykyyra,tykêra,tykêra,tendyra,kybyra,tykyyra,tykêra,kybyra,tendyra,kybyra,kybyra,kybyra,tendyra,tykêra,tykyyra,tendyra,kybyra,kybyra,tykyyra,tybykyra,kybyra,tendyra,tykêra,kybyra,tendyra,tendyra,tykêra,tendyra,tykêra,tykyyra,tendyra,kybyra,kybyra,tendyra,tendyra,kybykyra,kybyra,tendyra,tendyra,tykêra,tykêra,kybyra,tykêra,tendyra,kybyra,tendyra,tykyra,tykyyra,tykêra,tykêra,kybyra,tykyyra,tykyyra,tykyra,tykyyra,tykyyra,tendyra,tendyra,tykêra,tykyyra,tykêra,tendyra,kypýy,kybyra,tykyra,tykyyra,tendyra,tendyra,tykêra,tykyra,tykêra,tykyyra,kybyra,tykyyra,tykyyra,kybyra,kybyra,kybyra,tykyra,tendyra,tykêra,tykêra,tykêra,tykêra,cyyra,tuba,aixé,tuba,cy,tuba,tuba,cy,tuba,tuba,cyyra,tutyra,tuba,tutyra,aixé,aixé,cyyra,tutyra,aixé,aixé,tutyra,aixé,tutyra,tuba,cyyra,tutyra,cyyra,cyyra
5,0.2251859974439634,1.5073037823029611,1.2821177848589977,tendyra,tykyyra,kybyra,tykyyra,tendyra,tendyra,kybyra,tendyra,tykêra,tykyyra,tykêra,kybyra,kybyra,tendyra,kybyra,kypýy,tykêra,kybyra,tykêra,tykyyra,tendyra,tendyra,tykêra,tykyyra,tykêra,tendyra,tykyyra,tykêra,tendyra,tykêra,tykêra,tykyra,kybyra,tykêra,kybyra,tendyra,tykyyra,kybyra,kybyra,tendyra,tendyra,tykyyra,kybyra,tendyra,kybyra,kybyra,tykêra,tendyra,tykêra,kybyra,tykyyra,tykyra,tykêra,tykêra,tykêra,tybykyra,tykyyra,kybyra,tykêra,tykyra,tendyra,tendyra,kybyra,kybyra,tykyra,tendyra,tendyra,tykyyra,tykyyra,tykêra,kybyra,tendyra,tendyra,kybyra,tykyyra,tendyra,tendyra,tykyyra,tykêra,kybyra,kybykyra,tykêra,tykyra,tykêra,tykyyra,cyyra,tutyra,tuba,tuba,tuba,tutyra,tuba,tuba,aixé,aixé,tuba,cy,tuba,aixé,cyyra,cyyra,tutyra,cyyra,aixé,tutyra,tutyra,cyyra,tuba,aixé,cy,aixé,tutyra,cyyra
6,0.17685127695464864,1.5019078061256665,1.325056529171018,tykyra,kybyra,kybyra,kybyra,tykyra,tykêra,kypýy,tendyra,kybyra,kybyra,kybyra,tendyra,tykêra,tykyyra,tendyra,tykyyra,tendyra,tykêra,tykyyra,tykyyra,kybyra,tykyyra,tendyra,kybykyra,tendyra,tendyra,tendyra,tykêra,tykyyra,tykyyra,kybyra,tendyra,kybyra,tykêra,tendyra,tykyyra,tykyra,tendyra,tykêra,tykêra,kybyra,tendyra,tykyra,tendyra,tendyra,tykyra,tendyra,kybyra,kybyra,tykêra,tendyra,tykêra,kybyra,tendyra,tykêra,tykêra,tendyra,kybyra,tykyyra,kybyra,tykêra,tykêra,tykêra,tybykyra,tendyra,tykêra,tykyyra,kybyra,kybyra,tykêra,tykêra,tykyyra,kybyra,kybyra,tykêra,tykêra,tendyra,tendyra,tykyyra,tendyra,tykyyra,kybyra,tykêra,tykyyra,tykyyra,tutyra,cy,aixé,cyyra,tutyra,tuba,aixé,aixé,tuba,cyyra,cyyra,tuba,cyyra,tuba,tuba,tuba,tuba,tuba,cyyra,aixé,tutyra,tutyra,cy,cyyra,aixé,tutyra,tutyra,aixé
7,0.21309638516338292,1.546120628485248,1.333024243321865,tykêra,tendyra,tendyra,kybyra,tykyyra,tykyyra,tykyyra,tykêra,tendyra,tendyra,kybyra,tykêra,kybyra,kybyra,tendyra,tykyra,kybyra,tykêra,tykêra,tendyra,tykyyra,tykyra,tykêra,tendyra,tendyra,tendyra,tykyra,tykêra,tykêra,kybyra,kybyra,tykêra,kybyra,tykyyra,tykyra,kybyra,tykyyra,tykêra,kybyra,tykêra,tykyyra,tykyyra,tendyra,tendyra,tendyra,kybyra,kypýy,tykyyra,tendyra,tybykyra,kybyra,tykyyra,kybykyra,tykyyra,tendyra,tendyra,tykyyra,tykêra,kybyra,kybyra,tykêra,tykêra,tykêra,kybyra,tykêra,tykêra,tykyyra,tendyra,tendyra,tendyra,tendyra,tendyra,tendyra,tykyyra,tykêra,kybyra,tykêra,tykêra,tykyra,kybyra,kybyra,kybyra,tykyyra,tendyra,kybyra,cy,tuba,tutyra,tuba,tutyra,tuba,aixé,aixé,cyyra,aixé,tuba,cyyra,aixé,tuba,tutyra,cyyra,tuba,aixé,cy,cyyra,cyyra,aixé,tutyra,cyyra,tuba,tutyra,tutyra,tuba
8,0.14026460757685966,1.507500106807842,1.3672354992309823,kybyra,kybyra,tykêra,kybyra,tykyyra,tykyyra,tendyra,kybyra,kybyra,tybykyra,tykyra,tykyra,tykyyra,kybyra,tykêra,tendyra,kybyra,kybyra,tykyyra,tykêra,kybyra,tendyra,tendyra,tykyyra,tykêra,kypýy,tendyra,tykêra,tendyra,tendyra,tykyra,tendyra,tykêra,tendyra,tykêra,tykyyra,kybykyra,tykêra,kybyra,tykyyra,tendyra,kybyra,tendyra,tykyra,tykêra,tykêra,tykyyra,tykyyra,kybyra,kybyra,tykyyra,kybyra,tykêra,tykêra,tykêra,kybyra,tendyra,tendyra,tykêra,tendyra,kybyra,tendyra,tykyyra,tykêra,tykyyra,tykyyra,tendyra,tykêra,kybyra,tendyra,tykêra,tendyra,tykêra,tykyra,tendyra,tendyra,kybyra,tendyra,tykyyra,tykyyra,tykêra,tendyra,kybyra,tykêra,kybyra,cyyra,tutyra,tutyra,cyyra,tuba,tuba,tuba,cyyra,tutyra,cy,tutyra,cy,tuba,aixé,tuba,aixé,aixé,cyyra,tuba,tutyra,aixé,cyyra,tuba,tutyra,aixé,tuba,aixé,cyyra
9,0.10966960305691686,1.5345547700023014,1.4248851669453846,tendyra,tykêra,tendyra,tykyyra,tendyra,tendyra,tendyra,tykêra,kybyra,kybykyra,kybyra,kybyra,tykêra,tykêra,kybyra,kybyra,tykêra,tykyyra,tykyra,tendyra,tykêra,tykêra,kybyra,kybyra,tendyra,tendyra,tykyra,tendyra,kybyra,kybyra,kybyra,tendyra,tykyyra,tendyra,tykêra,tendyra,tendyra,tykyyra,tykêra,kypýy,tykyra,kybyra,tykêra,tykêra,tykyyra,kybyra,tybykyra,tykêra,tykêra,tykêra,tykyyra,kybyra,kybyra,tykêra,tykyyra,tykyyra,tykyyra,kybyra,tykêra,tendyra,kybyra,tykyra,tykyyra,tendyra,kybyra,tykêra,tendyra,tykêra,tendyra,tendyra,tykyyra,tykêra,kybyra,tendyra,tykyyra,tykêra,tykyyra,tykyyra,tykyyra,kybyra,kybyra,tendyra,tendyra,tendyra,tykyra,tuba,aixé,tuba,tutyra,tutyra,tuba,tutyra,aixé,tuba,aixé,tuba,tuba,cyyra,tutyra,aixé,tutyra,cyyra,cy,cyyra,tuba,aixé,cyyra,cyyra,aixé,tuba,tutyra,cyyra,cy
