simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,mFZS,mMBS,mFZD,mMBD,fFZS,fMBS,fFZD,fMBD,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.18399472816554963,1.0368263468339387,0.8528316186683891,tata suk,natuk,tata suk,natuk,tasik,tasu suk,tata suk,tata suk,tasu suk,natuk,tata suk,natuk,natuk,natuk,tasu suk,natuk,natuk,tuak,tasik,natuk,natuk,tasu suk,tata suk,tsotsik,tasu suk,tasu suk,natuk,natuk,tasu suk,natuk,tata suk,tata suk,tasu suk,tasu suk,natuk,natuk,natuk,natuk,tasu suk,tata suk,natuk,natuk,natuk,tata suk,tsotsik,tata suk,tasu suk,tata suk,tasu suk,tasu suk,tasu suk,tata suk,mituk,tasu suk,tata suk,tasu suk,mituk,tasu suk,mituk,tata suk,mituk,tasu suk,tasu suk,tasu suk,tata suk
1,0.09794324550271372,1.073383620336505,0.9754403748337913,tasu suk,natuk,tata suk,tasik,natuk,tata suk,tasu suk,tsotsik,natuk,tasu suk,natuk,natuk,tsotsik,natuk,natuk,tata suk,natuk,natuk,natuk,tata suk,tasu suk,tasu suk,natuk,natuk,tasu suk,tata suk,natuk,natuk,tasu suk,tata suk,tata suk,natuk,tata suk,tasik,tata suk,tasu suk,natuk,tata suk,tasu suk,natuk,tuak,tasu suk,natuk,natuk,natuk,tasu suk,mituk,mituk,tasu suk,tata suk,tasu suk,tata suk,tasu suk,tasu suk,mituk,tata suk,mituk,tasu suk,tasu suk,tasu suk,tata suk,tata suk,tata suk,tasu suk,tasu suk
2,0.31625247541328716,0.9299484823110443,0.6136960068977572,natuk,tata suk,tata suk,natuk,natuk,natuk,natuk,natuk,tasu suk,tata suk,tasu suk,tata suk,natuk,tata suk,tasu suk,tata suk,tasu suk,natuk,natuk,tasik,natuk,tasu suk,natuk,tuak,tasu suk,tasu suk,tata suk,tata suk,natuk,tata suk,natuk,natuk,tsotsik,natuk,natuk,tsotsik,natuk,natuk,tasu suk,natuk,tasu suk,natuk,tata suk,tasu suk,tasik,tata suk,tata suk,tasu suk,tasu suk,tasu suk,mituk,tata suk,tasu suk,tasu suk,tata suk,tasu suk,mituk,tasu suk,tasu suk,tasu suk,tasu suk,mituk,tata suk,mituk,tata suk
3,0.3662755601038342,1.0177713579953944,0.6514957978915602,natuk,tasik,natuk,tasu suk,tasu suk,natuk,natuk,tasu suk,tasu suk,tata suk,tata suk,tasu suk,natuk,natuk,tata suk,natuk,tata suk,natuk,natuk,natuk,tasu suk,natuk,natuk,natuk,tata suk,natuk,tsotsik,natuk,tasik,natuk,tata suk,tasu suk,tata suk,tata suk,natuk,tasu suk,tuak,tasu suk,natuk,tasu suk,tata suk,natuk,natuk,tsotsik,tata suk,tasu suk,mituk,tata suk,tasu suk,tasu suk,tata suk,tata suk,tasu suk,tata suk,tasu suk,tasu suk,mituk,tata suk,mituk,tasu suk,tasu suk,mituk,tata suk,tasu suk,tasu suk
4,0.1226135990096433,0.9836920185842926,0.8610784195746493,tata suk,natuk,tata suk,natuk,natuk,natuk,tasu suk,tuak,natuk,tsotsik,natuk,natuk,tasik,tasu suk,tasu suk,tasu suk,natuk,natuk,tata suk,natuk,tasu suk,natuk,tata suk,natuk,natuk,tasu suk,tata suk,tata suk,tata suk,tata suk,tasu suk,tasu suk,natuk,natuk,tsotsik,tasu suk,tata suk,tasu suk,natuk,natuk,natuk,natuk,tasik,natuk,tata suk,tasu suk,tata suk,mituk,tata suk,tasu suk,tata suk,tasu suk,mituk,tasu suk,tasu suk,tata suk,tasu suk,mituk,mituk,tata suk,tasu suk,tasu suk,tata suk,tasu suk,tasu suk
5,0.15064582743699362,1.0388552193685043,0.8882093919315107,natuk,natuk,natuk,tsotsik,tata suk,natuk,tasu suk,natuk,natuk,tuak,tata suk,tata suk,tasu suk,tasik,tasu suk,tata suk,natuk,natuk,natuk,tata suk,tasu suk,natuk,natuk,tasu suk,tasu suk,natuk,tasik,tsotsik,tasu suk,natuk,natuk,natuk,tasu suk,tata suk,natuk,natuk,natuk,tata suk,tata suk,tasu suk,tata suk,natuk,tasu suk,tata suk,natuk,tata suk,mituk,tasu suk,tata suk,tasu suk,tasu suk,tasu suk,mituk,tasu suk,tasu suk,mituk,tasu suk,tasu suk,tata suk,tata suk,mituk,tasu suk,tasu suk,tata suk,tata suk
6,0.23831397315911418,1.073383620336505,0.8350696471773909,natuk,tasu suk,tasik,natuk,tsotsik,tasu suk,tata suk,tasu suk,natuk,tasu suk,tsotsik,natuk,tasu suk,natuk,natuk,natuk,tasu suk,tata suk,natuk,natuk,tata suk,tata suk,natuk,tata suk,natuk,natuk,tasu suk,tasik,natuk,natuk,tuak,tasu suk,tata suk,natuk,natuk,tata suk,tata suk,tata suk,tasu suk,tata suk,natuk,natuk,natuk,natuk,tasu suk,tasu suk,tasu suk,tasu suk,mituk,tasu suk,mituk,tata suk,mituk,tata suk,tata suk,tasu suk,tasu suk,tata suk,tasu suk,tasu suk,tasu suk,tata suk,mituk,tasu suk,tata suk
7,0.21563250714844162,1.0950778621205006,0.879445354972059,tata suk,natuk,tasu suk,tasu suk,tata suk,natuk,natuk,natuk,natuk,tasu suk,tasu suk,tata suk,natuk,tasu suk,tata suk,natuk,tasik,tata suk,tuak,natuk,tasu suk,tasu suk,tasu suk,tasu suk,natuk,tsotsik,natuk,tata suk,natuk,natuk,natuk,tsotsik,tasu suk,natuk,tata suk,natuk,tata suk,natuk,natuk,natuk,natuk,natuk,tata suk,tasik,tata suk,mituk,tata suk,tasu suk,tasu suk,tata suk,tasu suk,tata suk,tasu suk,tasu suk,mituk,tasu suk,tasu suk,tasu suk,tata suk,tata suk,mituk,mituk,tata suk,tasu suk,tasu suk
8,0.2799257169142815,1.0822819419272887,0.8023562250130072,tata suk,natuk,tasu suk,tasu suk,tasu suk,tasu suk,natuk,natuk,natuk,natuk,tasu suk,natuk,tata suk,natuk,natuk,tata suk,tuak,natuk,tata suk,tata suk,natuk,tsotsik,tata suk,natuk,tasik,natuk,tasu suk,tasu suk,natuk,tasu suk,natuk,tata suk,natuk,tasik,tasu suk,tasu suk,tata suk,tata suk,natuk,natuk,natuk,natuk,natuk,tsotsik,tata suk,tata suk,tasu suk,tasu suk,mituk,tasu suk,tasu suk,mituk,tasu suk,tasu suk,mituk,tasu suk,tata suk,tata suk,tasu suk,tasu suk,mituk,tata suk,tata suk,tata suk,tasu suk
9,0.12489001103355257,0.9586918593253719,0.8338018482918194,tata suk,tata suk,tata suk,natuk,tsotsik,natuk,natuk,tasu suk,natuk,tasu suk,natuk,natuk,natuk,tasu suk,tasu suk,tasu suk,natuk,tata suk,natuk,tata suk,tata suk,tasik,natuk,tasik,tata suk,natuk,natuk,tuak,natuk,tasu suk,tata suk,tsotsik,tasu suk,tasu suk,natuk,natuk,tata suk,tasu suk,natuk,natuk,natuk,tasu suk,natuk,natuk,tata suk,tasu suk,tasu suk,tata suk,tasu suk,tasu suk,tasu suk,mituk,tasu suk,tasu suk,mituk,mituk,mituk,tasu suk,tata suk,tasu suk,tata suk,tata suk,tasu suk,tata suk,tata suk
