simulation_number,mutual_information,entropy,conditional_entropy,myB,meZ,myZ,mFZD,mMBD,mFZS,mMBS,mFeBS,mFyBS,mFyZS,mFeBD,mFyBD,mMyBS,mMeZS,mMyZS,mMeZD,mMyZD,mFeZS,mFeZD,mFyZD,mMeBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,feB,fyB,feZ,fyZ,fFZS,fMBS,fFyBS,fFyZS,fMyBS,fMyZS,fMyZD,fFeZS,fMeBS,fFZeS,fFZyS,fMBeS,fMByS,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.3527514394067053,1.64501252480491,1.2922610853982046,de,at,at,at,tcel,tcel,tcel,untu',at,tcel,tcel,de,untu',de,on,at,tcel,on,at,on,on,on,untu',tcel,at,untu',untu',on,de,tcel,at,at,at,de,tcel,on,on,at,untu',untu',at,at,untu',on,on,at,on,tcel,unkai,at,suk,tisnet,suk,ne,ne,tisnet,ta,suk,unkai,tisnet,at,unkai,tisnet,tisnet,tisnet,unkai,suk,at,at,unkai,at,at,unkai,ta,suk,suk
1,0.2920026741085897,1.7084450808363085,1.4164424067277188,tcel,tcel,on,tcel,tcel,at,on,untu',at,tcel,on,tcel,untu',de,at,on,tcel,de,on,on,on,untu',at,at,tcel,on,at,at,on,at,at,on,de,at,de,untu',at,untu',untu',tcel,at,tcel,on,de,untu',at,at,untu',unkai,at,suk,at,unkai,suk,ne,unkai,at,suk,suk,ta,at,unkai,tisnet,suk,suk,tisnet,ne,at,unkai,at,unkai,tisnet,tisnet,ta,tisnet,tisnet
2,0.2658644201089322,1.6217791050032233,1.3559146848942911,tcel,tcel,de,at,untu',de,tcel,at,untu',tcel,tcel,on,tcel,on,at,at,at,on,at,at,on,on,untu',at,on,at,tcel,at,tcel,at,untu',at,de,on,untu',tcel,tcel,de,de,on,on,at,on,untu',at,untu',untu',on,at,tisnet,ta,at,suk,suk,tisnet,tisnet,ne,unkai,at,ta,tisnet,suk,unkai,tisnet,ne,suk,suk,unkai,unkai,at,suk,tisnet,at,unkai,unkai,at
3,0.20551368274453008,1.771849693750043,1.566336011005513,untu',on,on,tcel,at,de,untu',on,de,at,de,tcel,tcel,on,tcel,untu',at,tcel,untu',at,at,de,at,tcel,on,on,on,on,on,at,on,on,tcel,untu',untu',at,untu',de,at,untu',at,at,tcel,at,tcel,tcel,at,at,suk,at,at,ne,ta,suk,unkai,suk,ta,at,unkai,tisnet,tisnet,at,tisnet,at,suk,tisnet,unkai,tisnet,suk,suk,unkai,unkai,tisnet,ne,at,unkai
4,0.2755684858131293,1.6834459043420056,1.4078774185288763,tcel,on,on,at,untu',de,tcel,de,at,at,at,at,untu',tcel,tcel,tcel,de,untu',at,at,on,untu',on,tcel,on,tcel,de,de,at,on,at,at,at,at,on,tcel,untu',tcel,untu',at,on,on,on,on,at,tcel,untu',untu',unkai,at,at,ne,tisnet,at,at,tisnet,suk,at,unkai,tisnet,unkai,ta,tisnet,suk,suk,tisnet,at,unkai,suk,tisnet,unkai,suk,ta,ne,suk,unkai
5,0.2759603497857237,1.7282107114416887,1.452250361655965,tcel,tcel,at,at,tcel,at,de,on,untu',untu',on,at,at,on,de,at,at,untu',on,at,at,at,untu',on,tcel,untu',de,de,untu',on,on,de,tcel,on,on,at,on,tcel,at,on,untu',tcel,tcel,tcel,at,untu',tcel,at,unkai,unkai,at,suk,tisnet,tisnet,suk,ne,at,ta,at,ne,suk,unkai,unkai,tisnet,tisnet,suk,at,tisnet,unkai,at,tisnet,suk,unkai,ta,suk,at
6,0.26775177979161935,1.7466289932323098,1.4788772134406905,at,on,on,tcel,on,untu',at,de,on,tcel,tcel,at,tcel,at,on,tcel,de,untu',on,at,untu',untu',at,untu',on,on,at,on,at,tcel,at,de,tcel,at,untu',untu',on,at,tcel,on,tcel,de,at,at,untu',at,tcel,de,suk,suk,unkai,unkai,at,at,suk,unkai,unkai,tisnet,at,at,ne,ne,ta,tisnet,unkai,tisnet,ta,tisnet,at,at,suk,tisnet,suk,suk,tisnet,unkai
7,0.1565913268974708,1.663698662591066,1.5071073356935951,de,on,tcel,at,tcel,at,on,untu',untu',untu',at,de,tcel,at,tcel,untu',on,de,at,at,untu',on,at,de,tcel,on,tcel,at,tcel,untu',on,on,untu',at,on,tcel,de,at,tcel,untu',tcel,at,on,at,on,at,on,at,ne,at,at,at,unkai,tisnet,unkai,unkai,tisnet,ta,suk,at,tisnet,tisnet,suk,unkai,suk,ne,tisnet,unkai,suk,suk,tisnet,unkai,ta,at,suk,at
8,0.20195198568671224,1.6712442676499495,1.4692922819632372,tcel,de,untu',untu',at,at,at,at,on,untu',tcel,on,de,at,tcel,on,on,on,de,at,tcel,tcel,at,tcel,on,at,untu',at,untu',untu',untu',untu',de,at,on,at,tcel,at,tcel,on,on,de,tcel,at,on,tcel,at,on,at,tisnet,tisnet,suk,at,tisnet,ta,at,at,suk,ta,suk,tisnet,unkai,ne,tisnet,ne,unkai,at,tisnet,suk,at,suk,unkai,unkai,unkai,unkai,suk
9,0.2170695126652573,1.6034381972642313,1.386368684598974,untu',on,on,at,tcel,tcel,on,at,at,untu',at,at,tcel,at,de,on,tcel,tcel,de,untu',untu',de,on,de,on,untu',tcel,at,at,untu',on,on,at,on,tcel,untu',at,tcel,at,tcel,at,at,on,tcel,de,untu',on,at,at,tisnet,suk,suk,at,tisnet,at,at,tisnet,ne,suk,at,suk,ne,suk,tisnet,unkai,unkai,suk,unkai,at,unkai,ta,unkai,unkai,ta,tisnet,tisnet
