simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.2844792575416659,1.831954425559018,1.5474751680173522,,werik”,,,,,,,,bem”k”,,,yak”n”,,,,mim,yak”n”,,t”ka,,t”ka,,t”ka,,,pa–,,,pa–,,,,makba,,,,t”ka,yinat”k”,,,,yak”n”,,,,,,,,,mim,,,yik”r”k”,,,,,,,,,yik”r”k”,,,mim,t”ka,,,,yak”n”,t”ka,,,makba,,,,makba,,t”ka,,,,,t”ka,makba,yinat”k”,mim,y”mk”,w”h”,sank”,yim”,ya,,w”h”,y”mk”,sank”,san”,yim”,,,sank”,ya,sank”,ya,w”h”,,,,ya,,y”mk”,san”,,y”mk”,w”h”
1,0.23138303399771987,1.8310397824178837,1.5996567484201638,,,,,,,t”ka,,,,,,mim,,,yik”r”k”,,,,t”ka,,yak”n”,,mim,,t”ka,makba,,,,pa–,,,,t”ka,,,t”ka,makba,,,,yak”n”,,t”ka,,,,makba,,,,,,yak”n”,,werik”,,,yinat”k”,t”ka,yinat”k”,,mim,,yak”n”,,,,,makba,,yik”r”k”,bem”k”,,pa–,,,,,mim,,,,,,,,,t”ka,w”h”,yim”,y”mk”,,w”h”,ya,san”,ya,sank”,ya,san”,,,yim”,y”mk”,sank”,y”mk”,y”mk”,,w”h”,w”h”,ya,,,sank”,,,sank”
2,0.367491862430257,1.8303042993199323,1.4628124368896753,,,t”ka,pa–,,,,,,,mim,,,,yik”r”k”,makba,,yak”n”,,,,,,,,,t”ka,,mim,bem”k”,,yak”n”,t”ka,,,,makba,pa–,,mim,t”ka,,,t”ka,,t”ka,,,,,t”ka,,,makba,yinat”k”,,,,yak”n”,,t”ka,,,,yinat”k”,,,mim,,,,,werik”,,,,,,,yik”r”k”,,,,,makba,,,,yak”n”,,ya,w”h”,sank”,y”mk”,ya,yim”,,,,,ya,san”,w”h”,san”,w”h”,y”mk”,,,,sank”,ya,y”mk”,y”mk”,sank”,sank”,,w”h”,yim”
3,0.19980626093845966,1.8629448350247002,1.6631385740862406,makba,,yak”n”,mim,mim,,makba,,pa–,,t”ka,t”ka,,,yak”n”,pa–,,,,,,,,,yinat”k”,,,,,,yik”r”k”,,,,,,,werik”,mim,,,t”ka,,t”ka,,,,yak”n”,mim,,,,,,t”ka,makba,yak”n”,t”ka,,t”ka,,yinat”k”,,,,,,,,,,,bem”k”,,,yik”r”k”,,,t”ka,,,makba,,,,,,,,,,san”,yim”,sank”,w”h”,y”mk”,y”mk”,ya,san”,,,ya,ya,w”h”,w”h”,,sank”,,ya,w”h”,y”mk”,sank”,yim”,,,y”mk”,sank”,
4,0.26542253146373884,1.7995663332474576,1.5341438017837188,,,,,,,t”ka,yak”n”,mim,makba,,,,,,,,,,,,werik”,,,,bem”k”,,yinat”k”,pa–,,,t”ka,,t”ka,,,,,,,,,t”ka,,,mim,,yak”n”,makba,yak”n”,yik”r”k”,t”ka,,,,,yak”n”,pa–,,t”ka,,,t”ka,,mim,,,,makba,,,,,,,yik”r”k”,,,,yinat”k”,,,mim,makba,,,,t”ka,,,y”mk”,,ya,,ya,w”h”,san”,w”h”,,,ya,y”mk”,sank”,,y”mk”,w”h”,y”mk”,ya,w”h”,sank”,sank”,yim”,,,san”,yim”,,sank”
5,0.24966792960904427,1.8629448350247004,1.6132769054156562,,t”ka,,,,yak”n”,,,,bem”k”,,,t”ka,,,,yak”n”,,yinat”k”,,,,,,,makba,,mim,t”ka,,pa–,,,,t”ka,,,,,t”ka,yik”r”k”,,yinat”k”,,,t”ka,,,,,mim,werik”,,makba,,,yik”r”k”,,yak”n”,,yak”n”,,makba,makba,,,t”ka,,,mim,,,,,mim,,,,,,,,,,,,,t”ka,pa–,,,san”,w”h”,ya,sank”,y”mk”,w”h”,y”mk”,y”mk”,,y”mk”,ya,,,,ya,sank”,yim”,,ya,yim”,sank”,,,san”,w”h”,w”h”,sank”
6,0.2656996778157552,1.8177619600647774,1.5520622822490222,,,,,t”ka,mim,,makba,,,,t”ka,,makba,,,,,,bem”k”,,,t”ka,,,,,,,,yik”r”k”,,,yak”n”,,,,,yinat”k”,,,pa–,yak”n”,werik”,t”ka,,,,,,yinat”k”,,,t”ka,,,mim,,yak”n”,,makba,mim,,,,yak”n”,,pa–,,t”ka,,,,,,,,,,makba,,mim,,t”ka,t”ka,,yik”r”k”,,,,ya,,,sank”,y”mk”,w”h”,,ya,,yim”,sank”,ya,ya,san”,y”mk”,y”mk”,,w”h”,w”h”,sank”,,,,w”h”,y”mk”,san”,yim”,sank”
7,0.29308717584873745,1.826520245441468,1.5334330695927305,,,pa–,t”ka,bem”k”,,,yinat”k”,,,,,,,,,,,,,,,,t”ka,,mim,makba,mim,,,,,makba,,,t”ka,,mim,,mim,t”ka,,,,,yak”n”,yik”r”k”,,,,,,,,pa–,,,,t”ka,,makba,werik”,t”ka,,,,,makba,,yak”n”,,,yinat”k”,yak”n”,,,,,,,yak”n”,,,t”ka,yik”r”k”,t”ka,,,,,sank”,,w”h”,,san”,,sank”,y”mk”,sank”,ya,yim”,ya,ya,y”mk”,w”h”,yim”,,ya,sank”,w”h”,,,y”mk”,y”mk”,,san”,,w”h”
8,0.2745381458795959,1.8392006881240406,1.5646625422444447,,,,t”ka,,,,,t”ka,,,,,,t”ka,,yak”n”,mim,,,,,,makba,,,t”ka,yak”n”,,yak”n”,t”ka,,makba,,,,,werik”,,t”ka,,,yak”n”,pa–,,,,,,,t”ka,,yik”r”k”,,yinat”k”,,pa–,yik”r”k”,,,,,,,,,,makba,,mim,,yinat”k”,mim,,,,,,,,,makba,t”ka,mim,,,bem”k”,,,,y”mk”,,san”,ya,,y”mk”,w”h”,ya,yim”,,,sank”,sank”,,,w”h”,w”h”,y”mk”,ya,sank”,sank”,ya,yim”,w”h”,,,san”,y”mk”
9,0.27880520032941014,1.7660870549787848,1.4872818546493747,mim,,t”ka,,,,,,,,,,yinat”k”,makba,mim,,,,makba,pa–,,,,,,,t”ka,,,,,,,,,yak”n”,pa–,t”ka,yak”n”,,,,mim,,,,,,,,,,,t”ka,,,t”ka,makba,,,t”ka,,t”ka,,,yik”r”k”,,,werik”,,,mim,makba,t”ka,,,,yak”n”,,,,bem”k”,yinat”k”,,,yik”r”k”,,,,yak”n”,ya,,,,sank”,yim”,w”h”,ya,w”h”,san”,ya,yim”,sank”,ya,w”h”,,,sank”,,,y”mk”,,san”,y”mk”,y”mk”,sank”,w”h”,y”mk”
