simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,mFZD,mMBD,mFZS,mMBS,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fMBD,fFZS,fMBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,mFZ,mMB,mFeZ,mFyZ,mMeB,mMyB,fF,fM,fFZ,fMB,fFeZ,fFyZ,fMeB,fMyB
0,0.22489536501315177,1.2071459518350782,0.9822505868219265,apirla,kuparli,withiwa,apirla,kuparli,apirla,kuppali,withiwa,withiwa,withiwa,apirla,withiwa,withiwa,kuppali,withiwa,apirla,aparli,withiwa,aparli,nutie-nutie,withiwa,withiwa,withiwa,apirla,withiwa,apirla,withiwa,apirla,apirla,apirla,apirla,apirla,withiwa,apirla,withiwa,aparli,withiwa,withiwa,nutie-nutie,apirla,apirla,apirla,withiwa,withiwa,withiwa,apirla,withiwa,apirla,withiwa,apirla,apirla,umma,payayi,ngamakarti,payayi,ngamakarti,payayi,ngamakarti,payayi,ngamakarti,payayi,ngamakarti,payayi,appurree,appurree,ngamakarti,umma
1,0.18536585023662555,1.268951497359191,1.0835856471225656,kuparli,withiwa,aparli,withiwa,nutie-nutie,apirla,withiwa,withiwa,kuppali,apirla,withiwa,withiwa,apirla,apirla,apirla,withiwa,aparli,apirla,withiwa,withiwa,apirla,apirla,withiwa,apirla,withiwa,kuparli,apirla,kuppali,withiwa,apirla,apirla,withiwa,withiwa,aparli,apirla,apirla,nutie-nutie,apirla,apirla,withiwa,apirla,withiwa,apirla,withiwa,withiwa,apirla,withiwa,withiwa,apirla,withiwa,withiwa,umma,ngamakarti,payayi,payayi,ngamakarti,payayi,appurree,ngamakarti,payayi,umma,appurree,payayi,ngamakarti,ngamakarti,ngamakarti,payayi
2,0.12530486797151008,1.2790997988634962,1.1537949308919861,withiwa,withiwa,apirla,aparli,kuppali,aparli,withiwa,apirla,apirla,kuparli,withiwa,withiwa,apirla,withiwa,nutie-nutie,apirla,withiwa,apirla,nutie-nutie,withiwa,withiwa,apirla,withiwa,aparli,withiwa,kuppali,kuparli,apirla,apirla,withiwa,apirla,withiwa,apirla,withiwa,apirla,apirla,withiwa,apirla,withiwa,apirla,withiwa,withiwa,withiwa,withiwa,withiwa,apirla,apirla,withiwa,apirla,apirla,apirla,ngamakarti,payayi,appurree,payayi,payayi,appurree,umma,payayi,ngamakarti,payayi,umma,ngamakarti,ngamakarti,payayi,ngamakarti,ngamakarti
3,0.15348682747826747,1.2928285144402503,1.1393416869619828,withiwa,kuparli,withiwa,apirla,apirla,withiwa,withiwa,apirla,apirla,withiwa,apirla,withiwa,apirla,apirla,apirla,aparli,withiwa,apirla,withiwa,apirla,apirla,nutie-nutie,withiwa,withiwa,aparli,apirla,withiwa,withiwa,apirla,apirla,apirla,withiwa,apirla,withiwa,withiwa,kuppali,apirla,apirla,withiwa,withiwa,withiwa,kuppali,apirla,nutie-nutie,withiwa,withiwa,withiwa,withiwa,aparli,kuparli,apirla,ngamakarti,payayi,appurree,umma,ngamakarti,ngamakarti,payayi,payayi,payayi,umma,ngamakarti,payayi,ngamakarti,payayi,appurree,ngamakarti
4,0.15113378228635033,1.258229000689204,1.1070952184028537,withiwa,withiwa,withiwa,apirla,apirla,apirla,withiwa,withiwa,nutie-nutie,kuparli,apirla,apirla,aparli,apirla,withiwa,withiwa,apirla,apirla,apirla,withiwa,withiwa,withiwa,withiwa,withiwa,apirla,aparli,kuparli,withiwa,apirla,withiwa,withiwa,withiwa,withiwa,apirla,apirla,withiwa,kuppali,apirla,apirla,withiwa,apirla,withiwa,withiwa,apirla,nutie-nutie,withiwa,apirla,kuppali,apirla,aparli,apirla,ngamakarti,payayi,umma,ngamakarti,ngamakarti,payayi,payayi,payayi,appurree,umma,ngamakarti,payayi,payayi,appurree,ngamakarti,ngamakarti
5,0.2293769550170135,1.3152122884849804,1.085835333467967,aparli,withiwa,apirla,apirla,withiwa,apirla,withiwa,apirla,withiwa,apirla,withiwa,withiwa,apirla,apirla,apirla,apirla,withiwa,apirla,kuparli,apirla,aparli,withiwa,withiwa,withiwa,withiwa,withiwa,withiwa,apirla,withiwa,aparli,kuppali,kuparli,apirla,withiwa,withiwa,apirla,apirla,apirla,apirla,withiwa,nutie-nutie,kuppali,apirla,withiwa,withiwa,withiwa,apirla,apirla,nutie-nutie,withiwa,withiwa,payayi,payayi,ngamakarti,appurree,payayi,umma,payayi,ngamakarti,payayi,ngamakarti,appurree,umma,payayi,ngamakarti,ngamakarti,ngamakarti
6,0.10414475192617867,1.212435489701413,1.1082907377752342,withiwa,kuppali,aparli,aparli,kuparli,kuparli,apirla,withiwa,apirla,apirla,apirla,withiwa,withiwa,withiwa,withiwa,withiwa,withiwa,apirla,apirla,withiwa,kuppali,apirla,apirla,withiwa,withiwa,withiwa,apirla,withiwa,apirla,nutie-nutie,apirla,apirla,apirla,withiwa,withiwa,aparli,withiwa,withiwa,apirla,apirla,withiwa,apirla,withiwa,apirla,withiwa,nutie-nutie,withiwa,apirla,apirla,apirla,withiwa,payayi,ngamakarti,appurree,ngamakarti,payayi,appurree,umma,payayi,ngamakarti,payayi,ngamakarti,ngamakarti,payayi,umma,payayi,ngamakarti
7,0.1251632873495856,1.2593353043678726,1.134172017018287,apirla,apirla,apirla,kuppali,apirla,withiwa,nutie-nutie,kuppali,aparli,apirla,apirla,withiwa,withiwa,apirla,withiwa,withiwa,apirla,apirla,withiwa,withiwa,withiwa,kuparli,withiwa,apirla,withiwa,withiwa,nutie-nutie,withiwa,apirla,apirla,apirla,apirla,withiwa,withiwa,withiwa,apirla,withiwa,withiwa,aparli,withiwa,apirla,withiwa,withiwa,apirla,withiwa,apirla,aparli,apirla,kuparli,apirla,withiwa,umma,ngamakarti,payayi,ngamakarti,umma,ngamakarti,ngamakarti,payayi,payayi,ngamakarti,appurree,ngamakarti,payayi,payayi,payayi,appurree
8,0.24522254915623032,1.165039767449919,0.9198172182936888,aparli,apirla,withiwa,withiwa,withiwa,apirla,apirla,aparli,apirla,nutie-nutie,apirla,apirla,aparli,withiwa,withiwa,apirla,apirla,apirla,kuppali,withiwa,withiwa,withiwa,apirla,withiwa,apirla,withiwa,apirla,withiwa,apirla,withiwa,apirla,apirla,withiwa,withiwa,withiwa,withiwa,kuparli,withiwa,apirla,withiwa,apirla,withiwa,kuppali,withiwa,withiwa,apirla,apirla,nutie-nutie,withiwa,kuparli,apirla,payayi,payayi,ngamakarti,ngamakarti,umma,payayi,appurree,appurree,ngamakarti,ngamakarti,ngamakarti,payayi,payayi,umma,payayi,ngamakarti
9,0.16802531730730874,1.2053955395709193,1.0373702222636105,kuppali,apirla,apirla,withiwa,apirla,withiwa,nutie-nutie,apirla,apirla,apirla,aparli,aparli,kuparli,withiwa,withiwa,withiwa,withiwa,withiwa,kuparli,withiwa,apirla,apirla,withiwa,withiwa,apirla,withiwa,apirla,apirla,apirla,withiwa,apirla,withiwa,apirla,apirla,withiwa,aparli,withiwa,withiwa,apirla,withiwa,apirla,withiwa,apirla,apirla,nutie-nutie,apirla,withiwa,withiwa,kuppali,withiwa,withiwa,ngamakarti,umma,payayi,payayi,appurree,ngamakarti,ngamakarti,payayi,ngamakarti,payayi,ngamakarti,payayi,payayi,umma,ngamakarti,appurree
