simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,meZ,myZ,fB,feB,fyB,feZ,fyZ,mF,mM,mFZ,mMB,mFeZ,mFyZ,mMeB,mMyB,fF,fM,fFZ,fMB,fFeZ,fFyZ,fMeB,fMyB
0,0.7289147096698447,1.0551016181686426,0.3261869084987978,murrkadja,kakudja,kakudja,murrkadja,gaɲid̹a,kakudya,murgad̹a,murgad̹a,gaɲid̹a,ŋan̹id̹a,gawalya,gawalya,ngulaga,gawalya,ŋamad̹a,gawalya,gawalya,ngulaga,ngulaga,gawalya,ŋamad̹a,ngulaga,ngulaga,ŋan̹id̹a,ngulaga
1,0.06710539181944375,0.5455945739691843,0.47848918214974057,kakudja,gaɲid̹a,murrkadja,murgad̹a,gaɲid̹a,kakudya,murrkadja,kakudja,murgad̹a,gawalya,gawalya,ngulaga,ngulaga,ŋamad̹a,ngulaga,ngulaga,ngulaga,ŋan̹id̹a,gawalya,gawalya,gawalya,ŋamad̹a,ŋan̹id̹a,ngulaga,gawalya
2,0.117872816369758,0.5455945739691843,0.4277217575994263,kakudja,murrkadja,murgad̹a,kakudja,gaɲid̹a,murgad̹a,murrkadja,gaɲid̹a,kakudya,ngulaga,gawalya,gawalya,ngulaga,gawalya,gawalya,ŋamad̹a,gawalya,ngulaga,ngulaga,ngulaga,gawalya,ŋamad̹a,ngulaga,ŋan̹id̹a,ŋan̹id̹a
3,0.07654089267224895,1.0551016181686423,0.9785607254963934,kakudja,murrkadja,murgad̹a,gaɲid̹a,kakudya,kakudja,gaɲid̹a,murgad̹a,murrkadja,ngulaga,gawalya,ngulaga,ngulaga,gawalya,ŋan̹id̹a,ngulaga,gawalya,ŋamad̹a,gawalya,gawalya,gawalya,ŋamad̹a,ŋan̹id̹a,ngulaga,ngulaga
4,0.117872816369758,0.5455945739691843,0.4277217575994263,kakudja,murgad̹a,kakudya,gaɲid̹a,murgad̹a,murrkadja,kakudja,gaɲid̹a,murrkadja,gawalya,ŋan̹id̹a,ngulaga,gawalya,ngulaga,ngulaga,ngulaga,gawalya,gawalya,gawalya,ngulaga,ŋamad̹a,ŋamad̹a,ngulaga,gawalya,ŋan̹id̹a
5,0.03904226061952276,0.6914160776171183,0.6523738169975956,gaɲid̹a,murgad̹a,murrkadja,murrkadja,kakudja,murgad̹a,gaɲid̹a,kakudja,kakudya,gawalya,ngulaga,gawalya,ngulaga,ŋan̹id̹a,ŋan̹id̹a,ngulaga,ngulaga,gawalya,ngulaga,gawalya,ŋamad̹a,ngulaga,gawalya,gawalya,ŋamad̹a
6,0.16864024092007224,0.5455945739691843,0.3769543330491121,murrkadja,kakudja,gaɲid̹a,gaɲid̹a,murrkadja,kakudja,murgad̹a,kakudya,murgad̹a,gawalya,gawalya,ŋan̹id̹a,ngulaga,gawalya,ŋan̹id̹a,gawalya,ŋamad̹a,gawalya,ŋamad̹a,ngulaga,gawalya,ngulaga,ngulaga,ngulaga,ngulaga
7,0.03904226061952276,0.6914160776171183,0.6523738169975956,murgad̹a,gaɲid̹a,murrkadja,murrkadja,kakudja,kakudja,murgad̹a,gaɲid̹a,kakudya,ngulaga,gawalya,ngulaga,ngulaga,ŋamad̹a,ŋamad̹a,gawalya,ngulaga,gawalya,ngulaga,gawalya,ngulaga,ŋan̹id̹a,gawalya,gawalya,ŋan̹id̹a
8,0.20213571486892162,0.6914160776171183,0.4892803627481967,kakudja,kakudya,gaɲid̹a,murrkadja,murgad̹a,murrkadja,kakudja,gaɲid̹a,murgad̹a,gawalya,gawalya,ŋamad̹a,ngulaga,ŋan̹id̹a,ngulaga,gawalya,gawalya,ngulaga,ngulaga,gawalya,ngulaga,ngulaga,ŋamad̹a,ŋan̹id̹a,gawalya
9,0.23963434692164787,1.0551016181686423,0.8154672712469945,murgad̹a,kakudja,murrkadja,gaɲid̹a,kakudja,murgad̹a,kakudya,murrkadja,gaɲid̹a,gawalya,ŋan̹id̹a,ŋamad̹a,gawalya,ngulaga,gawalya,ngulaga,gawalya,ngulaga,ngulaga,gawalya,ngulaga,ngulaga,ŋan̹id̹a,ŋamad̹a,gawalya
