simulation_number,mutual_information,entropy,conditional_entropy,myB,myZ,fyB,fyZ,mB,meB,meZ,mFZD,mFZS,mFeZS,mFyZS,mFeZD,mFyZD,mFZeS,mFZyS,mFZeD,mFZyD,fB,feB,feZ,fFZD,fMZD,fFZS,fFeZS,fFyZS,fFeZD,fFyZD,fMeZD,fMyZD,fFZeS,fFZyS,fFZeD,fFZyD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.2665096720621911,1.2193491410465926,0.9528394689844015,taïlo,kupu'i,elelekwa,kupu'i,kakay,kupu'i,ɲãɲã,elelekwa,taïlo,taïlo,taïlo,elelekwa,kupu'i,tuku,kupu'i,elelekwa,tuku,kupu'i,kupu'i,elelekwa,kupu'i,kupu'i,ekuɲã,kupu'i,emomini,kupu'i,kupu'i,taïlo,ekuɲã,kupu'i,kupu'i,kakay,kupu'i,ɲãɲã,emomini,-l-atɨ,-l-atɨ,pipi,e'u,pipi,papa,pipi,pipi,papa,e'u,e'u,papa,e'u,e'u,-l-atɨ,papa,e'u,e'u,-l-atɨ,papa,e'u,pipi,papa,papa,pipi,-l-atɨ,-l-atɨ,papa
1,0.2475489589830404,1.3580354629130054,1.110486503929965,tuku,kupu'i,taïlo,ekuɲã,kupu'i,taïlo,elelekwa,kupu'i,elelekwa,kupu'i,kupu'i,elelekwa,kupu'i,ɲãɲã,kupu'i,taïlo,kupu'i,kupu'i,elelekwa,taïlo,elelekwa,kupu'i,taïlo,emomini,kakay,tuku,ɲãɲã,kupu'i,kupu'i,kupu'i,ekuɲã,kakay,emomini,kupu'i,kupu'i,papa,e'u,e'u,pipi,pipi,-l-atɨ,papa,pipi,papa,pipi,pipi,pipi,-l-atɨ,papa,-l-atɨ,e'u,e'u,e'u,papa,-l-atɨ,e'u,-l-atɨ,-l-atɨ,papa,papa,e'u,papa,e'u
2,0.2950945587532926,1.2134166692785928,0.9183221105253002,tuku,ɲãɲã,kupu'i,ɲãɲã,taïlo,elelekwa,kupu'i,kupu'i,taïlo,kakay,kupu'i,ekuɲã,kupu'i,emomini,taïlo,tuku,kupu'i,kupu'i,elelekwa,taïlo,elelekwa,taïlo,kupu'i,elelekwa,kupu'i,kupu'i,kupu'i,kupu'i,ekuɲã,kupu'i,kakay,elelekwa,emomini,kupu'i,kupu'i,-l-atɨ,papa,-l-atɨ,-l-atɨ,pipi,e'u,papa,-l-atɨ,papa,papa,pipi,papa,e'u,e'u,e'u,e'u,pipi,e'u,pipi,-l-atɨ,e'u,papa,-l-atɨ,papa,pipi,papa,pipi,e'u
3,0.23333851941744932,1.3164613050080385,1.0831227855905892,ekuɲã,kupu'i,kupu'i,kupu'i,kupu'i,kupu'i,elelekwa,taïlo,kakay,kupu'i,taïlo,kupu'i,kupu'i,ɲãɲã,kupu'i,kupu'i,elelekwa,ɲãɲã,tuku,emomini,elelekwa,tuku,elelekwa,emomini,taïlo,kupu'i,kupu'i,taïlo,ekuɲã,kupu'i,kupu'i,taïlo,kupu'i,elelekwa,kakay,papa,e'u,papa,e'u,papa,e'u,pipi,-l-atɨ,papa,-l-atɨ,-l-atɨ,pipi,-l-atɨ,-l-atɨ,papa,e'u,papa,pipi,pipi,pipi,papa,e'u,pipi,-l-atɨ,e'u,e'u,e'u,papa
4,0.45849660477050425,1.3480145271809725,0.8895179224104682,kupu'i,kupu'i,kupu'i,kupu'i,kupu'i,kupu'i,kakay,kupu'i,emomini,kakay,kupu'i,emomini,kupu'i,kupu'i,ekuɲã,kupu'i,taïlo,elelekwa,elelekwa,taïlo,tuku,kupu'i,taïlo,elelekwa,elelekwa,ekuɲã,tuku,kupu'i,kupu'i,elelekwa,ɲãɲã,taïlo,ɲãɲã,kupu'i,taïlo,pipi,e'u,-l-atɨ,-l-atɨ,papa,papa,papa,papa,papa,e'u,e'u,-l-atɨ,pipi,-l-atɨ,-l-atɨ,e'u,papa,pipi,pipi,e'u,e'u,e'u,papa,papa,e'u,pipi,-l-atɨ,pipi
5,0.29163245535038484,1.3446121961996822,1.0529797408492974,ɲãɲã,kupu'i,kakay,kupu'i,kupu'i,kupu'i,taïlo,kakay,kupu'i,kupu'i,elelekwa,kupu'i,emomini,kupu'i,tuku,emomini,kupu'i,taïlo,kupu'i,elelekwa,taïlo,kupu'i,elelekwa,kupu'i,elelekwa,ekuɲã,kupu'i,ekuɲã,kupu'i,kupu'i,tuku,elelekwa,taïlo,taïlo,ɲãɲã,pipi,papa,e'u,pipi,papa,-l-atɨ,e'u,-l-atɨ,pipi,papa,papa,papa,pipi,e'u,e'u,papa,-l-atɨ,-l-atɨ,pipi,-l-atɨ,e'u,e'u,e'u,-l-atɨ,papa,papa,e'u,pipi
6,0.3511630143277066,1.3327564860154015,0.981593471687695,tuku,kakay,ekuɲã,kupu'i,kupu'i,emomini,ɲãɲã,kupu'i,tuku,ekuɲã,ɲãɲã,elelekwa,kupu'i,kupu'i,taïlo,kupu'i,kupu'i,kupu'i,kupu'i,emomini,elelekwa,taïlo,kupu'i,taïlo,elelekwa,taïlo,kupu'i,taïlo,elelekwa,elelekwa,kupu'i,kakay,kupu'i,kupu'i,kupu'i,pipi,papa,papa,papa,pipi,-l-atɨ,-l-atɨ,papa,pipi,e'u,e'u,papa,-l-atɨ,-l-atɨ,papa,e'u,papa,-l-atɨ,e'u,papa,e'u,e'u,pipi,e'u,pipi,-l-atɨ,pipi,e'u
7,0.28220778409750447,1.2772545880602244,0.9950468039627199,taïlo,taïlo,emomini,kupu'i,elelekwa,kakay,kupu'i,taïlo,taïlo,ekuɲã,ɲãɲã,elelekwa,kupu'i,elelekwa,kupu'i,elelekwa,emomini,tuku,kupu'i,kupu'i,kupu'i,elelekwa,kupu'i,ɲãɲã,kupu'i,kupu'i,tuku,kupu'i,kakay,ekuɲã,taïlo,kupu'i,kupu'i,kupu'i,kupu'i,papa,-l-atɨ,papa,papa,e'u,-l-atɨ,papa,e'u,-l-atɨ,-l-atɨ,e'u,papa,papa,pipi,pipi,papa,-l-atɨ,pipi,pipi,pipi,e'u,pipi,papa,-l-atɨ,e'u,e'u,e'u,e'u
8,0.24159008789697856,1.3664254949488692,1.1248354070518907,kupu'i,kupu'i,kakay,kupu'i,taïlo,emomini,ekuɲã,elelekwa,kupu'i,kupu'i,tuku,taïlo,kupu'i,kupu'i,elelekwa,emomini,kupu'i,taïlo,kupu'i,ɲãɲã,kupu'i,tuku,kupu'i,elelekwa,taïlo,kupu'i,elelekwa,taïlo,kupu'i,elelekwa,ekuɲã,kakay,ɲãɲã,kupu'i,kupu'i,-l-atɨ,e'u,e'u,papa,e'u,-l-atɨ,-l-atɨ,papa,papa,papa,pipi,pipi,e'u,papa,e'u,e'u,papa,pipi,papa,pipi,e'u,-l-atɨ,-l-atɨ,pipi,e'u,pipi,papa,-l-atɨ
9,0.25987706990057813,1.2671304223410211,1.007253352440443,kupu'i,kupu'i,kupu'i,kupu'i,taïlo,ekuɲã,kupu'i,taïlo,kupu'i,elelekwa,elelekwa,ɲãɲã,emomini,elelekwa,kupu'i,tuku,ɲãɲã,taïlo,kupu'i,elelekwa,kupu'i,kupu'i,kupu'i,taïlo,kupu'i,kakay,kakay,tuku,elelekwa,ekuɲã,kupu'i,kupu'i,taïlo,kupu'i,emomini,e'u,papa,pipi,-l-atɨ,papa,pipi,pipi,pipi,papa,-l-atɨ,-l-atɨ,papa,-l-atɨ,e'u,pipi,papa,pipi,papa,e'u,e'u,-l-atɨ,e'u,-l-atɨ,e'u,papa,e'u,e'u,papa
