simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.2503756084985239,1.115760575521792,0.8653849670232682,fono-meping,fono-meping,fono,fono-meping,fono,fono,fono,fono,remo tatetoetei,remo tenlol,fono-meping,fteno tatetoetei,fono-meping,fono-meping,remo tenlol,fono-meping,fono,fono-meping,fono,fono-meping,fono,fono-meping,fteno tenlol,fono,fono,fono-meping,fono-meping,fono-meping,fono,fono-meping,fono,remo tatetoetei,fono-meping,fteno tatetoetei,fono,fteno tenlol,fono,fono,fono,"momo, pea","momo, pea","baba, nene","baba, nene","baba, nene","baba, nene","baba, nene","momo, pea","baba, nene","momo, pea","momo, pea","baba, nene","momo, pea","baba, nene",momo,"momo, pea","momo, pea",nene,nene
1,0.20517051674495157,1.1486499614442924,0.9434794446993409,fono,remo tatetoetei,remo tenlol,fono,fono,fono-meping,fono-meping,fono-meping,fono,fono,fono-meping,fono-meping,fono-meping,fono,fteno tatetoetei,fono-meping,fono,fono,fono-meping,fono,fteno tatetoetei,fono,fono-meping,fono-meping,fono-meping,fono,remo tenlol,fono-meping,fono,remo tatetoetei,fono-meping,fono,fono,fteno tenlol,fono,fteno tenlol,fono-meping,fono-meping,fono,"momo, pea","baba, nene",momo,"momo, pea","baba, nene","momo, pea","momo, pea","baba, nene","baba, nene","baba, nene",nene,"baba, nene","baba, nene","momo, pea",nene,"momo, pea","momo, pea","momo, pea","baba, nene"
2,0.14545153151795776,1.027116072173456,0.8816645406554983,fono,fteno tenlol,fono,fono,fono-meping,fono-meping,fono-meping,fono,fono,fono-meping,fono,fono-meping,fono-meping,fono,fono,fono,fono-meping,fono,fono,fteno tatetoetei,remo tatetoetei,fteno tatetoetei,remo tenlol,fono-meping,fono,fono,fono,fono-meping,fono-meping,fono-meping,fteno tenlol,fono-meping,remo tenlol,remo tatetoetei,fono-meping,fono-meping,fono,fono,fono-meping,"baba, nene","momo, pea","baba, nene",nene,"momo, pea","baba, nene","baba, nene","baba, nene","momo, pea","momo, pea",nene,"baba, nene",momo,"baba, nene","momo, pea","momo, pea","momo, pea","momo, pea","baba, nene"
3,0.1762217620193095,1.1157605755217923,0.9395388135024828,fono,fono,fono-meping,fono-meping,fteno tatetoetei,fono-meping,fono-meping,fteno tatetoetei,fono,fono-meping,fono-meping,fono-meping,remo tatetoetei,fono,fono,fono,fono,fono,fono,fono-meping,fono,fono-meping,fono-meping,fono-meping,fono,fono,remo tatetoetei,fono-meping,fono,fono,fono-meping,fono,fteno tenlol,fono-meping,fteno tenlol,fono,remo tenlol,remo tenlol,fono-meping,"baba, nene","momo, pea","baba, nene","baba, nene",nene,"momo, pea",nene,"baba, nene","momo, pea","momo, pea","momo, pea","momo, pea","baba, nene",momo,"baba, nene","momo, pea","baba, nene","baba, nene","momo, pea"
4,0.20345470506513275,1.115760575521792,0.9123058704566593,fono,fono-meping,fono,fono,fono-meping,fono,fono-meping,fono,fteno tenlol,fono-meping,fono-meping,remo tenlol,fteno tatetoetei,fono-meping,fono,fono,fono,fono,fono,fono-meping,remo tatetoetei,remo tatetoetei,fono-meping,fono,fono-meping,fono,fono-meping,fteno tenlol,fteno tatetoetei,fono,fono-meping,fono-meping,fono,remo tenlol,fono,fono-meping,fono,fono-meping,fono-meping,"momo, pea","baba, nene","momo, pea","momo, pea","baba, nene","baba, nene","baba, nene","baba, nene","momo, pea","momo, pea","baba, nene","baba, nene","momo, pea","momo, pea",momo,nene,"momo, pea",nene,"baba, nene"
5,0.08982263274829272,1.114352137506736,1.0245295047584433,remo tatetoetei,fono,fono,fono,fono-meping,fono,fono-meping,fono-meping,fteno tatetoetei,fono-meping,remo tenlol,fono,fono-meping,fono-meping,fono-meping,fono-meping,fono,fono,fono-meping,fono,fono,fono,fono,fono-meping,fono,fteno tenlol,fono,fteno tatetoetei,fono-meping,fono,fono-meping,fono,fteno tenlol,fono-meping,fono-meping,remo tenlol,fono-meping,remo tatetoetei,fono,"momo, pea","momo, pea","baba, nene","baba, nene","baba, nene","baba, nene","momo, pea",nene,"baba, nene","momo, pea","baba, nene",momo,"baba, nene","momo, pea","momo, pea","momo, pea",nene,"baba, nene","momo, pea"
6,0.08848368899052139,1.114352137506736,1.0258684485162146,fono-meping,remo tatetoetei,fteno tenlol,fteno tenlol,remo tenlol,fteno tatetoetei,fono-meping,remo tenlol,fono-meping,fono,fono-meping,fono,fono,fono,fono,fono-meping,fono-meping,fono-meping,fono,fono-meping,fono-meping,fono,fono,fono-meping,remo tatetoetei,fono,fono,fono-meping,fono,fono-meping,fono,fono-meping,fono,fono-meping,fteno tatetoetei,fono,fono,fono,fono-meping,"momo, pea","momo, pea","baba, nene","momo, pea","momo, pea","momo, pea","baba, nene","baba, nene",nene,"momo, pea",nene,"baba, nene","baba, nene",momo,"baba, nene","baba, nene","momo, pea","baba, nene","momo, pea"
7,0.3248685830847581,1.114352137506736,0.7894835544219779,remo tenlol,fono,fono-meping,fono-meping,fono,fono,fono,fono-meping,fono,fono,fono-meping,fono,fono,fono,fteno tenlol,fono-meping,fono-meping,fono,fono-meping,fono-meping,fono,remo tenlol,fono,fteno tatetoetei,fono,remo tatetoetei,fono,fono,fono-meping,fono,fono-meping,fono-meping,fono-meping,fono-meping,fono-meping,fteno tatetoetei,fteno tenlol,fono-meping,remo tatetoetei,"momo, pea","momo, pea","baba, nene","momo, pea",nene,"baba, nene","momo, pea","baba, nene","momo, pea",nene,"baba, nene","baba, nene","baba, nene","momo, pea","momo, pea",momo,"baba, nene","momo, pea","baba, nene"
8,0.22395293697729113,1.115760575521792,0.891807638544501,fono-meping,fono-meping,fono-meping,fono-meping,fono,fono-meping,fono,fono,fono,fono,fono,fteno tatetoetei,fteno tenlol,fteno tenlol,remo tatetoetei,fono-meping,fono-meping,fono,remo tenlol,fono-meping,fono-meping,fono,fono,fono-meping,remo tatetoetei,fono-meping,fono,fono-meping,remo tenlol,fono,fono-meping,fono-meping,fono,fono-meping,fono,fteno tatetoetei,fono,fono,fono,"baba, nene","baba, nene","baba, nene",nene,"momo, pea","baba, nene","baba, nene","baba, nene","momo, pea","momo, pea","momo, pea","momo, pea","baba, nene","baba, nene","momo, pea",nene,"momo, pea",momo,"momo, pea"
9,0.07412360405702045,1.027116072173456,0.9529924681164356,fono-meping,remo tatetoetei,fono,fono,fono-meping,fono-meping,fono,fono,fono,fono,fono-meping,fono-meping,remo tatetoetei,fono-meping,fono-meping,fteno tenlol,fono,remo tenlol,fono,fteno tatetoetei,fono-meping,fono,fono-meping,fono-meping,fono-meping,fono,fono-meping,fono-meping,fono,fono,fono-meping,fono,fono-meping,remo tenlol,fono,fono,fono,fteno tatetoetei,fteno tenlol,"baba, nene","baba, nene","momo, pea","momo, pea","momo, pea","momo, pea","momo, pea","baba, nene","baba, nene","baba, nene","baba, nene","baba, nene",momo,nene,"momo, pea",nene,"momo, pea","momo, pea","baba, nene"
