simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBeS,mFByS,mFBeD,mFByD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeS,mMZyS,mMZeD,mMZyD,fFBeS,fFByS,fFBeD,fFByD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZyS,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.2868240015233605,1.376055285260417,1.0892312837370566,"-nang, -arudi","-nang, -beng",-kaku,"-kaku, -beng","-kaku, -arudi","-nang, -arudi","-kaku, -arudi",-nang,"-nang, -arudi","-kaku, -arudi",-kaku,-nang,-nang,"-nang, -limi deng","-nang, -arudi","-nang, -beng",-kaku,"-kaku, -arudi","-nang, -mei deng",-kaku,-nang,"-kaku, -limi deng","-kaku, -beng","-nang, -arudi","-kaku, -arudi","-nang, -beng","-kaku, -arudi",-kaku,"-kaku, -arudi",-kaku,"-kaku, -arudi",-nang,"-kaku, -beng","-kaku, -beng","-nang, -beng","-nang, -arudi","-kaku, -mei deng","-nang, -arudi",-par,-yar,-yidem,-ya,-paidem,-paidem,-yidem,-paidem,-par,-yar,-yar,-pa,-yar,-yidem,-par,-par,-yidem,-paidem,-pa,-ya
1,0.20218548540814552,1.3760552852604169,1.1738697998522714,"-kaku, -arudi","-kaku, -arudi","-nang, -arudi","-kaku, -arudi","-nang, -limi deng","-kaku, -arudi","-kaku, -arudi","-kaku, -mei deng","-kaku, -beng",-nang,"-nang, -beng",-nang,-kaku,-kaku,"-nang, -arudi","-nang, -beng","-kaku, -beng",-kaku,-nang,"-nang, -mei deng","-nang, -arudi","-nang, -arudi","-nang, -beng","-kaku, -arudi",-kaku,"-nang, -arudi","-kaku, -beng",-kaku,-nang,"-kaku, -beng","-nang, -arudi","-kaku, -arudi",-kaku,"-nang, -beng","-kaku, -arudi",-nang,"-nang, -arudi","-kaku, -limi deng",-pa,-yar,-par,-paidem,-paidem,-yidem,-yidem,-yar,-paidem,-paidem,-yar,-ya,-yidem,-par,-par,-pa,-yar,-par,-ya,-yidem
2,0.10603713334992682,1.0346012329101812,0.9285640995602544,-kaku,"-kaku, -beng",-kaku,"-nang, -beng","-kaku, -arudi","-kaku, -arudi","-kaku, -arudi","-kaku, -arudi","-kaku, -beng",-nang,"-kaku, -arudi",-kaku,"-nang, -arudi","-nang, -arudi",-nang,"-nang, -beng","-nang, -arudi","-kaku, -arudi",-kaku,"-nang, -limi deng","-kaku, -arudi","-nang, -mei deng","-kaku, -limi deng","-kaku, -arudi","-nang, -arudi","-nang, -arudi",-kaku,"-kaku, -mei deng",-nang,"-kaku, -beng",-nang,"-kaku, -beng",-nang,"-nang, -arudi",-kaku,"-nang, -arudi","-nang, -beng","-nang, -beng",-par,-yidem,-yar,-par,-paidem,-yidem,-ya,-yidem,-par,-ya,-yidem,-par,-yar,-paidem,-pa,-pa,-yar,-paidem,-paidem,-yar
3,0.2050581591442049,1.0346012329101812,0.8295430737659764,-nang,"-nang, -arudi","-nang, -beng","-kaku, -mei deng","-kaku, -arudi","-kaku, -arudi","-kaku, -arudi",-nang,"-kaku, -beng",-kaku,"-kaku, -arudi","-nang, -arudi",-nang,-kaku,"-kaku, -arudi","-nang, -arudi","-nang, -arudi","-kaku, -limi deng",-kaku,"-kaku, -beng","-nang, -limi deng","-kaku, -arudi","-nang, -beng","-kaku, -arudi","-nang, -arudi","-kaku, -beng","-nang, -mei deng",-kaku,"-kaku, -beng",-kaku,"-nang, -beng",-nang,"-nang, -arudi","-nang, -beng","-nang, -arudi",-nang,-kaku,"-kaku, -arudi",-paidem,-par,-yar,-paidem,-paidem,-yar,-yidem,-ya,-paidem,-par,-yidem,-pa,-yar,-pa,-ya,-yidem,-par,-par,-yar,-yidem
4,0.41011631828840933,1.376055285260417,0.9659389669720078,"-nang, -beng","-kaku, -arudi","-nang, -arudi",-nang,"-nang, -arudi","-kaku, -arudi","-nang, -arudi",-kaku,"-nang, -arudi","-kaku, -beng","-nang, -beng",-nang,"-nang, -beng",-kaku,"-nang, -limi deng","-kaku, -arudi",-nang,"-kaku, -arudi",-nang,"-kaku, -arudi","-kaku, -beng","-kaku, -beng","-nang, -arudi",-nang,"-kaku, -arudi","-kaku, -arudi","-kaku, -arudi","-nang, -beng",-kaku,"-kaku, -mei deng",-kaku,-kaku,-kaku,"-nang, -mei deng","-kaku, -limi deng","-nang, -arudi","-kaku, -beng","-nang, -arudi",-ya,-yidem,-paidem,-yar,-par,-yar,-yidem,-par,-pa,-ya,-par,-paidem,-yar,-yidem,-yidem,-yar,-par,-pa,-paidem,-paidem
5,0.682908104700472,1.376055285260417,0.6931471805599451,-nang,"-nang, -arudi",-kaku,"-nang, -beng","-kaku, -arudi","-kaku, -beng",-kaku,-nang,"-kaku, -arudi","-nang, -arudi","-kaku, -arudi","-nang, -arudi","-nang, -arudi","-kaku, -arudi","-nang, -beng","-kaku, -mei deng","-kaku, -beng","-nang, -mei deng","-kaku, -limi deng",-nang,"-kaku, -beng",-kaku,"-nang, -arudi","-nang, -beng","-kaku, -arudi",-kaku,-nang,"-nang, -arudi","-nang, -arudi","-nang, -beng","-kaku, -arudi",-kaku,-nang,"-kaku, -arudi","-kaku, -beng","-kaku, -arudi",-kaku,"-nang, -limi deng",-paidem,-ya,-par,-yar,-yar,-pa,-yidem,-ya,-pa,-yidem,-paidem,-yidem,-paidem,-paidem,-par,-yidem,-yar,-yar,-par,-par
6,0.3414540523502362,1.0346012329101812,0.6931471805599451,-nang,"-kaku, -beng","-nang, -beng",-nang,-kaku,"-nang, -beng","-kaku, -arudi","-kaku, -arudi","-kaku, -arudi","-nang, -arudi","-kaku, -arudi","-kaku, -arudi","-nang, -mei deng",-nang,-kaku,"-kaku, -beng","-nang, -arudi",-kaku,"-nang, -arudi","-nang, -arudi","-nang, -arudi","-nang, -beng","-kaku, -limi deng","-kaku, -arudi","-kaku, -beng","-nang, -limi deng",-nang,-kaku,-nang,"-nang, -arudi",-kaku,"-nang, -arudi","-kaku, -mei deng","-kaku, -arudi","-nang, -beng",-kaku,"-kaku, -beng","-kaku, -arudi",-yidem,-par,-paidem,-par,-par,-paidem,-ya,-paidem,-yar,-yar,-yar,-yar,-paidem,-par,-pa,-ya,-yidem,-yidem,-yidem,-pa
7,0.017247010260572293,0.5982695885852573,0.581022578324685,"-kaku, -arudi",-nang,-kaku,-nang,-kaku,"-nang, -arudi","-kaku, -arudi","-nang, -arudi",-nang,"-nang, -arudi","-kaku, -arudi","-nang, -limi deng","-nang, -beng","-nang, -arudi","-kaku, -limi deng","-kaku, -beng","-kaku, -arudi","-kaku, -beng","-nang, -beng",-nang,"-kaku, -arudi","-nang, -mei deng",-nang,-kaku,-kaku,"-kaku, -arudi","-nang, -arudi","-nang, -arudi","-nang, -beng","-kaku, -beng","-kaku, -arudi","-nang, -beng","-kaku, -mei deng",-kaku,"-nang, -arudi","-kaku, -beng","-kaku, -arudi",-kaku,-paidem,-paidem,-pa,-paidem,-yidem,-par,-ya,-yidem,-par,-par,-paidem,-yar,-yidem,-pa,-par,-yar,-yar,-yar,-ya,-yidem
8,0.2868240015233605,1.376055285260417,1.0892312837370566,"-kaku, -beng","-nang, -arudi","-kaku, -arudi","-kaku, -arudi",-kaku,"-nang, -beng","-kaku, -beng","-kaku, -arudi","-kaku, -arudi",-kaku,-kaku,"-nang, -limi deng","-kaku, -beng",-nang,-nang,-nang,-kaku,"-kaku, -arudi","-nang, -beng","-nang, -arudi",-kaku,-nang,"-kaku, -arudi","-nang, -arudi","-kaku, -arudi","-kaku, -mei deng","-nang, -beng","-kaku, -beng",-kaku,"-kaku, -limi deng","-nang, -mei deng","-nang, -arudi","-nang, -arudi","-kaku, -arudi","-nang, -arudi","-nang, -arudi",-nang,"-nang, -beng",-par,-pa,-yar,-yidem,-yidem,-paidem,-par,-ya,-yidem,-par,-ya,-pa,-paidem,-yidem,-paidem,-yar,-yar,-paidem,-yar,-par
9,0.34145405235023585,1.034601232910181,0.6931471805599452,"-nang, -arudi","-kaku, -arudi","-kaku, -beng",-nang,"-kaku, -mei deng","-kaku, -arudi","-kaku, -beng","-nang, -beng","-kaku, -arudi","-nang, -beng",-kaku,"-nang, -arudi","-kaku, -arudi","-nang, -arudi","-nang, -arudi",-kaku,"-nang, -beng",-nang,"-kaku, -arudi","-nang, -beng","-nang, -mei deng",-nang,"-kaku, -limi deng","-nang, -limi deng","-kaku, -arudi","-nang, -arudi","-nang, -arudi",-nang,-kaku,-nang,"-kaku, -arudi","-nang, -arudi",-kaku,"-kaku, -beng","-kaku, -arudi",-kaku,-kaku,"-kaku, -beng",-yar,-paidem,-par,-yar,-paidem,-pa,-par,-ya,-yar,-yidem,-yidem,-paidem,-yar,-paidem,-pa,-par,-ya,-yidem,-yidem,-par
