simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,myB,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meB,meZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fyB,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feB,feZ,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.20160712281054383,1.6952100340382141,1.4936029112276703,pokr yeɣpayr,zarmuhi,zarmuhi,b[ə]zdig kuyr,zarmuhi,zarmuhi,pokr yeɣpayr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,yeɣpayr,zarmuhi,kuyr,yeɣpayr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,kuyr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,b[ə]zdig kuyr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,yeɣpayr,yeɣpayr,kuyr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,kuyr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,mayr,moryeɣpayr,horyeɣpayr,moryeɣpayr,hayr,moryeɣpayr,morakuyr,morakuyr,horakuyr,horyeɣpayr,morakuyr,horakuyr,hayr,moryeɣpayr,morakuyr,horyeɣpayr,horyeɣpayr,morakuyr,morakuyr,horyeɣpayr,moryeɣpayr,horakuyr,horakuyr,moryeɣpayr,horyeɣpayr,horakuyr,mayr,horakuyr
1,0.11055627953754654,1.6447314216121938,1.5341751420746472,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,b[ə]zdig kuyr,zarmuhi,pokr yeɣpayr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,kuyr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,yeɣpayr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,kuyr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,b[ə]zdig kuyr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,yeɣpayr,zarmuhi,yeɣpayr,zarmuhi,pokr yeɣpayr,zarmuhi,kuyr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,kuyr,zarmuhi,yeɣpayr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,morakuyr,horakuyr,horakuyr,morakuyr,horakuyr,moryeɣpayr,morakuyr,morakuyr,horyeɣpayr,mayr,horakuyr,horyeɣpayr,morakuyr,horyeɣpayr,horakuyr,moryeɣpayr,hayr,moryeɣpayr,moryeɣpayr,moryeɣpayr,horyeɣpayr,hayr,morakuyr,horakuyr,moryeɣpayr,mayr,horyeɣpayr,horyeɣpayr
2,0.09810378856863022,1.648304386224293,1.5502005976556628,zarmuhi,pokr yeɣpayr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,yeɣpayr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,kuyr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,kuyr,b[ə]zdig kuyr,zarmuhi,zarmuhi,zarmuhi,yeɣpayr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,kuyr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,pokr yeɣpayr,kuyr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,yeɣpayr,zarmuhi,zarmuhi,zarmuhi,b[ə]zdig kuyr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,yeɣpayr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,morakuyr,moryeɣpayr,moryeɣpayr,moryeɣpayr,horakuyr,horakuyr,horyeɣpayr,morakuyr,horyeɣpayr,morakuyr,mayr,horakuyr,mayr,morakuyr,horakuyr,horyeɣpayr,horyeɣpayr,moryeɣpayr,morakuyr,horyeɣpayr,horyeɣpayr,moryeɣpayr,hayr,morakuyr,moryeɣpayr,horakuyr,horakuyr,hayr
3,0.1635040931654288,1.7038389683739146,1.5403348752084858,zarmuhi,zarmuhi,kuyr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,kuyr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,pokr yeɣpayr,b[ə]zdig kuyr,pokr yeɣpayr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,yeɣpayr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,yeɣpayr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,b[ə]zdig kuyr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,kuyr,zarmuhi,yeɣpayr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,kuyr,yeɣpayr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,morakuyr,mayr,horakuyr,hayr,horyeɣpayr,horyeɣpayr,horakuyr,mayr,morakuyr,moryeɣpayr,morakuyr,horyeɣpayr,horyeɣpayr,moryeɣpayr,morakuyr,horakuyr,horakuyr,horakuyr,horyeɣpayr,moryeɣpayr,moryeɣpayr,morakuyr,morakuyr,horakuyr,moryeɣpayr,moryeɣpayr,hayr,horyeɣpayr
4,0.18514177343190585,1.6791817002865712,1.4940399268546654,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,pokr yeɣpayr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,yeɣpayr,zarmuhi,pokr yeɣpayr,b[ə]zdig kuyr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,yeɣpayr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,yeɣpayr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,kuyr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,kuyr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,kuyr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,yeɣpayr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,kuyr,zarmuhi,zarmuhi,b[ə]zdig kuyr,horyeɣpayr,moryeɣpayr,moryeɣpayr,hayr,horyeɣpayr,morakuyr,horakuyr,moryeɣpayr,morakuyr,morakuyr,morakuyr,morakuyr,horakuyr,mayr,horakuyr,horyeɣpayr,moryeɣpayr,horyeɣpayr,horakuyr,morakuyr,hayr,horyeɣpayr,horakuyr,horyeɣpayr,mayr,horakuyr,moryeɣpayr,moryeɣpayr
5,0.1651737013419523,1.6473220068957275,1.4821483055537752,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,yeɣpayr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,kuyr,zarmuhi,pokr yeɣpayr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,b[ə]zdig kuyr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,b[ə]zdig kuyr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,yeɣpayr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,yeɣpayr,zarmuhi,kuyr,zarmuhi,pokr yeɣpayr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,kuyr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,yeɣpayr,zarmuhi,zarmuhi,kuyr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,morakuyr,morakuyr,moryeɣpayr,horyeɣpayr,horakuyr,horakuyr,morakuyr,horyeɣpayr,horakuyr,hayr,moryeɣpayr,moryeɣpayr,horyeɣpayr,moryeɣpayr,morakuyr,horakuyr,morakuyr,hayr,horakuyr,moryeɣpayr,mayr,mayr,horakuyr,moryeɣpayr,horyeɣpayr,horyeɣpayr,horyeɣpayr,morakuyr
6,0.14433211175765837,1.6543859710460629,1.5100538592884045,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,yeɣpayr,zarmuhi,yeɣpayr,b[ə]zdig kuyr,pokr yeɣpayr,zarmuhi,yeɣpayr,yeɣpayr,zarmuhi,pokr yeɣpayr,kuyr,zarmuhi,kuyr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,b[ə]zdig kuyr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,kuyr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,kuyr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,horyeɣpayr,moryeɣpayr,hayr,horyeɣpayr,moryeɣpayr,moryeɣpayr,horyeɣpayr,moryeɣpayr,moryeɣpayr,mayr,morakuyr,horyeɣpayr,morakuyr,morakuyr,horakuyr,horakuyr,morakuyr,horakuyr,moryeɣpayr,horakuyr,horakuyr,hayr,morakuyr,morakuyr,horakuyr,mayr,horyeɣpayr,horyeɣpayr
7,0.09282173271380034,1.6780357273772442,1.5852139946634438,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,kuyr,b[ə]zdig kuyr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,yeɣpayr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,yeɣpayr,zarmuhi,b[ə]zdig kuyr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,pokr yeɣpayr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,yeɣpayr,zarmuhi,pokr yeɣpayr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,kuyr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,kuyr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,kuyr,zarmuhi,zarmuhi,zarmuhi,yeɣpayr,zarmuhi,zarmuhi,zarmuhi,mayr,morakuyr,morakuyr,moryeɣpayr,morakuyr,horyeɣpayr,moryeɣpayr,hayr,moryeɣpayr,moryeɣpayr,mayr,horakuyr,morakuyr,horakuyr,horyeɣpayr,horakuyr,horakuyr,horyeɣpayr,horakuyr,horyeɣpayr,morakuyr,horyeɣpayr,moryeɣpayr,hayr,horyeɣpayr,moryeɣpayr,morakuyr,horakuyr
8,0.12944254174804226,1.6192664880705814,1.4898239463225391,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,kuyr,kuyr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,yeɣpayr,zarmuhi,kuyr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,pokr yeɣpayr,zarmuhi,pokr yeɣpayr,zarmuhi,yeɣpayr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,b[ə]zdig kuyr,b[ə]zdig kuyr,zarmuhi,zarmuhi,kuyr,zarmuhi,yeɣpayr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,yeɣpayr,zarmuhi,zarmuhi,moryeɣpayr,morakuyr,horyeɣpayr,moryeɣpayr,horakuyr,horakuyr,mayr,moryeɣpayr,morakuyr,horyeɣpayr,morakuyr,hayr,moryeɣpayr,horakuyr,horyeɣpayr,morakuyr,morakuyr,horyeɣpayr,horyeɣpayr,horakuyr,horakuyr,mayr,hayr,moryeɣpayr,moryeɣpayr,horyeɣpayr,morakuyr,horakuyr
9,0.07793313574872873,1.6868684565303675,1.6089353207816388,zarmuhi,yeɣpayr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,yeɣpayr,yeɣpayr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,yeɣpayr,b[ə]zdig kuyr,pokr yeɣpayr,zarmuhi,zarmuhi,zarmuhi,kuyr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,pokr yeɣpayr,zarmuhi,zarmuhi,zarmuhi,kuyr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,b[ə]zdig kuyr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,kuyr,zarmuhi,zarmuhi,kuyr,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,zarmuhi,moryeɣpayr,horakuyr,horakuyr,moryeɣpayr,morakuyr,horyeɣpayr,horakuyr,horyeɣpayr,morakuyr,horyeɣpayr,horyeɣpayr,hayr,morakuyr,horakuyr,moryeɣpayr,hayr,horyeɣpayr,horyeɣpayr,moryeɣpayr,mayr,morakuyr,horakuyr,moryeɣpayr,horakuyr,mayr,moryeɣpayr,morakuyr,morakuyr
