simulation_number,mutual_information,entropy,conditional_entropy,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mB,mZ,myB,myZ,meB,meZ,fB,fZ,fyB,fyZ,feB,feZ,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB,mF,mM,mFB,mFZ,mMB,mMZ,fF,fM,fFB,fFZ,fMB,fMZ
0,0.6457619610711429,2.233658097385753,1.58789613631461,apa,pesar-e-xãle,doxtar-e-dãi,pesar-e-xãle,pesar-e-xãle,pesar-e-dãi,doxtar-e-xãle,pesar-e-amme,doxtar-e-amu,pesar-e-amme,hæmšire,pesar-e-amu,doxtar-e-amme,doxtar-e-amu,doxtar-e-amme,doxtar-e-dãi,doxtar-e-xãle,pesar-e-dãi,pesar-e-amu,pesar-e-dãi,[uka],doxtar-e-dãi,pesar-e-amme,doxtar-e-amu,doxtar-e-amme,pesar-e-xãle,doxtar-e-amu,pesar-e-xãle,pesar-e-amme,pesar-e-amme,doxtar-e-amme,doxtar-e-dãi,pesar-e-amme,doxtar-e-xãle,doxtar-e-xãle,pesar-e-dãi,pesar-e-amu,pesar-e-dãi,pesar-e-dãi,[uka],doxtar-e-amu,pesar-e-dãi,doxtar-e-amme,pesar-e-amme,doxtar-e-amme,pesar-e-amu,doxtar-e-dãi,pesar-e-dãi,[dɑdɑš],pesar-e-xãle,doxtar-e-amu,[dɑdɑš],hæmšire,[dɑdɑš],pesar-e-amu,hæmšire,doxtar-e-amme,doxtar-e-amu,hæmšire,pesar-e-amu,doxtar-e-amme,apa,pesar-e-amu,doxtar-e-xãle,pesar-e-amme,pesar-e-dãi,doxtar-e-xãle,pesar-e-amu,doxtar-e-xãle,doxtar-e-amu,pesar-e-amme,doxtar-e-dãi,doxtar-e-dãi,pesar-e-amu,doxtar-e-dãi,doxtar-e-xãle,doxtar-e-dãi,pesar-e-xãle,doxtar-e-amme,pesar-e-xãle,[dɑdɑš],doxtar-e-xãle,pesar-e-amme,doxtar-e-xãle,doxtar-e-dãi,pesar-e-dãi,pesar-e-amu,doxtar-e-amu,pesar-e-xãle,doxtar-e-amme,xãle,amme,[æmme],xãle,[xɑle],pedær,amu,dãi,dãi,xãle,[xɑle],dãi,[xɑl],[æmme],dãi,[æmm],mɑdær,amme,amme,amme,[æmm],xãle,mɑdær,amu,amu,[xɑl],pedær
1,0.6625262754070851,2.2451105041165635,1.5825842287094785,pesar-e-dãi,[uka],pesar-e-amu,hæmšire,pesar-e-amme,doxtar-e-dãi,pesar-e-xãle,doxtar-e-amme,doxtar-e-amu,doxtar-e-dãi,pesar-e-amu,doxtar-e-dãi,doxtar-e-amu,pesar-e-xãle,hæmšire,doxtar-e-xãle,pesar-e-xãle,doxtar-e-amme,pesar-e-amu,pesar-e-amme,doxtar-e-xãle,doxtar-e-amu,doxtar-e-dãi,pesar-e-amme,pesar-e-amu,pesar-e-amme,doxtar-e-amme,[dɑdɑš],doxtar-e-amme,pesar-e-xãle,doxtar-e-dãi,pesar-e-dãi,pesar-e-amme,doxtar-e-xãle,pesar-e-amme,pesar-e-amu,doxtar-e-amme,pesar-e-dãi,pesar-e-dãi,doxtar-e-amu,pesar-e-dãi,pesar-e-xãle,doxtar-e-xãle,pesar-e-xãle,doxtar-e-dãi,pesar-e-amu,pesar-e-dãi,doxtar-e-xãle,doxtar-e-xãle,doxtar-e-xãle,pesar-e-amme,pesar-e-amu,pesar-e-dãi,hæmšire,doxtar-e-amu,[dɑdɑš],pesar-e-amu,doxtar-e-amme,doxtar-e-amu,pesar-e-amme,pesar-e-xãle,doxtar-e-amme,doxtar-e-dãi,apa,doxtar-e-amme,doxtar-e-xãle,pesar-e-amme,pesar-e-dãi,doxtar-e-amme,hæmšire,pesar-e-xãle,doxtar-e-xãle,apa,doxtar-e-xãle,doxtar-e-amme,pesar-e-dãi,doxtar-e-dãi,doxtar-e-amu,pesar-e-xãle,doxtar-e-dãi,doxtar-e-dãi,pesar-e-amme,doxtar-e-amu,[dɑdɑš],pesar-e-amu,doxtar-e-amu,pesar-e-dãi,[uka],[dɑdɑš],pesar-e-amu,dãi,pedær,[xɑl],amu,[æmme],dãi,[æmm],xãle,amme,dãi,xãle,amme,[xɑl],[xɑle],amu,[xɑle],amu,amme,xãle,dãi,mɑdær,mɑdær,[æmm],pedær,xãle,amme,[æmme]
2,0.5708758453766032,2.25269979959444,1.681823954217837,doxtar-e-xãle,doxtar-e-dãi,hæmšire,doxtar-e-amu,doxtar-e-dãi,pesar-e-amu,doxtar-e-amme,pesar-e-amu,pesar-e-xãle,doxtar-e-amme,doxtar-e-amu,pesar-e-dãi,pesar-e-dãi,doxtar-e-amme,pesar-e-amu,doxtar-e-dãi,doxtar-e-xãle,pesar-e-amme,doxtar-e-amme,doxtar-e-amu,doxtar-e-dãi,doxtar-e-dãi,pesar-e-amme,pesar-e-amu,pesar-e-xãle,[dɑdɑš],pesar-e-amu,[dɑdɑš],pesar-e-amme,apa,doxtar-e-xãle,pesar-e-amu,doxtar-e-dãi,[dɑdɑš],doxtar-e-amu,pesar-e-amme,pesar-e-dãi,apa,pesar-e-dãi,doxtar-e-dãi,pesar-e-xãle,pesar-e-amme,pesar-e-xãle,doxtar-e-xãle,pesar-e-dãi,doxtar-e-dãi,pesar-e-dãi,doxtar-e-xãle,pesar-e-amme,pesar-e-amme,doxtar-e-amme,doxtar-e-xãle,[dɑdɑš],doxtar-e-xãle,doxtar-e-amme,doxtar-e-dãi,pesar-e-xãle,pesar-e-dãi,pesar-e-xãle,doxtar-e-amu,doxtar-e-dãi,pesar-e-xãle,doxtar-e-amu,[uka],doxtar-e-amu,doxtar-e-amme,[uka],pesar-e-amme,pesar-e-amu,pesar-e-xãle,doxtar-e-amme,pesar-e-amu,doxtar-e-amme,hæmšire,doxtar-e-xãle,doxtar-e-xãle,pesar-e-amu,pesar-e-dãi,pesar-e-amu,pesar-e-amme,doxtar-e-amu,pesar-e-xãle,doxtar-e-amu,doxtar-e-xãle,doxtar-e-amme,hæmšire,pesar-e-dãi,hæmšire,pesar-e-amme,pesar-e-dãi,amme,amme,amu,dãi,[æmm],amme,[æmme],pedær,amu,xãle,mɑdær,dãi,[xɑl],dãi,[xɑle],[æmm],xãle,xãle,amme,[xɑl],[xɑle],xãle,pedær,dãi,mɑdær,amu,[æmme]
3,0.5768645532139209,2.189132484331938,1.612267931118017,pesar-e-dãi,doxtar-e-xãle,pesar-e-xãle,pesar-e-dãi,pesar-e-xãle,doxtar-e-amme,doxtar-e-amu,doxtar-e-amu,doxtar-e-dãi,pesar-e-dãi,pesar-e-amme,pesar-e-amu,pesar-e-dãi,doxtar-e-dãi,doxtar-e-amu,doxtar-e-amu,[dɑdɑš],[uka],doxtar-e-xãle,pesar-e-amu,pesar-e-xãle,pesar-e-dãi,doxtar-e-amme,pesar-e-amu,doxtar-e-dãi,pesar-e-xãle,doxtar-e-amu,apa,hæmšire,doxtar-e-xãle,doxtar-e-amme,doxtar-e-dãi,doxtar-e-xãle,[uka],[dɑdɑš],pesar-e-amme,doxtar-e-amme,pesar-e-amu,pesar-e-xãle,pesar-e-amu,pesar-e-amu,pesar-e-amme,doxtar-e-amme,doxtar-e-dãi,doxtar-e-xãle,doxtar-e-dãi,doxtar-e-dãi,pesar-e-amme,doxtar-e-amu,doxtar-e-amme,pesar-e-amme,doxtar-e-dãi,doxtar-e-amme,pesar-e-dãi,hæmšire,hæmšire,doxtar-e-xãle,pesar-e-dãi,pesar-e-amme,pesar-e-amu,pesar-e-amme,pesar-e-dãi,doxtar-e-amme,[dɑdɑš],doxtar-e-xãle,pesar-e-amu,doxtar-e-amme,pesar-e-amu,doxtar-e-xãle,pesar-e-amu,[dɑdɑš],pesar-e-dãi,hæmšire,apa,pesar-e-xãle,doxtar-e-amu,pesar-e-xãle,pesar-e-dãi,doxtar-e-amme,doxtar-e-dãi,pesar-e-xãle,doxtar-e-dãi,pesar-e-amme,pesar-e-amme,doxtar-e-xãle,pesar-e-amme,doxtar-e-amu,doxtar-e-xãle,pesar-e-xãle,doxtar-e-amu,[xɑle],[xɑle],[æmm],amu,xãle,[xɑl],dãi,xãle,mɑdær,[æmm],mɑdær,amme,dãi,amu,[æmme],pedær,amu,amme,[xɑl],dãi,[æmme],pedær,dãi,xãle,xãle,amme,amme
4,0.5949556607560598,2.2355998739825256,1.6406442132264658,pesar-e-amu,pesar-e-xãle,pesar-e-dãi,pesar-e-amme,pesar-e-amu,doxtar-e-dãi,doxtar-e-xãle,pesar-e-dãi,doxtar-e-amme,doxtar-e-amme,pesar-e-dãi,apa,[dɑdɑš],pesar-e-dãi,pesar-e-amme,pesar-e-xãle,[uka],pesar-e-xãle,pesar-e-amme,pesar-e-dãi,doxtar-e-xãle,doxtar-e-dãi,pesar-e-amu,pesar-e-amu,doxtar-e-xãle,doxtar-e-amu,doxtar-e-dãi,doxtar-e-amu,doxtar-e-xãle,doxtar-e-xãle,doxtar-e-xãle,doxtar-e-dãi,pesar-e-dãi,[dɑdɑš],pesar-e-amu,doxtar-e-amme,doxtar-e-dãi,doxtar-e-dãi,pesar-e-amme,hæmšire,doxtar-e-amme,pesar-e-amme,pesar-e-xãle,doxtar-e-dãi,pesar-e-dãi,hæmšire,doxtar-e-amu,pesar-e-amu,doxtar-e-xãle,pesar-e-amme,apa,[uka],pesar-e-amme,pesar-e-amme,pesar-e-dãi,doxtar-e-amu,doxtar-e-amme,pesar-e-xãle,doxtar-e-dãi,doxtar-e-dãi,doxtar-e-amu,doxtar-e-amme,doxtar-e-amu,doxtar-e-xãle,pesar-e-amu,doxtar-e-amme,doxtar-e-amu,pesar-e-xãle,pesar-e-dãi,doxtar-e-amu,hæmšire,[dɑdɑš],[dɑdɑš],doxtar-e-xãle,doxtar-e-xãle,doxtar-e-amu,doxtar-e-amme,doxtar-e-amme,doxtar-e-amme,pesar-e-amu,pesar-e-xãle,pesar-e-amme,hæmšire,pesar-e-amme,pesar-e-dãi,pesar-e-amu,doxtar-e-dãi,pesar-e-xãle,pesar-e-amu,pesar-e-xãle,xãle,pedær,[æmme],[xɑle],mɑdær,xãle,amme,[xɑl],amu,pedær,amu,dãi,dãi,amu,xãle,dãi,amme,mɑdær,[xɑle],[æmm],[æmme],amme,xãle,[æmm],[xɑl],amme,dãi
5,0.6307762375052797,2.180878879224903,1.5501026417196233,pesar-e-dãi,pesar-e-amme,pesar-e-amme,hæmšire,pesar-e-xãle,doxtar-e-amu,pesar-e-xãle,doxtar-e-xãle,doxtar-e-xãle,doxtar-e-amme,pesar-e-dãi,pesar-e-amme,pesar-e-amu,[uka],doxtar-e-xãle,pesar-e-dãi,pesar-e-amu,doxtar-e-amme,[dɑdɑš],pesar-e-amme,apa,doxtar-e-xãle,pesar-e-dãi,hæmšire,doxtar-e-xãle,doxtar-e-amu,pesar-e-xãle,pesar-e-amu,doxtar-e-amu,doxtar-e-amu,doxtar-e-amme,pesar-e-xãle,doxtar-e-xãle,doxtar-e-amme,doxtar-e-amu,pesar-e-amme,doxtar-e-amme,doxtar-e-amme,pesar-e-dãi,doxtar-e-dãi,doxtar-e-dãi,doxtar-e-dãi,doxtar-e-xãle,doxtar-e-xãle,pesar-e-xãle,[dɑdɑš],doxtar-e-dãi,doxtar-e-amme,pesar-e-amu,doxtar-e-dãi,doxtar-e-dãi,[uka],pesar-e-xãle,doxtar-e-dãi,pesar-e-amme,pesar-e-amme,pesar-e-amme,doxtar-e-amu,pesar-e-dãi,pesar-e-dãi,pesar-e-amu,pesar-e-xãle,pesar-e-dãi,doxtar-e-xãle,[dɑdɑš],apa,doxtar-e-dãi,[dɑdɑš],doxtar-e-amu,hæmšire,doxtar-e-xãle,pesar-e-amu,pesar-e-dãi,doxtar-e-amu,pesar-e-amme,hæmšire,doxtar-e-amu,pesar-e-amu,pesar-e-amme,doxtar-e-amme,pesar-e-xãle,pesar-e-amu,pesar-e-dãi,doxtar-e-dãi,pesar-e-amu,pesar-e-amu,doxtar-e-amme,doxtar-e-amme,pesar-e-xãle,doxtar-e-dãi,xãle,pedær,amu,[æmme],amu,[xɑle],mɑdær,amu,xãle,[æmm],[æmme],[xɑle],dãi,pedær,amme,amme,xãle,dãi,mɑdær,amme,dãi,[xɑl],[æmm],xãle,dãi,amme,[xɑl]
6,0.52919628647103,2.2335322957784,1.7043360093073698,pesar-e-amu,doxtar-e-dãi,doxtar-e-xãle,doxtar-e-amme,doxtar-e-amu,doxtar-e-amu,pesar-e-amme,pesar-e-amme,pesar-e-dãi,pesar-e-amu,pesar-e-amme,pesar-e-xãle,doxtar-e-xãle,hæmšire,doxtar-e-dãi,doxtar-e-amu,doxtar-e-xãle,doxtar-e-dãi,doxtar-e-xãle,doxtar-e-dãi,hæmšire,[dɑdɑš],[dɑdɑš],doxtar-e-dãi,pesar-e-xãle,pesar-e-dãi,doxtar-e-amu,doxtar-e-amme,doxtar-e-amme,pesar-e-xãle,pesar-e-amu,pesar-e-xãle,doxtar-e-xãle,doxtar-e-amme,pesar-e-amu,pesar-e-amme,pesar-e-amu,pesar-e-dãi,[dɑdɑš],doxtar-e-amu,pesar-e-amme,doxtar-e-amme,pesar-e-dãi,pesar-e-amme,pesar-e-dãi,apa,pesar-e-xãle,pesar-e-amu,doxtar-e-dãi,pesar-e-amu,pesar-e-dãi,doxtar-e-amme,pesar-e-xãle,pesar-e-amu,pesar-e-xãle,doxtar-e-xãle,doxtar-e-amme,doxtar-e-amme,pesar-e-amu,doxtar-e-amme,[dɑdɑš],pesar-e-amu,doxtar-e-dãi,pesar-e-amme,doxtar-e-xãle,doxtar-e-amu,doxtar-e-xãle,doxtar-e-dãi,doxtar-e-dãi,pesar-e-amme,pesar-e-xãle,[uka],pesar-e-xãle,pesar-e-dãi,pesar-e-amme,pesar-e-dãi,apa,doxtar-e-amu,pesar-e-dãi,pesar-e-amme,doxtar-e-amme,hæmšire,doxtar-e-amu,doxtar-e-xãle,doxtar-e-dãi,doxtar-e-amu,pesar-e-dãi,hæmšire,doxtar-e-xãle,[uka],mɑdær,amme,[æmme],pedær,xãle,pedær,dãi,amme,dãi,amme,[xɑl],[xɑl],mɑdær,amu,xãle,dãi,amu,amu,[xɑle],[æmm],amme,xãle,[æmm],[æmme],[xɑle],dãi,xãle
7,0.5786509777224349,2.260825362590453,1.682174384868018,[dɑdɑš],pesar-e-dãi,doxtar-e-xãle,pesar-e-amu,doxtar-e-amu,[dɑdɑš],pesar-e-dãi,doxtar-e-amme,doxtar-e-amme,pesar-e-amu,pesar-e-amu,pesar-e-amme,pesar-e-xãle,pesar-e-xãle,pesar-e-dãi,pesar-e-amu,pesar-e-amme,pesar-e-xãle,doxtar-e-amme,doxtar-e-amu,pesar-e-amu,doxtar-e-xãle,doxtar-e-xãle,pesar-e-amu,doxtar-e-dãi,doxtar-e-amme,[dɑdɑš],pesar-e-amme,pesar-e-xãle,apa,doxtar-e-xãle,pesar-e-amme,doxtar-e-dãi,doxtar-e-dãi,hæmšire,doxtar-e-amme,doxtar-e-amu,doxtar-e-amme,pesar-e-xãle,pesar-e-dãi,pesar-e-amu,pesar-e-xãle,pesar-e-xãle,doxtar-e-dãi,doxtar-e-amu,doxtar-e-xãle,doxtar-e-dãi,pesar-e-dãi,doxtar-e-amu,doxtar-e-xãle,doxtar-e-dãi,doxtar-e-amu,pesar-e-amu,pesar-e-amme,doxtar-e-amme,pesar-e-amu,doxtar-e-xãle,[uka],pesar-e-dãi,pesar-e-amu,pesar-e-dãi,doxtar-e-dãi,pesar-e-dãi,[dɑdɑš],hæmšire,hæmšire,pesar-e-amme,doxtar-e-dãi,doxtar-e-amme,[uka],doxtar-e-amu,doxtar-e-amu,doxtar-e-amme,doxtar-e-xãle,doxtar-e-dãi,doxtar-e-xãle,pesar-e-amme,pesar-e-amme,pesar-e-xãle,doxtar-e-amme,doxtar-e-xãle,pesar-e-amme,pesar-e-amme,hæmšire,pesar-e-xãle,doxtar-e-amu,doxtar-e-dãi,apa,pesar-e-dãi,pesar-e-dãi,xãle,xãle,dãi,xãle,[xɑle],dãi,mɑdær,[æmme],amme,amme,xãle,[xɑl],amu,[æmm],[æmme],pedær,dãi,pedær,[æmm],dãi,amu,amme,amu,[xɑl],amme,mɑdær,[xɑle]
8,0.6093121726477164,2.275332968552119,1.6660207959044027,pesar-e-amme,pesar-e-xãle,hæmšire,doxtar-e-xãle,[uka],pesar-e-amu,pesar-e-amu,doxtar-e-xãle,pesar-e-amu,pesar-e-xãle,hæmšire,doxtar-e-amu,pesar-e-dãi,pesar-e-dãi,pesar-e-amme,pesar-e-dãi,doxtar-e-amu,doxtar-e-amme,doxtar-e-xãle,doxtar-e-dãi,pesar-e-dãi,doxtar-e-amu,doxtar-e-dãi,doxtar-e-amme,pesar-e-xãle,hæmšire,doxtar-e-amu,doxtar-e-amme,hæmšire,pesar-e-amu,pesar-e-dãi,pesar-e-amu,doxtar-e-dãi,pesar-e-xãle,pesar-e-amme,doxtar-e-xãle,pesar-e-dãi,doxtar-e-dãi,pesar-e-amu,pesar-e-xãle,doxtar-e-dãi,pesar-e-dãi,apa,[dɑdɑš],[uka],pesar-e-amme,doxtar-e-amme,pesar-e-dãi,apa,doxtar-e-amme,doxtar-e-amu,pesar-e-xãle,pesar-e-amme,[dɑdɑš],pesar-e-amme,doxtar-e-xãle,pesar-e-dãi,doxtar-e-dãi,pesar-e-xãle,pesar-e-amu,doxtar-e-xãle,doxtar-e-xãle,doxtar-e-amme,doxtar-e-amme,doxtar-e-dãi,doxtar-e-amu,doxtar-e-amu,pesar-e-dãi,doxtar-e-amu,pesar-e-amu,pesar-e-xãle,pesar-e-amme,pesar-e-amu,pesar-e-amme,[dɑdɑš],doxtar-e-amme,doxtar-e-amme,doxtar-e-xãle,doxtar-e-xãle,pesar-e-amu,doxtar-e-xãle,doxtar-e-dãi,[dɑdɑš],pesar-e-amme,doxtar-e-dãi,doxtar-e-amu,doxtar-e-dãi,pesar-e-xãle,pesar-e-amme,doxtar-e-amme,xãle,[æmm],amu,dãi,amme,mɑdær,amme,[xɑle],amme,xãle,[xɑl],amme,xãle,dãi,dãi,[æmm],mɑdær,xãle,amu,pedær,[æmme],[xɑl],amu,[xɑle],[æmme],pedær,dãi
9,0.5742673881216167,2.2762642027514164,1.7019968146297997,pesar-e-amu,doxtar-e-xãle,pesar-e-dãi,pesar-e-dãi,doxtar-e-amu,pesar-e-amme,doxtar-e-amme,pesar-e-xãle,pesar-e-xãle,pesar-e-dãi,pesar-e-amme,doxtar-e-amme,doxtar-e-xãle,pesar-e-dãi,[dɑdɑš],pesar-e-xãle,doxtar-e-xãle,doxtar-e-xãle,doxtar-e-amu,doxtar-e-amu,doxtar-e-amu,doxtar-e-amu,pesar-e-xãle,pesar-e-amme,doxtar-e-amu,doxtar-e-dãi,pesar-e-dãi,doxtar-e-amme,doxtar-e-dãi,pesar-e-amme,doxtar-e-amu,pesar-e-amme,doxtar-e-xãle,pesar-e-amu,pesar-e-xãle,doxtar-e-amu,doxtar-e-amme,pesar-e-amu,doxtar-e-xãle,doxtar-e-xãle,doxtar-e-dãi,pesar-e-amu,[dɑdɑš],doxtar-e-dãi,pesar-e-amme,doxtar-e-amu,pesar-e-amme,[uka],doxtar-e-amme,hæmšire,pesar-e-dãi,pesar-e-dãi,pesar-e-dãi,doxtar-e-amme,pesar-e-xãle,pesar-e-amme,apa,pesar-e-amu,pesar-e-amme,doxtar-e-dãi,pesar-e-xãle,doxtar-e-xãle,doxtar-e-dãi,doxtar-e-amme,doxtar-e-dãi,pesar-e-xãle,apa,pesar-e-amu,hæmšire,doxtar-e-xãle,doxtar-e-dãi,doxtar-e-dãi,doxtar-e-dãi,doxtar-e-amme,pesar-e-amu,pesar-e-xãle,pesar-e-dãi,[dɑdɑš],pesar-e-amu,hæmšire,doxtar-e-xãle,hæmšire,pesar-e-amme,doxtar-e-amme,pesar-e-amu,doxtar-e-amme,pesar-e-dãi,pesar-e-amu,[dɑdɑš],[uka],xãle,amme,dãi,dãi,xãle,dãi,[xɑle],amme,amme,dãi,amu,[æmme],[æmm],xãle,[æmm],amme,xãle,amu,[æmme],[xɑl],mɑdær,amu,pedær,mɑdær,[xɑl],[xɑle],pedær
