simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,fB,fZ,feB,fyB,feZ,fyZ,mF,mM,mFZ,mMB,mFeZ,mFyZ,mMeB,mMyB,fF,fM,fFZ,fMB,fFeZ,fFyZ,fMeB,fMyB
0,0.5343822308972674,0.9502705392332347,0.4158883083359672,laandan,panpan,laandan,tati,tati,baangain,panthan,panpan,thithith,baangain,thithith,panthan,paapa,paapa,ngan,kankan,ngan,kankan,kankan,maama,maama,kankan,ngan,kankan,ngan,kankan,ngan,ngan
1,0.24102870826040634,1.0296530140645737,0.7886243058041673,panthan,thithith,laandan,baangain,baangain,tati,panthan,laandan,panpan,panpan,tati,thithith,paapa,maama,kankan,kankan,kankan,ngan,maama,kankan,paapa,ngan,ngan,kankan,ngan,kankan,ngan,ngan
2,0.24102870826040645,1.0296530140645737,0.7886243058041672,laandan,thithith,panpan,tati,baangain,baangain,panpan,panthan,laandan,thithith,panthan,tati,paapa,kankan,ngan,maama,kankan,maama,ngan,kankan,kankan,ngan,ngan,kankan,ngan,ngan,paapa,kankan
3,0.4389051056530456,0.6730116670092565,0.23410656135621094,panpan,thithith,tati,baangain,panthan,tati,panpan,baangain,panthan,thithith,laandan,laandan,kankan,kankan,kankan,kankan,ngan,ngan,maama,paapa,ngan,ngan,paapa,kankan,maama,ngan,kankan,ngan
4,0.10239927214841726,1.0296530140645737,0.9272537419161564,panthan,tati,laandan,panpan,baangain,thithith,thithith,laandan,panthan,tati,baangain,panpan,kankan,paapa,ngan,ngan,kankan,ngan,kankan,kankan,maama,kankan,kankan,ngan,maama,paapa,ngan,ngan
5,0.1717139902044118,1.0296530140645737,0.8579390238601619,tati,panthan,laandan,tati,thithith,baangain,baangain,panpan,thithith,panpan,panthan,laandan,ngan,kankan,ngan,ngan,ngan,maama,ngan,kankan,maama,ngan,kankan,kankan,paapa,kankan,paapa,kankan
6,0.5343822308972674,0.6730116670092565,0.13862943611198905,laandan,panthan,thithith,panthan,laandan,panpan,thithith,tati,baangain,panpan,tati,baangain,paapa,paapa,kankan,ngan,kankan,ngan,kankan,kankan,ngan,ngan,ngan,maama,ngan,kankan,kankan,maama
7,0.39575279478527847,0.9502705392332347,0.5545177444479562,panpan,panpan,laandan,thithith,tati,thithith,baangain,baangain,panthan,tati,panthan,laandan,kankan,kankan,ngan,paapa,kankan,ngan,kankan,ngan,ngan,paapa,kankan,maama,ngan,ngan,maama,kankan
8,0.0675242115226809,0.5004024235381879,0.43287821201550697,panthan,tati,panpan,laandan,thithith,baangain,laandan,panthan,thithith,tati,panpan,baangain,ngan,ngan,maama,kankan,kankan,ngan,ngan,kankan,ngan,kankan,paapa,kankan,kankan,maama,paapa,ngan
9,0.5775345417650346,0.9502705392332347,0.3727359974682,panthan,tati,panthan,thithith,thithith,panpan,baangain,panpan,laandan,baangain,laandan,tati,ngan,ngan,kankan,ngan,kankan,kankan,ngan,kankan,kankan,paapa,paapa,kankan,ngan,maama,maama,ngan
