simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.24243302655595822,1.0346012329101812,0.792168206354223,opadi,itamu,amatiki,opadi,amatiki,upunua,itamu,imotiki,unatona,imota,unatona,imotiki,"arara, araiki","okota, arara",inata,"ununu, oinona","ununu, oinona",imota,evad'a,"okota, arara",inata,ivetiki,okota,evad'a,okota,ivetiki,"arara, araiki"
1,0.6829081047004719,1.376055285260417,0.6931471805599452,itamu,amatiki,opadi,itamu,upunua,opadi,amatiki,ivetiki,inata,evad'a,"arara, araiki",imota,"ununu, oinona","okota, arara",unatona,inata,imota,"ununu, oinona","okota, arara",ivetiki,"arara, araiki",evad'a,unatona,imotiki,imotiki,okota,okota
2,0.08878194993480482,1.376055285260417,1.2872733353256123,itamu,itamu,upunua,amatiki,opadi,opadi,amatiki,unatona,"okota, arara",evad'a,okota,inata,inata,"arara, araiki",imotiki,"ununu, oinona",ivetiki,"ununu, oinona","arara, araiki","okota, arara",imota,imotiki,okota,evad'a,unatona,imota,ivetiki
3,0.08878194993480482,1.376055285260417,1.2872733353256123,opadi,opadi,amatiki,amatiki,itamu,itamu,upunua,inata,"ununu, oinona",unatona,okota,imota,ivetiki,"okota, arara",imotiki,"arara, araiki",unatona,evad'a,inata,ivetiki,evad'a,"ununu, oinona","okota, arara",okota,imotiki,imota,"arara, araiki"
4,0.6829081047004719,1.376055285260417,0.6931471805599452,amatiki,opadi,itamu,amatiki,upunua,itamu,opadi,evad'a,unatona,imotiki,inata,"okota, arara",imota,"arara, araiki",imotiki,"ununu, oinona","arara, araiki",inata,evad'a,okota,ivetiki,okota,ivetiki,unatona,"ununu, oinona","okota, arara",imota
5,0.4848660531119162,1.376055285260417,0.8911892321485009,amatiki,opadi,itamu,itamu,amatiki,opadi,upunua,imotiki,"okota, arara",evad'a,okota,inata,"okota, arara",imotiki,"arara, araiki",imota,inata,"ununu, oinona",unatona,ivetiki,evad'a,"ununu, oinona","arara, araiki",okota,ivetiki,unatona,imota
6,0.6829081047004719,1.376055285260417,0.6931471805599452,amatiki,opadi,itamu,amatiki,upunua,itamu,opadi,unatona,inata,imota,"ununu, oinona","arara, araiki",okota,"arara, araiki",okota,ivetiki,ivetiki,imotiki,evad'a,imotiki,evad'a,imota,unatona,"okota, arara","okota, arara",inata,"ununu, oinona"
7,0.2868240015233605,1.376055285260417,1.0892312837370566,amatiki,itamu,itamu,opadi,upunua,amatiki,opadi,evad'a,inata,"arara, araiki",unatona,ivetiki,inata,"okota, arara",imota,imota,okota,"arara, araiki",imotiki,okota,unatona,imotiki,ivetiki,"okota, arara","ununu, oinona",evad'a,"ununu, oinona"
8,0.2868240015233605,1.376055285260417,1.0892312837370566,itamu,opadi,opadi,upunua,amatiki,itamu,amatiki,inata,okota,"arara, araiki","ununu, oinona",imota,inata,unatona,unatona,imota,evad'a,"arara, araiki",evad'a,imotiki,"ununu, oinona",ivetiki,"okota, arara",okota,ivetiki,"okota, arara",imotiki
9,0.2868240015233605,1.376055285260417,1.0892312837370566,upunua,opadi,opadi,itamu,amatiki,itamu,amatiki,"okota, arara","ununu, oinona",ivetiki,evad'a,"arara, araiki","okota, arara",inata,unatona,ivetiki,evad'a,imotiki,"arara, araiki","ununu, oinona",imotiki,imota,okota,unatona,okota,imota,inata
