simulation_number,mutual_information,entropy,conditional_entropy,myZ,mFZD,mMBD,mFZS,mMBS,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fyB,fyZ,fFZD,fMBD,fFZS,fMBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,meB,meZ,feB,feZ,myB,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.1853587005629116,1.5627590833610931,1.3774003827981816,ngathadi,kami,kami,kami,kami,kami,kami,nhipa,kaku,kami,nhipa,nhipa,kami,nhipa,nhipa,kami,kami,kami,nguthu,kami,kami,nhipa,ngathadi,nhipa,kami,kami,kami,kami,kami,kami,kami,kaku,nguthu,kami,kami,kami,kami,kami,kami,nhipa,nhipa,kami,kami,ngathadi,ngathadi,nhipa,kami,kami,parli,yipi,ngama,ngarndri,yipi,ngama,parli,ngapiri,ngama,yipi,ngapiri,parli,ngapiri,parli,ngapiri,yipi,ngapiri,parli,ngama,yipi,ngama,ngapiri,ngapiri,ngapiri,parli,ngama,ngarndri,yipi
1,0.259375468320195,1.471596856577507,1.212221388257312,nguthu,ngathadi,kami,ngathadi,kami,nhipa,nhipa,kami,kami,nhipa,nhipa,ngathadi,kaku,kami,kami,kaku,kami,kami,nhipa,nhipa,kami,nhipa,nhipa,kami,kami,kami,kami,kami,kami,kami,kami,nhipa,kami,kami,kami,kami,kami,kami,ngathadi,nhipa,kami,kami,nguthu,kami,kami,kami,kami,kami,ngarndri,parli,ngapiri,ngapiri,parli,yipi,ngama,yipi,yipi,ngama,yipi,ngapiri,yipi,ngapiri,yipi,ngapiri,parli,parli,parli,ngapiri,ngama,ngarndri,ngama,ngama,ngapiri,ngama,ngapiri,parli
2,0.11536348050141632,1.2952643651470974,1.179900884645681,ngathadi,kami,kami,kami,kami,nhipa,kami,kami,kami,nhipa,nhipa,nhipa,kami,kami,kami,kami,nhipa,kami,kami,kami,nguthu,kami,nhipa,kami,kami,kami,kami,nguthu,kami,kami,ngathadi,nhipa,kami,kami,kaku,kami,ngathadi,nhipa,nhipa,kami,nhipa,kaku,ngathadi,kami,kami,kami,kami,kami,parli,yipi,parli,ngama,ngapiri,ngama,ngapiri,ngapiri,yipi,ngama,ngama,ngarndri,yipi,parli,yipi,ngama,ngapiri,parli,yipi,ngapiri,ngapiri,ngarndri,yipi,ngama,ngapiri,ngapiri,parli,parli
3,0.16971315571784062,1.3483812076420727,1.178668051924232,kaku,nhipa,kaku,kami,kami,kami,kami,ngathadi,kami,kami,kami,nhipa,ngathadi,kami,nguthu,nhipa,ngathadi,kami,kami,kami,nhipa,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,nhipa,nhipa,kami,kami,nhipa,kami,kami,kami,nhipa,kami,ngathadi,kami,nhipa,nhipa,nguthu,kami,kami,parli,parli,parli,yipi,parli,ngapiri,yipi,ngapiri,ngama,yipi,ngapiri,parli,ngapiri,ngama,parli,ngapiri,ngama,ngama,ngapiri,yipi,ngarndri,ngarndri,ngapiri,ngapiri,yipi,yipi,ngama,ngama
4,0.27071043627740643,1.5406474068338498,1.2699369705564434,kami,ngathadi,kami,kami,kami,kami,nhipa,nguthu,nhipa,kami,kami,kaku,kami,nhipa,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,kaku,nhipa,nhipa,kami,ngathadi,nhipa,kami,kami,kami,nhipa,kami,kami,kami,kami,kami,kami,ngathadi,nhipa,nhipa,nguthu,kami,ngathadi,nhipa,kami,ngapiri,ngapiri,ngapiri,ngama,ngapiri,ngapiri,parli,yipi,ngama,yipi,ngama,ngama,ngapiri,parli,yipi,parli,ngapiri,parli,ngarndri,parli,parli,yipi,yipi,ngama,ngama,ngarndri,ngapiri,yipi
5,0.23548596500156038,1.4840036764475275,1.2485177114459671,kami,kaku,kami,kami,nhipa,kami,kami,kami,kami,kami,nhipa,kami,kami,kami,kami,kami,nhipa,kami,kami,kami,ngathadi,kami,kami,nhipa,kaku,kami,kami,ngathadi,kami,kami,nhipa,nhipa,kami,nhipa,kami,kami,ngathadi,ngathadi,nhipa,kami,kami,kami,kami,nhipa,kami,nguthu,nguthu,nhipa,parli,ngapiri,ngapiri,yipi,yipi,yipi,yipi,ngapiri,ngama,ngapiri,parli,parli,parli,ngama,parli,ngapiri,ngama,ngapiri,ngama,ngarndri,yipi,ngapiri,ngapiri,ngama,yipi,parli,ngarndri,ngama
6,0.19568803248691058,1.4758748104470194,1.2801867779601088,kami,kaku,kami,kami,nhipa,kami,kami,nhipa,kami,kami,kami,kami,kami,nguthu,kami,kami,kami,kami,ngathadi,kami,kami,nhipa,nhipa,kami,nhipa,kami,nhipa,kami,kami,kami,ngathadi,kami,kami,ngathadi,nhipa,ngathadi,nguthu,kami,nhipa,kami,kami,kami,nhipa,kami,kaku,kami,nhipa,kami,ngama,yipi,ngama,ngapiri,yipi,yipi,parli,ngapiri,ngapiri,parli,yipi,ngama,parli,ngama,ngama,ngapiri,ngapiri,yipi,ngama,parli,ngapiri,ngapiri,parli,yipi,parli,ngarndri,ngapiri,ngarndri
7,0.1658171239659827,1.527547872961286,1.3617307489953032,kami,kami,kami,nhipa,kami,kaku,nhipa,nguthu,nhipa,kami,nhipa,kami,kami,kami,kami,kami,ngathadi,kaku,nguthu,ngathadi,kami,kami,kami,kami,kami,nhipa,kami,kami,kami,ngathadi,kami,kami,nhipa,nhipa,kami,kami,kami,kami,nhipa,kami,nhipa,kami,kami,ngathadi,nhipa,kami,kami,kami,ngarndri,ngapiri,ngama,yipi,parli,ngama,yipi,ngapiri,parli,parli,yipi,ngapiri,ngapiri,ngapiri,parli,parli,yipi,ngama,ngapiri,ngapiri,ngama,yipi,ngama,ngapiri,parli,ngama,ngarndri,yipi
8,0.329472668884079,1.4968298877419086,1.1673572188578296,nhipa,kami,kami,kami,ngathadi,kami,kami,kami,kami,kami,nhipa,kami,kaku,kami,kami,kami,nhipa,nhipa,nhipa,kami,nhipa,kami,kami,nguthu,kami,nguthu,kami,ngathadi,kami,kami,kami,nhipa,nhipa,nhipa,kami,kami,kami,kaku,nhipa,ngathadi,kami,kami,ngathadi,kami,kami,kami,kami,kami,ngapiri,ngapiri,ngarndri,parli,yipi,parli,ngapiri,parli,parli,ngama,yipi,yipi,ngama,ngapiri,ngapiri,ngama,yipi,yipi,ngama,ngama,parli,ngama,ngarndri,parli,ngapiri,ngapiri,yipi,ngapiri
9,0.20577764030551537,1.518469027655959,1.3126913873504436,kami,nhipa,ngathadi,nhipa,kami,kami,kami,nhipa,kami,kami,kami,kami,kami,kami,kami,nhipa,kami,ngathadi,nhipa,kami,kaku,nhipa,nhipa,kami,kami,ngathadi,kami,kami,kaku,kami,kami,kami,kami,kami,ngathadi,kami,nguthu,kami,kami,nhipa,kami,nguthu,kami,kami,kami,nhipa,nhipa,kami,ngarndri,ngama,yipi,yipi,yipi,parli,yipi,ngama,ngapiri,parli,parli,parli,ngapiri,ngama,ngapiri,ngama,yipi,ngapiri,parli,ngarndri,ngama,ngapiri,ngapiri,parli,ngapiri,yipi,ngama,ngapiri
