simulation_number,mutual_information,entropy,conditional_entropy,myB,myZ,fB,fyB,fyZ,mFZD,mMBD,mFZS,mMBS,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fFZD,fMBD,fFZS,fMBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,meB,meZ,feB,feZ,mF,mM,mFZ,mFeB,mFyB,mMeZ,mMyZ,mFeZ,mFyZ,fF,fM,fFZ,fFeB,fFyB,fMeZ,fMyZ,fFeZ,fFyZ,mMB,mMeB,mMyB,fMB,fMeB,fMyB
0,0.22293665906052706,1.8721234194654368,1.6491867604049097,kami,kami,ngadara,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,ngadara,kami,kami,kami,sthuttari,kami,kami,sthuttari,kami,kami,kami,kami,kami,kami,kami,sthuju,kami,kami,kami,kami,kami,nhuyu,kami,kami,kami,kami,kami,kami,sthuju,ngadara,kami,kami,ngadara,kami,kami,kami,kaka,kaka,ngandi pina,ngapiri pina,kaka,papa,ngandi pina,ngapiri gulawarda,papa,sthandri,kaka,kaka,ngandi gulawarda,papa,ngapiri,papa,papa,kaka,sthandri,papa,ngandi gulawarda,ngapiri,ngapiri gulawarda,ngapiri pina
1,0.21689357965300782,1.8383966726579002,1.6215030930048924,kami,kami,kami,kami,kami,kami,kami,sthuttari,kami,kami,kami,ngadara,kami,kami,kami,kami,kami,kami,sthuttari,kami,kami,kami,ngadara,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,sthuju,sthuju,ngadara,kami,ngadara,kami,kami,kami,kami,kami,kami,kami,nhuyu,kaka,sthandri,kaka,kaka,ngapiri pina,papa,papa,kaka,kaka,ngandi pina,ngapiri gulawarda,sthandri,papa,papa,ngapiri pina,ngandi gulawarda,ngandi pina,papa,ngapiri gulawarda,kaka,ngapiri,ngandi gulawarda,ngapiri,papa
2,0.11522367495203745,1.7206419235697956,1.6054182486177582,kami,kami,kami,kami,kami,kami,kami,kami,kami,sthuttari,kami,ngadara,kami,kami,sthuju,kami,ngadara,kami,kami,kami,kami,ngadara,kami,kami,kami,kami,kami,sthuju,kami,kami,kami,kami,kami,kami,kami,kami,kami,nhuyu,kami,kami,kami,kami,kami,kami,kami,kami,ngadara,sthuttari,kami,papa,ngapiri gulawarda,kaka,ngapiri pina,kaka,ngandi gulawarda,sthandri,kaka,papa,papa,ngandi pina,papa,ngandi pina,papa,sthandri,kaka,kaka,papa,ngapiri gulawarda,ngandi gulawarda,ngapiri,ngapiri,ngapiri pina,kaka
3,0.21737426018357753,1.8912610076435714,1.6738867474599939,kami,ngadara,sthuttari,kami,kami,kami,sthuttari,kami,kami,kami,ngadara,kami,kami,kami,kami,sthuju,kami,kami,kami,kami,kami,kami,ngadara,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,ngadara,kami,kami,kami,kami,kami,kami,kami,kami,nhuyu,kami,sthuju,kami,kami,ngapiri pina,sthandri,ngandi pina,ngapiri gulawarda,ngandi gulawarda,papa,papa,kaka,papa,ngapiri gulawarda,kaka,sthandri,ngandi gulawarda,kaka,kaka,kaka,kaka,ngandi pina,ngapiri,papa,papa,papa,ngapiri pina,ngapiri
4,0.18586969932498376,1.6955241292818475,1.5096544299568637,ngadara,sthuttari,kami,ngadara,kami,kami,kami,kami,kami,sthuju,kami,kami,kami,nhuyu,kami,kami,kami,kami,kami,kami,sthuttari,kami,ngadara,kami,kami,kami,kami,sthuju,kami,kami,ngadara,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,ngapiri gulawarda,kaka,sthandri,ngandi gulawarda,sthandri,kaka,papa,papa,kaka,kaka,kaka,kaka,ngapiri,ngapiri gulawarda,ngandi pina,ngapiri,papa,ngandi pina,ngapiri pina,papa,papa,papa,ngandi gulawarda,ngapiri pina
5,0.2358659506575853,1.942898926032809,1.7070329753752236,sthuju,sthuttari,kami,ngadara,kami,kami,kami,nhuyu,kami,sthuttari,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,ngadara,kami,ngadara,sthuju,kami,kami,kami,kami,kami,kami,kami,ngadara,kami,kami,kaka,ngapiri pina,ngapiri,papa,kaka,sthandri,ngandi pina,papa,papa,papa,sthandri,kaka,ngapiri,kaka,ngapiri gulawarda,kaka,papa,ngapiri pina,ngandi gulawarda,ngandi gulawarda,kaka,ngandi pina,ngapiri gulawarda,papa
6,0.31457941058908845,1.919224488731638,1.6046450781425496,kami,kami,kami,sthuju,kami,kami,kami,kami,kami,kami,kami,kami,sthuttari,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,sthuttari,kami,nhuyu,sthuju,kami,kami,ngadara,kami,kami,kami,kami,kami,kami,kami,ngadara,kami,kami,ngadara,kami,kami,kami,kami,kami,kami,ngadara,kami,kaka,kaka,kaka,ngandi pina,sthandri,papa,ngapiri pina,ngapiri,ngapiri,ngapiri gulawarda,ngandi gulawarda,ngandi pina,papa,kaka,kaka,papa,ngandi gulawarda,ngapiri pina,papa,kaka,papa,ngapiri gulawarda,papa,sthandri
7,0.18851111080761807,1.8926984815819414,1.7041873707743234,sthuttari,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,nhuyu,kami,ngadara,kami,kami,kami,kami,kami,ngadara,sthuttari,kami,ngadara,kami,kami,kami,kami,kami,kami,kami,kami,kami,ngadara,kami,sthuju,kami,kami,kami,sthuju,kami,kami,kami,kami,kaka,sthandri,ngandi pina,kaka,ngapiri pina,kaka,papa,ngapiri,ngapiri gulawarda,kaka,ngandi gulawarda,papa,sthandri,papa,ngandi gulawarda,ngandi pina,kaka,kaka,ngapiri,ngapiri pina,ngapiri gulawarda,papa,papa,papa
8,0.2690671251068637,2.0465713923380155,1.7775042672311518,kami,sthuju,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,sthuju,kami,sthuttari,sthuttari,kami,kami,kami,kami,kami,kami,kami,kami,kami,ngadara,kami,kami,kami,kami,ngadara,kami,kami,kami,kami,kami,ngadara,kami,kami,kami,ngadara,nhuyu,kami,ngapiri,ngapiri pina,ngandi pina,papa,papa,kaka,papa,papa,ngapiri gulawarda,kaka,sthandri,ngapiri pina,sthandri,kaka,kaka,papa,ngandi pina,kaka,papa,ngandi gulawarda,ngandi gulawarda,ngapiri gulawarda,kaka,ngapiri
9,0.21120632542220563,1.8542558262384274,1.6430495008162218,kami,kami,kami,kami,kami,kami,kami,kami,ngadara,kami,kami,kami,kami,sthuttari,kami,kami,ngadara,kami,kami,kami,kami,nhuyu,sthuttari,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,kami,sthuju,kami,kami,kami,kami,kami,ngadara,ngadara,kami,kami,kami,sthuju,kami,kami,ngandi gulawarda,papa,papa,ngapiri,ngapiri gulawarda,papa,ngapiri gulawarda,ngapiri,papa,kaka,sthandri,ngapiri pina,kaka,papa,kaka,papa,kaka,ngandi pina,ngandi pina,ngapiri pina,ngandi gulawarda,kaka,kaka,sthandri
