simulation_number,mutual_information,entropy,conditional_entropy,myB,meZ,feB,fyB,feZ,mF,mM,mFZ,mFeB,mFyB,mMeZ,mMeB,mFeZ,mFyZ,fF,fM,fFZ,fFeB,fFyB,fMeZ,fMeB,fFeZ,fFyZ
0,0.2387630719609255,1.3730039128771996,1.134240840916274,beramkka,temmi,temmi,anna,beramkka,menamama,aava,nanno,sowdamma,amma,amma,sowdamma,nanno,sowdamma,beddava,sowdamma,beddava,beddamma,menamama,beddamma,aava,sowdamma,sowdamma
1,0.23876307196092572,1.3730039128771998,1.134240840916274,beramkka,temmi,anna,temmi,beramkka,beddamma,nanno,nanno,menamama,sowdamma,sowdamma,beddamma,aava,beddava,amma,sowdamma,aava,sowdamma,beddava,sowdamma,menamama,sowdamma,amma
2,0.3109289581712338,1.0670895187820832,0.7561605606108495,anna,temmi,beramkka,beramkka,temmi,sowdamma,aava,beddava,nanno,sowdamma,amma,beddamma,sowdamma,menamama,aava,beddava,sowdamma,menamama,amma,nanno,sowdamma,sowdamma,beddamma
3,0.3109289581712338,1.0670895187820832,0.7561605606108495,anna,temmi,beramkka,temmi,beramkka,beddava,sowdamma,nanno,sowdamma,menamama,nanno,sowdamma,beddamma,beddava,aava,sowdamma,amma,sowdamma,aava,beddamma,amma,sowdamma,menamama
4,0.2387630719609256,0.9949236325717751,0.7561605606108495,beramkka,anna,beramkka,temmi,temmi,amma,nanno,aava,nanno,beddamma,menamama,sowdamma,sowdamma,aava,sowdamma,amma,beddava,menamama,sowdamma,sowdamma,beddava,sowdamma,beddamma
5,0.3109289581712338,1.0670895187820832,0.7561605606108495,anna,temmi,beramkka,temmi,beramkka,beddamma,sowdamma,menamama,nanno,beddava,beddamma,nanno,sowdamma,aava,sowdamma,beddava,sowdamma,sowdamma,amma,amma,menamama,aava,sowdamma
6,0.3109289581712338,1.0670895187820832,0.7561605606108495,beramkka,anna,temmi,temmi,beramkka,nanno,aava,sowdamma,beddava,sowdamma,beddava,sowdamma,sowdamma,nanno,amma,aava,menamama,menamama,amma,sowdamma,beddamma,sowdamma,beddamma
7,0.4908165921645419,1.3730039128771996,0.8821873207126577,anna,beramkka,temmi,beramkka,temmi,menamama,sowdamma,beddamma,aava,beddamma,sowdamma,nanno,sowdamma,amma,beddava,aava,beddava,sowdamma,menamama,nanno,amma,sowdamma,sowdamma
8,0.23876307196092572,0.9949236325717752,0.7561605606108495,temmi,anna,temmi,beramkka,beramkka,sowdamma,amma,sowdamma,nanno,amma,aava,sowdamma,nanno,menamama,sowdamma,beddava,beddamma,sowdamma,menamama,beddamma,beddava,aava,sowdamma
9,0.23876307196092572,0.9949236325717752,0.7561605606108495,temmi,beramkka,temmi,anna,beramkka,menamama,nanno,sowdamma,amma,amma,sowdamma,aava,beddava,nanno,sowdamma,sowdamma,beddamma,menamama,sowdamma,beddamma,aava,sowdamma,beddava
