simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,mFZD,mMBD,mFZS,mMBS,meZ,myZ,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fB,fZ,feB,fyB,fFZD,fMBD,fFZS,fMBS,feZ,fyZ,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.13649363515447943,1.2776854646248703,1.1411918294703909,manka,manka,manka,manka,manka,manka,manka,yapa,manka,manka,manka,manka,manka,manka,manka,manka,nganytyakuman,yapa,manka,yapatyipa,tyangkul,manka,manka,manka,manka,tyangkul,tyangkul,manka,manka,manka,manka,manka,tyangkul,manka,nganytyakuman,manka,manka,manka,manka,manka,manka,tyangkul,manka,manka,yapatyipa,manka,manka,tyangkul,manka,manka,manka,manka,kalnga,ngalpu,ngalpu,kalnga,ngalpu,ngalpu,kalnga,tyutyum,ngalpu,pimpi,tyutyum,tyutyum,tyutyum,pimpi,kalnga,pimpi,pimpi,pimpi,ngalpu,pimpi,pimpi,kalnga,pimpi,ngalpu,kalnga,tyutyum,ngalpu,tyutyum
1,0.1408770983709331,1.3225133098168862,1.181636211445953,manka,nganytyakuman,manka,manka,tyangkul,manka,manka,manka,manka,manka,manka,manka,yapatyipa,manka,yapatyipa,manka,manka,manka,manka,manka,manka,yapa,tyangkul,manka,manka,manka,tyangkul,manka,manka,manka,manka,manka,manka,manka,manka,manka,manka,manka,manka,yapa,manka,tyangkul,tyangkul,manka,tyangkul,manka,manka,manka,manka,nganytyakuman,manka,manka,ngalpu,pimpi,kalnga,ngalpu,pimpi,pimpi,ngalpu,kalnga,ngalpu,pimpi,ngalpu,ngalpu,pimpi,tyutyum,tyutyum,kalnga,ngalpu,pimpi,tyutyum,pimpi,ngalpu,tyutyum,kalnga,tyutyum,kalnga,tyutyum,kalnga,pimpi
2,0.1958305516944805,1.3785835412602672,1.1827529895657867,manka,tyangkul,manka,manka,manka,manka,manka,tyangkul,manka,manka,manka,manka,manka,yapa,manka,tyangkul,manka,manka,manka,manka,manka,manka,manka,manka,manka,manka,manka,yapatyipa,manka,manka,manka,manka,nganytyakuman,manka,manka,manka,manka,yapa,yapatyipa,manka,nganytyakuman,manka,tyangkul,manka,tyangkul,manka,manka,manka,manka,tyangkul,manka,manka,tyutyum,pimpi,pimpi,ngalpu,kalnga,ngalpu,ngalpu,kalnga,ngalpu,tyutyum,ngalpu,kalnga,tyutyum,kalnga,pimpi,pimpi,pimpi,ngalpu,pimpi,ngalpu,tyutyum,ngalpu,tyutyum,kalnga,pimpi,pimpi,kalnga,tyutyum
3,0.07080991947716408,1.2930800930662312,1.222270173589067,manka,tyangkul,manka,manka,manka,manka,manka,tyangkul,manka,manka,manka,manka,manka,manka,tyangkul,nganytyakuman,manka,manka,manka,yapatyipa,tyangkul,manka,manka,manka,manka,manka,manka,manka,manka,manka,tyangkul,yapatyipa,manka,manka,manka,yapa,manka,manka,manka,manka,manka,manka,yapa,manka,tyangkul,manka,manka,manka,nganytyakuman,manka,manka,manka,ngalpu,kalnga,ngalpu,pimpi,ngalpu,pimpi,tyutyum,tyutyum,kalnga,kalnga,ngalpu,pimpi,tyutyum,kalnga,tyutyum,pimpi,kalnga,ngalpu,ngalpu,ngalpu,tyutyum,pimpi,pimpi,pimpi,tyutyum,pimpi,ngalpu,kalnga
4,0.08276326895303265,1.3845632581770635,1.3017999892240308,tyangkul,manka,manka,manka,manka,manka,tyangkul,manka,manka,manka,manka,manka,manka,manka,manka,manka,tyangkul,nganytyakuman,manka,manka,manka,manka,yapatyipa,manka,manka,tyangkul,manka,manka,nganytyakuman,manka,manka,manka,yapatyipa,tyangkul,yapa,manka,manka,manka,manka,manka,manka,manka,manka,manka,manka,yapa,manka,tyangkul,manka,manka,manka,manka,tyutyum,kalnga,tyutyum,pimpi,tyutyum,ngalpu,ngalpu,ngalpu,tyutyum,kalnga,ngalpu,pimpi,pimpi,ngalpu,kalnga,pimpi,pimpi,ngalpu,ngalpu,pimpi,kalnga,tyutyum,pimpi,tyutyum,pimpi,kalnga,kalnga,ngalpu
5,0.1251774008848614,1.3408461255260735,1.2156687246412121,manka,tyangkul,manka,manka,tyangkul,manka,manka,manka,manka,manka,manka,manka,yapa,manka,manka,manka,manka,manka,manka,manka,manka,manka,manka,tyangkul,manka,yapatyipa,nganytyakuman,manka,manka,tyangkul,tyangkul,nganytyakuman,manka,yapatyipa,manka,manka,manka,manka,manka,manka,manka,manka,manka,manka,yapa,manka,manka,tyangkul,manka,manka,manka,manka,ngalpu,pimpi,ngalpu,ngalpu,tyutyum,ngalpu,pimpi,kalnga,pimpi,tyutyum,pimpi,pimpi,tyutyum,kalnga,pimpi,tyutyum,ngalpu,pimpi,ngalpu,kalnga,tyutyum,ngalpu,tyutyum,kalnga,kalnga,ngalpu,kalnga,pimpi
6,0.10922617209557761,1.2756041994275933,1.1663780273320157,manka,manka,manka,manka,manka,nganytyakuman,manka,manka,yapa,manka,manka,manka,nganytyakuman,manka,manka,tyangkul,manka,manka,manka,yapatyipa,manka,manka,manka,tyangkul,manka,yapa,manka,tyangkul,tyangkul,manka,yapatyipa,manka,manka,manka,manka,manka,manka,manka,manka,manka,manka,manka,manka,tyangkul,manka,manka,tyangkul,manka,manka,manka,manka,manka,kalnga,ngalpu,kalnga,ngalpu,ngalpu,ngalpu,pimpi,ngalpu,pimpi,pimpi,ngalpu,tyutyum,ngalpu,pimpi,pimpi,tyutyum,kalnga,pimpi,kalnga,tyutyum,tyutyum,tyutyum,pimpi,pimpi,kalnga,kalnga,tyutyum,ngalpu
7,0.13861194507729113,1.336360707811704,1.1977487627344128,manka,manka,manka,manka,manka,manka,manka,manka,tyangkul,tyangkul,manka,yapatyipa,manka,nganytyakuman,manka,tyangkul,manka,manka,tyangkul,nganytyakuman,manka,yapa,manka,manka,manka,manka,manka,manka,manka,manka,manka,manka,manka,manka,tyangkul,manka,manka,manka,manka,manka,manka,tyangkul,manka,yapatyipa,manka,manka,manka,manka,manka,yapa,manka,manka,pimpi,tyutyum,tyutyum,ngalpu,kalnga,kalnga,ngalpu,pimpi,ngalpu,kalnga,ngalpu,kalnga,pimpi,tyutyum,pimpi,ngalpu,kalnga,ngalpu,pimpi,tyutyum,ngalpu,pimpi,tyutyum,pimpi,tyutyum,ngalpu,kalnga,pimpi
8,0.1085853629074589,1.1869312827310963,1.0783459198236374,tyangkul,manka,manka,manka,manka,tyangkul,manka,tyangkul,manka,manka,manka,manka,yapa,tyangkul,manka,manka,manka,manka,manka,manka,manka,manka,nganytyakuman,yapa,manka,manka,manka,yapatyipa,manka,manka,manka,manka,manka,manka,manka,manka,yapatyipa,tyangkul,tyangkul,manka,manka,manka,manka,manka,nganytyakuman,manka,manka,manka,manka,manka,manka,manka,pimpi,pimpi,ngalpu,tyutyum,tyutyum,kalnga,tyutyum,ngalpu,tyutyum,pimpi,kalnga,kalnga,pimpi,tyutyum,pimpi,ngalpu,kalnga,pimpi,tyutyum,pimpi,ngalpu,kalnga,ngalpu,kalnga,ngalpu,pimpi,ngalpu,ngalpu
9,0.1607488785088964,1.3623128599222705,1.201563981413374,manka,manka,tyangkul,manka,manka,manka,manka,manka,manka,manka,manka,manka,manka,manka,manka,tyangkul,manka,manka,manka,manka,yapatyipa,tyangkul,manka,manka,manka,yapa,manka,manka,manka,yapa,manka,manka,manka,manka,manka,manka,yapatyipa,manka,tyangkul,manka,manka,nganytyakuman,tyangkul,manka,nganytyakuman,manka,manka,manka,tyangkul,manka,manka,manka,tyutyum,pimpi,ngalpu,pimpi,tyutyum,ngalpu,pimpi,kalnga,ngalpu,ngalpu,kalnga,pimpi,kalnga,kalnga,ngalpu,ngalpu,tyutyum,tyutyum,ngalpu,pimpi,ngalpu,pimpi,pimpi,tyutyum,pimpi,tyutyum,kalnga,kalnga
