simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mMBS,mMBD,fMBS,fMBD,mMeBS,mMyBS,mMeBD,mMyBD,mMBeS,mMByS,mMBeD,mMByD,fMeBS,fMyBS,fMeBD,fMyBD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,fF,fM,mFeZ,mFyZ,mMeB,mMyB,fFeZ,fFyZ,fMeB,fMyB
0,0.16330707543433576,1.543289898246429,1.3799828228120932,minhr-ng,pann,minhr-ng,minhr-ng,warn+ng,minhr-ng,warn+ng,luqan+ng,minhr-ng,warn+ng,minhr-ng,luqan+ng,pann,warn+ng,warn+ng,minhr-ng,minhr-ng,warn+ng,warn+ng,pann,warn+ng,minhr-ng,warn+ng,pann,warn+ng,pulqa,minhr-ng,kal+ng,pi+ng,ngama,pemr,pemr,moqr,ngama,kal+ng,pi+ng,pemr,moqr,pemr
1,0.3850717929019307,1.543289898246429,1.1582181053444982,pann,minhr-ng,minhr-ng,warn+ng,minhr-ng,pulqa,minhr-ng,warn+ng,minhr-ng,warn+ng,minhr-ng,warn+ng,warn+ng,warn+ng,warn+ng,minhr-ng,minhr-ng,warn+ng,pann,luqan+ng,luqan+ng,pann,minhr-ng,minhr-ng,warn+ng,warn+ng,pann,moqr,kal+ng,ngama,pemr,pemr,pi+ng,pi+ng,ngama,moqr,pemr,pemr,kal+ng
2,0.3514856716992223,1.449830560553659,1.0983448888544367,minhr-ng,minhr-ng,luqan+ng,pann,minhr-ng,warn+ng,warn+ng,minhr-ng,warn+ng,warn+ng,warn+ng,warn+ng,pann,pulqa,warn+ng,warn+ng,luqan+ng,pann,minhr-ng,minhr-ng,minhr-ng,warn+ng,warn+ng,minhr-ng,minhr-ng,minhr-ng,pann,pi+ng,ngama,pemr,pemr,kal+ng,pemr,pemr,pi+ng,moqr,ngama,kal+ng,moqr
3,0.16863180382217857,1.3833328565787495,1.214701052756571,luqan+ng,minhr-ng,warn+ng,pann,warn+ng,minhr-ng,warn+ng,warn+ng,pann,minhr-ng,minhr-ng,minhr-ng,minhr-ng,warn+ng,minhr-ng,minhr-ng,warn+ng,pulqa,warn+ng,minhr-ng,warn+ng,pann,minhr-ng,warn+ng,pann,warn+ng,luqan+ng,pi+ng,ngama,ngama,pemr,pemr,moqr,pemr,pi+ng,moqr,pemr,kal+ng,kal+ng
4,0.31324782741734647,1.5671927309211842,1.2539449035038377,warn+ng,pulqa,minhr-ng,minhr-ng,warn+ng,warn+ng,pann,minhr-ng,minhr-ng,warn+ng,minhr-ng,pann,warn+ng,luqan+ng,pann,warn+ng,minhr-ng,minhr-ng,warn+ng,luqan+ng,minhr-ng,warn+ng,pann,minhr-ng,minhr-ng,warn+ng,warn+ng,ngama,moqr,ngama,kal+ng,kal+ng,pemr,moqr,pi+ng,pemr,pemr,pi+ng,pemr
5,0.22985221398177313,1.3820569345794618,1.1522047205976886,pann,warn+ng,minhr-ng,warn+ng,warn+ng,warn+ng,minhr-ng,warn+ng,pulqa,pann,minhr-ng,pann,pann,warn+ng,minhr-ng,warn+ng,warn+ng,minhr-ng,minhr-ng,warn+ng,warn+ng,minhr-ng,minhr-ng,luqan+ng,minhr-ng,minhr-ng,luqan+ng,pemr,pi+ng,pemr,kal+ng,kal+ng,pi+ng,moqr,ngama,ngama,moqr,pemr,pemr
6,0.2570778291823246,1.3174447222200467,1.0603668930377221,warn+ng,warn+ng,warn+ng,minhr-ng,luqan+ng,luqan+ng,pann,warn+ng,minhr-ng,pann,minhr-ng,warn+ng,warn+ng,minhr-ng,warn+ng,warn+ng,minhr-ng,minhr-ng,warn+ng,pann,pulqa,minhr-ng,warn+ng,minhr-ng,pann,minhr-ng,minhr-ng,moqr,pemr,pi+ng,pi+ng,kal+ng,ngama,ngama,moqr,pemr,kal+ng,pemr,pemr
7,0.2331749965075698,1.5671927309211842,1.3340177344136144,warn+ng,minhr-ng,warn+ng,warn+ng,minhr-ng,minhr-ng,warn+ng,warn+ng,warn+ng,warn+ng,minhr-ng,warn+ng,luqan+ng,minhr-ng,pann,pann,minhr-ng,minhr-ng,pulqa,minhr-ng,warn+ng,warn+ng,pann,pann,luqan+ng,minhr-ng,minhr-ng,pi+ng,moqr,pi+ng,pemr,pemr,ngama,kal+ng,kal+ng,pemr,pemr,ngama,moqr
8,0.29049691533465594,1.3083420897637779,1.017845174429122,minhr-ng,minhr-ng,warn+ng,luqan+ng,warn+ng,minhr-ng,warn+ng,minhr-ng,minhr-ng,warn+ng,pann,pulqa,warn+ng,pann,warn+ng,minhr-ng,warn+ng,minhr-ng,pann,minhr-ng,minhr-ng,warn+ng,luqan+ng,pann,warn+ng,warn+ng,minhr-ng,moqr,pemr,ngama,pemr,kal+ng,pi+ng,pemr,ngama,pemr,pi+ng,kal+ng,moqr
9,0.24246624911571235,1.543289898246429,1.3008236491307166,warn+ng,warn+ng,minhr-ng,minhr-ng,warn+ng,minhr-ng,warn+ng,minhr-ng,minhr-ng,warn+ng,pann,minhr-ng,minhr-ng,warn+ng,luqan+ng,pann,minhr-ng,pulqa,pann,luqan+ng,minhr-ng,warn+ng,pann,warn+ng,warn+ng,warn+ng,minhr-ng,ngama,pi+ng,moqr,kal+ng,ngama,pi+ng,moqr,kal+ng,pemr,pemr,pemr,pemr
