simulation_number,mutual_information,entropy,conditional_entropy,myB,meZ,myZ,mMBD,mFBS,mMZS,mFeBS,mFyBS,mMeZS,mMyZS,mMeBD,mMyBD,mFBeS,mFByS,mMZeS,mMZyS,mMBeD,mMByD,feB,fyB,feZ,fyZ,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFeB,fFyB
0,0.32555301090385824,1.568439700510672,1.2428866896068138,cic,cic,mam,mam,cic,zucun,mam,mam,idzin,idzin,mam,cic,cic,cic,mam,idzin,mam,idzin,mam,mam,mam,cic,dze yum,dze na,na,yum,han,dze na,dze yum,dze na,ix cit,ix cit,yum,na,ix cit,han,dze yum,han,dze yum,dze yum,dze yum
1,0.24916683225507552,1.653873778681789,1.4047069464267135,cic,mam,mam,mam,cic,idzin,cic,cic,mam,cic,mam,mam,zucun,cic,idzin,idzin,mam,idzin,mam,mam,cic,mam,ix cit,na,dze na,dze na,dze yum,ix cit,na,han,dze yum,dze na,yum,han,yum,han,dze yum,ix cit,dze yum,dze yum,dze yum
2,0.39139642993533785,1.457771327078791,1.0663748971434532,mam,cic,idzin,zucun,mam,mam,cic,mam,mam,mam,idzin,cic,mam,mam,mam,idzin,cic,cic,idzin,mam,cic,cic,na,dze yum,dze yum,ix cit,han,dze na,ix cit,dze na,dze yum,han,yum,dze na,yum,dze yum,dze yum,dze yum,ix cit,han,na
3,0.27148578069298046,1.5803312694306741,1.3088454887376937,idzin,mam,cic,idzin,zucun,cic,cic,mam,mam,mam,mam,cic,cic,mam,idzin,mam,mam,idzin,cic,cic,mam,mam,dze na,ix cit,han,ix cit,dze yum,na,dze yum,han,na,dze na,dze yum,han,yum,dze yum,dze yum,dze na,dze yum,yum,ix cit
4,0.29447742135728183,1.7405483661307897,1.4460709447735078,cic,mam,mam,mam,mam,cic,cic,idzin,mam,cic,idzin,mam,zucun,idzin,mam,mam,cic,cic,idzin,cic,mam,mam,dze na,na,han,dze na,yum,yum,dze yum,han,dze yum,dze yum,han,na,dze yum,ix cit,dze na,ix cit,ix cit,dze yum,dze yum
5,0.27695578055973824,1.5049832844346998,1.2280275038749615,mam,idzin,cic,mam,zucun,mam,mam,cic,mam,cic,cic,cic,cic,mam,mam,mam,idzin,mam,cic,mam,idzin,idzin,dze yum,han,na,ix cit,na,dze yum,han,ix cit,han,yum,dze na,dze yum,dze na,ix cit,dze na,dze yum,yum,dze yum,dze yum
6,0.19781299839329214,1.4784237163975646,1.2806107180042725,idzin,mam,idzin,mam,cic,idzin,mam,mam,mam,mam,mam,mam,zucun,idzin,cic,cic,cic,mam,cic,mam,cic,cic,yum,ix cit,dze yum,han,dze yum,dze na,ix cit,dze yum,na,dze na,han,na,dze yum,dze yum,yum,ix cit,dze na,dze yum,han
7,0.38141040855913877,1.7056651565464864,1.3242547479873477,mam,mam,idzin,mam,mam,mam,cic,mam,cic,zucun,cic,cic,cic,mam,mam,mam,idzin,mam,cic,idzin,idzin,cic,dze na,dze yum,yum,na,na,dze yum,dze yum,dze yum,dze na,dze yum,dze na,dze yum,han,ix cit,yum,han,han,ix cit,ix cit
8,0.21161045394600797,1.6166831867960871,1.4050727328500792,cic,cic,mam,mam,mam,cic,mam,idzin,cic,mam,idzin,mam,cic,idzin,idzin,mam,cic,mam,mam,zucun,cic,mam,dze na,ix cit,dze na,dze yum,han,yum,na,yum,ix cit,dze yum,dze yum,han,dze yum,dze yum,ix cit,dze na,han,na,dze yum
9,0.29187138455490436,1.6844159317166083,1.392544547161704,cic,idzin,mam,mam,cic,zucun,idzin,idzin,mam,cic,mam,idzin,mam,cic,mam,cic,cic,mam,cic,mam,mam,mam,ix cit,na,dze yum,han,han,ix cit,dze yum,na,dze yum,dze na,yum,yum,dze na,dze yum,dze yum,dze na,ix cit,han,dze yum
