simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,mFZD,mMBD,mFZS,mMBS,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fMBD,fFZS,fMBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mFBD,mMZD,mFBS,mMZS,mFeBS,mFyBS,mFeBD,mFyBD,mMeZS,mMyZS,mMeZD,mMyZD,mFBeS,mFByS,mFBeD,mFByD,mMZeS,mMZyS,mMZeD,mMZyD,fFBD,fMZD,fFBS,fMZS,fFeBS,fFyBS,fFeBD,fMeZS,fMyZS,fMeZD,fMyZD,fFBeS,fFByS,fFBeD,fFByD,fMZyS,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.16795680810302493,1.3558658497668317,1.1879090416638067,yerrabool,yerrabool,yerrabool,yirrkaang,bunahm,gaguhng,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,nunong,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,panaam,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,gaguhng,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,nannong,yerrabool,nannong,panaam,nunong,yerrabool,yerrabool,yerrabool,bunahm,yirrkaang,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,biung,biung,ngaroon,biung,ngaroon,kauung,kauung,kauung,ngaroon,biyang,wadjung,ngaroon,ngaroon,kauung,ngaroon,ngaroon,wadjung,ngaroon,ngaroon,ngaroon,biung,biung,biung,ngaroon,ngaroon,kauung,biyang,kauung
1,0.13304486112440195,1.3838426250416442,1.2507977639172423,yerrabool,nunong,yerrabool,bunahm,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,gaguhng,yerrabool,nannong,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,panaam,yerrabool,yerrabool,yerrabool,yerrabool,bunahm,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,nunong,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yirrkaang,yerrabool,yerrabool,panaam,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yirrkaang,yerrabool,yerrabool,gaguhng,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,nannong,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,ngaroon,biyang,ngaroon,kauung,biung,ngaroon,ngaroon,kauung,biyang,kauung,ngaroon,ngaroon,wadjung,wadjung,kauung,biung,ngaroon,kauung,biung,ngaroon,biung,ngaroon,ngaroon,ngaroon,biung,ngaroon,biung,kauung
2,0.13979045042101745,1.4390119904919392,1.2992215400709217,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,bunahm,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,nunong,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yirrkaang,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,nannong,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,gaguhng,nannong,yerrabool,yerrabool,yerrabool,gaguhng,yerrabool,bunahm,yerrabool,yerrabool,yerrabool,yirrkaang,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,panaam,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,panaam,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,nunong,ngaroon,biyang,ngaroon,ngaroon,biung,wadjung,kauung,kauung,ngaroon,ngaroon,ngaroon,kauung,kauung,wadjung,biung,ngaroon,biyang,biung,ngaroon,biung,ngaroon,ngaroon,kauung,biung,ngaroon,kauung,ngaroon,biung
3,0.09300954531300532,1.3099487691366074,1.216939223823602,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,bunahm,yerrabool,yerrabool,yerrabool,nannong,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,gaguhng,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,bunahm,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,gaguhng,yerrabool,yerrabool,yerrabool,nannong,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,panaam,yerrabool,yirrkaang,yerrabool,yirrkaang,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,nunong,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,panaam,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,nunong,kauung,ngaroon,kauung,biung,biung,ngaroon,wadjung,kauung,biung,ngaroon,wadjung,biung,ngaroon,ngaroon,biung,kauung,ngaroon,biung,ngaroon,ngaroon,ngaroon,biyang,ngaroon,ngaroon,biyang,kauung,ngaroon,kauung
4,0.11024799613348546,1.347140583005088,1.2368925868716025,yerrabool,gaguhng,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,bunahm,nunong,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yirrkaang,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,gaguhng,yerrabool,nunong,yerrabool,yerrabool,yerrabool,yerrabool,nannong,yerrabool,yerrabool,bunahm,yirrkaang,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,nannong,yerrabool,yerrabool,panaam,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,panaam,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,ngaroon,biung,kauung,biung,biung,ngaroon,ngaroon,ngaroon,kauung,biyang,ngaroon,kauung,ngaroon,wadjung,kauung,ngaroon,kauung,biung,ngaroon,ngaroon,wadjung,kauung,biung,ngaroon,ngaroon,biung,biyang,ngaroon
5,0.16269895219665065,1.4311852117362704,1.2684862595396198,yerrabool,yerrabool,yerrabool,yerrabool,yirrkaang,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,gaguhng,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,panaam,yerrabool,yerrabool,yerrabool,yerrabool,nunong,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,gaguhng,yerrabool,yerrabool,nannong,nannong,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,panaam,bunahm,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,nunong,yerrabool,bunahm,yerrabool,yerrabool,yirrkaang,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,ngaroon,biung,kauung,ngaroon,kauung,ngaroon,wadjung,ngaroon,kauung,biung,biung,ngaroon,biyang,ngaroon,biung,biung,biyang,kauung,wadjung,ngaroon,ngaroon,ngaroon,kauung,kauung,ngaroon,ngaroon,biung,ngaroon
6,0.15292663314147958,1.4010804601640088,1.2481538270225292,yerrabool,yerrabool,yerrabool,yerrabool,bunahm,yerrabool,yerrabool,gaguhng,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,panaam,yerrabool,yerrabool,bunahm,yirrkaang,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,nunong,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,nunong,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,nannong,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yirrkaang,yerrabool,yerrabool,nannong,yerrabool,gaguhng,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,panaam,yerrabool,yerrabool,biyang,wadjung,ngaroon,ngaroon,biung,biung,ngaroon,kauung,ngaroon,ngaroon,biung,kauung,biung,ngaroon,wadjung,ngaroon,ngaroon,ngaroon,kauung,ngaroon,kauung,biung,ngaroon,ngaroon,biyang,kauung,kauung,biung
7,0.16519911077481764,1.3246448132629256,1.159445702488108,panaam,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,nunong,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,nunong,yirrkaang,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yirrkaang,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,bunahm,bunahm,nannong,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,gaguhng,yerrabool,yerrabool,gaguhng,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,panaam,yerrabool,nannong,yerrabool,yerrabool,kauung,ngaroon,biung,ngaroon,biung,biung,ngaroon,biung,ngaroon,biung,kauung,biyang,wadjung,ngaroon,ngaroon,ngaroon,ngaroon,kauung,ngaroon,ngaroon,kauung,kauung,biung,ngaroon,biyang,kauung,wadjung,ngaroon
8,0.12306465951602297,1.3838426250416442,1.2607779655256213,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,gaguhng,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,bunahm,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,panaam,yerrabool,yerrabool,yerrabool,gaguhng,yerrabool,yerrabool,yerrabool,yerrabool,panaam,yerrabool,yerrabool,yerrabool,yirrkaang,yerrabool,nannong,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yirrkaang,bunahm,yerrabool,nannong,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,nunong,nunong,kauung,ngaroon,ngaroon,biung,ngaroon,ngaroon,ngaroon,biung,kauung,ngaroon,biung,ngaroon,biyang,ngaroon,biung,kauung,kauung,wadjung,biung,ngaroon,wadjung,ngaroon,ngaroon,biyang,ngaroon,kauung,kauung,biung
9,0.17491733629432216,1.4245865036929217,1.2496691673985996,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,gaguhng,yerrabool,yerrabool,gaguhng,panaam,yerrabool,yerrabool,yerrabool,yerrabool,nunong,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,bunahm,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,panaam,yerrabool,yerrabool,yerrabool,yerrabool,bunahm,yerrabool,yerrabool,yerrabool,yerrabool,nannong,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,nannong,yerrabool,yerrabool,yirrkaang,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yirrkaang,yerrabool,nunong,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,biung,kauung,wadjung,ngaroon,ngaroon,biung,ngaroon,kauung,kauung,ngaroon,kauung,ngaroon,ngaroon,ngaroon,kauung,biung,wadjung,biung,biung,ngaroon,ngaroon,biung,ngaroon,ngaroon,kauung,biyang,ngaroon,biyang
