simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,mFZD,mMBD,mFZS,mMBS,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fMBD,fFZS,fMBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.22743257942934503,1.4955082378844775,1.2680756584551325,tyuwari,tyuwari,tyuwari,nyarrumpa,tyalapurtu,tyalapurtu,malatyu,kuta,tyuwari,tyuwari,tyalapurtu,tyalapurtu,pupu,tyuwari,tyalapurtu,pupu,tyalapurtu,tyuwari,tyalapurtu,tyalapurtu,tyalapurtu,tyuwari,tyalapurtu,tyalapurtu,tyalapurtu,tyuwari,tyalapurtu,tyuwari,tyuwari,tyalapurtu,tyalapurtu,malatyu,kuta,tyurtu,tyalapurtu,tyuwari,tyuwari,tyuwari,tyalapurtu,malatyu,tyuwari,tyuwari,tyalapurtu,tyuwari,nyarrumpa,tyuwari,tyalapurtu,malatyu,tyurtu,tyuwari,tyuwari,tyalapurtu,waputyu,yina,waputyu,tilypu,tilypu,waputyu,tilypu,yina,waputyu,yungkutyarra,yipi,yina,yungkutyarra,yipi,yina,waputyu,tilypu,yungkutyarra,tilypu,tilypu,waputyu,yungkutyarra,yina,yina,yina,yungkutyarra,yina,yungkutyarra
1,0.24311005361051596,1.4355963215679644,1.1924862679574484,tyuwari,tyuwari,tyuwari,tyuwari,malatyu,tyuwari,tyuwari,tyalapurtu,tyuwari,malatyu,tyuwari,tyalapurtu,tyalapurtu,tyuwari,tyalapurtu,tyalapurtu,pupu,tyalapurtu,tyalapurtu,tyuwari,tyuwari,tyalapurtu,kuta,nyarrumpa,tyalapurtu,pupu,tyuwari,nyarrumpa,malatyu,tyalapurtu,tyalapurtu,tyalapurtu,tyurtu,tyuwari,tyuwari,tyalapurtu,tyalapurtu,tyalapurtu,tyuwari,tyuwari,tyalapurtu,tyuwari,tyalapurtu,tyalapurtu,tyalapurtu,kuta,tyuwari,tyuwari,tyurtu,tyalapurtu,malatyu,tyuwari,tilypu,tilypu,tilypu,yina,yungkutyarra,waputyu,waputyu,tilypu,waputyu,yina,yungkutyarra,yipi,yina,yipi,tilypu,yina,yina,waputyu,yina,yungkutyarra,yina,waputyu,tilypu,yungkutyarra,yungkutyarra,yungkutyarra,yina,waputyu
2,0.22024225848665013,1.5530523027256904,1.3328100442390403,tyuwari,tyuwari,tyuwari,tyalapurtu,malatyu,pupu,malatyu,tyuwari,tyuwari,tyalapurtu,tyuwari,nyarrumpa,tyalapurtu,tyurtu,tyalapurtu,tyuwari,tyalapurtu,tyalapurtu,pupu,tyalapurtu,tyalapurtu,tyalapurtu,tyalapurtu,tyuwari,tyuwari,malatyu,tyuwari,tyalapurtu,tyuwari,tyuwari,tyuwari,tyalapurtu,tyuwari,tyuwari,tyalapurtu,nyarrumpa,tyuwari,tyalapurtu,tyalapurtu,tyuwari,tyalapurtu,tyuwari,tyuwari,tyalapurtu,tyalapurtu,tyurtu,tyalapurtu,kuta,tyalapurtu,tyuwari,malatyu,kuta,yipi,yina,waputyu,yungkutyarra,yungkutyarra,yina,waputyu,yungkutyarra,waputyu,tilypu,yina,yungkutyarra,tilypu,tilypu,waputyu,yungkutyarra,yina,waputyu,tilypu,yina,tilypu,yungkutyarra,waputyu,tilypu,yina,yipi,yina,yina
3,0.17946881629695266,1.3608767141167764,1.1814078978198237,tyalapurtu,tyuwari,tyalapurtu,pupu,tyalapurtu,tyuwari,tyalapurtu,tyalapurtu,tyuwari,tyuwari,tyuwari,tyalapurtu,tyalapurtu,tyalapurtu,tyuwari,tyalapurtu,tyuwari,tyuwari,tyurtu,tyuwari,malatyu,tyalapurtu,tyuwari,tyuwari,nyarrumpa,tyuwari,tyalapurtu,tyuwari,tyalapurtu,tyuwari,kuta,tyalapurtu,tyurtu,tyalapurtu,tyalapurtu,tyuwari,tyalapurtu,tyalapurtu,malatyu,tyuwari,tyuwari,malatyu,kuta,tyalapurtu,nyarrumpa,tyuwari,tyalapurtu,malatyu,tyuwari,pupu,tyuwari,tyalapurtu,yungkutyarra,yungkutyarra,yina,tilypu,waputyu,waputyu,yina,yina,waputyu,waputyu,yina,waputyu,yina,tilypu,yungkutyarra,tilypu,yungkutyarra,yungkutyarra,yina,yungkutyarra,tilypu,yipi,yina,tilypu,yipi,yina,tilypu,waputyu
4,0.19155803758439527,1.4699184929924032,1.278360455408008,tyuwari,tyalapurtu,nyarrumpa,malatyu,tyuwari,tyuwari,tyalapurtu,tyalapurtu,tyalapurtu,malatyu,tyuwari,malatyu,tyuwari,tyuwari,tyalapurtu,tyurtu,tyalapurtu,tyuwari,tyuwari,tyalapurtu,kuta,tyuwari,tyalapurtu,tyuwari,tyalapurtu,tyuwari,tyalapurtu,tyalapurtu,tyalapurtu,tyalapurtu,tyurtu,tyuwari,tyuwari,tyalapurtu,tyuwari,tyuwari,tyalapurtu,tyuwari,tyalapurtu,nyarrumpa,tyalapurtu,tyalapurtu,tyalapurtu,pupu,kuta,tyuwari,tyuwari,pupu,tyuwari,tyuwari,tyalapurtu,malatyu,tilypu,waputyu,waputyu,tilypu,yina,yungkutyarra,yungkutyarra,tilypu,yina,waputyu,yungkutyarra,tilypu,waputyu,yina,yungkutyarra,tilypu,yina,tilypu,yungkutyarra,waputyu,yina,yipi,yina,yipi,yina,yungkutyarra,yina,waputyu
5,0.3625988303689893,1.534132426676014,1.1715335963070246,tyuwari,tyuwari,tyalapurtu,kuta,tyalapurtu,tyuwari,tyalapurtu,tyuwari,tyalapurtu,tyalapurtu,tyurtu,pupu,nyarrumpa,tyalapurtu,tyuwari,tyalapurtu,pupu,malatyu,tyuwari,tyalapurtu,tyuwari,tyurtu,tyuwari,tyuwari,tyalapurtu,tyalapurtu,tyalapurtu,malatyu,tyalapurtu,tyuwari,tyuwari,tyuwari,kuta,tyuwari,nyarrumpa,tyuwari,tyalapurtu,malatyu,tyalapurtu,tyalapurtu,tyuwari,tyalapurtu,tyalapurtu,tyuwari,tyuwari,malatyu,tyuwari,tyalapurtu,tyuwari,tyalapurtu,tyalapurtu,tyuwari,yipi,yina,waputyu,yungkutyarra,tilypu,yungkutyarra,yungkutyarra,waputyu,yipi,tilypu,yina,waputyu,yina,waputyu,yungkutyarra,yina,waputyu,waputyu,yina,tilypu,yina,yina,tilypu,tilypu,yungkutyarra,yungkutyarra,tilypu,yina
6,0.25971240968086895,1.5399463962370965,1.2802339865562276,malatyu,tyalapurtu,malatyu,tyalapurtu,kuta,tyuwari,tyuwari,pupu,tyuwari,tyalapurtu,tyalapurtu,tyalapurtu,malatyu,tyalapurtu,tyalapurtu,tyuwari,tyalapurtu,tyuwari,tyalapurtu,tyuwari,tyuwari,tyurtu,nyarrumpa,tyuwari,tyalapurtu,tyuwari,malatyu,tyalapurtu,tyuwari,tyuwari,tyalapurtu,nyarrumpa,tyalapurtu,tyuwari,tyuwari,tyalapurtu,tyuwari,tyalapurtu,tyuwari,pupu,tyuwari,tyalapurtu,tyalapurtu,tyuwari,tyalapurtu,tyurtu,tyuwari,tyalapurtu,tyuwari,kuta,tyuwari,tyalapurtu,yungkutyarra,waputyu,yina,tilypu,waputyu,tilypu,yina,waputyu,yipi,tilypu,yungkutyarra,yungkutyarra,yipi,yungkutyarra,tilypu,yina,waputyu,waputyu,yina,yina,yungkutyarra,tilypu,yungkutyarra,tilypu,yina,yina,waputyu,yina
7,0.27147915934125355,1.582355442845968,1.3108762835047145,tyuwari,tyalapurtu,tyalapurtu,kuta,tyalapurtu,kuta,nyarrumpa,tyalapurtu,tyurtu,malatyu,tyuwari,tyuwari,tyuwari,tyuwari,tyalapurtu,tyalapurtu,tyuwari,tyalapurtu,tyuwari,tyalapurtu,tyurtu,tyuwari,tyalapurtu,malatyu,tyuwari,tyuwari,pupu,tyuwari,nyarrumpa,tyalapurtu,tyuwari,tyuwari,tyalapurtu,tyuwari,malatyu,malatyu,tyalapurtu,tyalapurtu,pupu,tyalapurtu,tyuwari,tyuwari,tyuwari,tyalapurtu,tyalapurtu,tyuwari,tyalapurtu,tyuwari,tyalapurtu,tyuwari,tyalapurtu,tyalapurtu,tilypu,yina,waputyu,yipi,waputyu,yungkutyarra,yina,yina,yina,yina,yina,tilypu,yipi,waputyu,yungkutyarra,waputyu,waputyu,yungkutyarra,yina,tilypu,tilypu,yungkutyarra,waputyu,yungkutyarra,yungkutyarra,yina,tilypu,tilypu
8,0.15393597519267943,1.2689273365640257,1.1149913613713462,tyuwari,tyalapurtu,tyuwari,malatyu,kuta,tyalapurtu,kuta,tyalapurtu,tyuwari,tyalapurtu,tyalapurtu,tyalapurtu,tyuwari,malatyu,tyuwari,malatyu,tyalapurtu,pupu,tyuwari,tyalapurtu,tyalapurtu,malatyu,tyuwari,tyurtu,nyarrumpa,tyalapurtu,tyalapurtu,tyuwari,tyuwari,tyalapurtu,tyurtu,tyuwari,nyarrumpa,tyuwari,tyuwari,tyalapurtu,tyuwari,tyalapurtu,tyuwari,tyuwari,tyuwari,tyalapurtu,tyuwari,tyuwari,tyuwari,tyalapurtu,pupu,tyalapurtu,tyalapurtu,tyuwari,tyalapurtu,tyalapurtu,tilypu,yina,yungkutyarra,yina,yina,tilypu,yipi,yina,waputyu,yungkutyarra,yipi,waputyu,yina,waputyu,yungkutyarra,tilypu,yungkutyarra,tilypu,waputyu,yungkutyarra,tilypu,waputyu,yina,waputyu,yungkutyarra,tilypu,yina,yina
9,0.2770219344135745,1.3408461255260735,1.063824191112499,tyuwari,tyalapurtu,tyalapurtu,tyalapurtu,tyuwari,tyuwari,tyalapurtu,kuta,tyuwari,tyalapurtu,tyalapurtu,tyuwari,malatyu,tyurtu,tyalapurtu,tyuwari,tyuwari,tyuwari,tyalapurtu,tyalapurtu,tyuwari,malatyu,tyuwari,tyalapurtu,tyuwari,tyuwari,tyuwari,tyuwari,tyalapurtu,kuta,tyurtu,tyalapurtu,nyarrumpa,tyalapurtu,pupu,tyuwari,tyuwari,malatyu,tyuwari,tyalapurtu,tyuwari,tyalapurtu,tyuwari,pupu,malatyu,tyalapurtu,tyalapurtu,tyalapurtu,tyalapurtu,tyuwari,tyalapurtu,nyarrumpa,tilypu,waputyu,yina,yina,yungkutyarra,tilypu,tilypu,yina,yina,tilypu,tilypu,yipi,yungkutyarra,waputyu,waputyu,yungkutyarra,yina,yina,waputyu,tilypu,yipi,yungkutyarra,waputyu,yina,yina,waputyu,yungkutyarra,yungkutyarra
