simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.13775450738170592,1.0320388504971314,0.8942843431154255,nelai,nelai,nelet,nelet,nelet,nepa,nepa,nepa,nelai,neweyits,neweyits,nepa,nepa,nepa,nelet,nelai,nelai,neweyits,nepa,neikeu,nelet,neikeu,neweyits,neweyits,nelet,neweyits,neweyits,nelai,nepa,nelai,nelet,neiku,neweyits,nelai,nepa,neweyits,neweyits,nelai,nelet,nelet,nelet,nepa,nelai,nepa,nelet,nepa,neweyits,nelai,nepin,nelet,nepa,nelai,nelet,nelai,neweyits,nelet,nelet,nelai,nepa,nemit,neweyits,nepa,nepa,neweyits,nelai,nelai,nelai,nelai,neweyits,neiku,nepa,nelet,neweyits,nepa,nelai,nelet,nepin,nelet,nemit,neweyits,neweyits,nelet,nepa,nelet,neweyits,neweyits,nelai,nepa,neweyits,netul,netul,netsim,netsim,netul,netul,netul,netsim,kok,netsim,netsim,netsim,netul,netul,netsim,netsim,netul,netul,netsim,netul,netsim,netul,netsim,tot,netsim,netul,kok,tot
1,0.17045280659350548,1.0764361287318653,0.9059833221383599,nelai,nelet,nepa,nemit,nelet,nelet,nelai,nelet,nelet,nelet,nelai,nelet,neweyits,nelet,nelai,neweyits,neweyits,neweyits,neweyits,nelai,nelai,nelet,nelet,nelai,neweyits,nelai,neiku,nelet,nelai,nepa,nelet,neweyits,neweyits,nelet,nepin,neweyits,neweyits,neweyits,nelai,nepa,nepa,nelet,nepa,nemit,nelai,neweyits,nepa,nepa,nepa,neweyits,nelet,neweyits,nelet,nelai,nepa,neweyits,nepa,nepa,neweyits,nelet,nepa,nelet,nepa,nelai,nepin,nelai,nepa,nepa,nepa,nelet,neweyits,nepa,nepa,neikeu,nepa,neweyits,nepa,neweyits,nelai,neikeu,nelai,nelai,neiku,nelai,neweyits,nelai,neweyits,nelet,nelai,netul,netul,netsim,netsim,netsim,netsim,netul,kok,netsim,netul,netsim,netul,tot,tot,netul,netsim,netsim,netul,kok,netsim,netul,netul,netsim,netsim,netul,netul,netsim,netul
2,0.1684285835287176,1.1118550885980456,0.943426505069328,neweyits,nelet,nelai,neweyits,nepa,nepa,neweyits,neweyits,neweyits,nelai,nepa,neweyits,neikeu,nepa,nepa,nelai,nepa,neweyits,nepa,nelet,neweyits,nelet,nelai,nepin,nelai,nelai,nelet,nelai,nelai,neweyits,nelet,nelet,neweyits,nepa,neweyits,neweyits,nelai,nelai,nepa,nelet,nelet,nelet,nepa,nelai,neweyits,nelet,nelai,nelet,neikeu,neweyits,nepa,neiku,nelai,nelai,nepa,neweyits,neweyits,nelai,nepa,nelet,nelai,nelet,nelai,nelai,nepa,nelet,nepa,nepa,nemit,nepin,nelet,nemit,neiku,nepa,nelet,nepa,nelet,nelet,nelai,nelet,neweyits,neweyits,nelai,nepa,nelet,neweyits,nepa,neweyits,neweyits,netul,kok,netul,netsim,netsim,netul,netul,netsim,netsim,netsim,tot,netul,netsim,netsim,netul,netsim,netsim,netul,netul,kok,tot,netul,netsim,netul,netul,netsim,netsim,netul
3,0.14692657796281905,1.0329324827187583,0.8860059047559392,neweyits,nelet,neweyits,nepa,neweyits,nepa,nelet,nelet,nelet,neweyits,nelet,nelet,neweyits,neweyits,nelet,neweyits,neiku,nelai,nelet,nepa,nelet,nelai,nelai,nepa,neweyits,nelet,nelet,nelet,nemit,nelai,nepa,nepa,nelai,nepa,nepin,nepa,neweyits,nepin,nepa,neweyits,nepa,nepa,nelet,nepa,neweyits,nelai,nelai,nepa,nelet,nepa,nelai,nelai,nelai,neiku,neweyits,nelai,nemit,nepa,nelet,nelai,nepa,nelai,nelai,nelet,nelet,nelai,neweyits,nelet,neweyits,neweyits,neweyits,nepa,nelet,nelai,nepa,neweyits,neweyits,nelai,neweyits,nelet,neweyits,nelai,nelai,nepa,nepa,neikeu,neweyits,nelai,neikeu,netul,netsim,netul,netsim,netsim,netul,netsim,netsim,netul,netul,netsim,kok,netsim,netsim,netul,netul,netul,netsim,netsim,netul,tot,netsim,tot,kok,netul,netsim,netul,netul
4,0.1050362544880783,1.171398696573629,1.0663624420855506,neikeu,neweyits,nelai,nelai,nelet,neweyits,nelet,nelai,neweyits,nepa,neweyits,nelai,nepa,nepa,neweyits,nelet,nelet,nepa,neweyits,neweyits,nelet,neweyits,neiku,nepa,nepa,nepa,neweyits,neweyits,nelet,nelai,nelai,nelet,nelai,nelet,neweyits,nepa,neweyits,nepa,nelet,nelai,neiku,nepin,nelai,nepa,nelai,neikeu,nelai,nelet,nelet,nelet,nelet,nepa,nemit,nepa,nelai,nepa,nelai,nelai,neweyits,nelai,nelet,nelai,neweyits,nelai,neweyits,nepa,nelai,nelai,nepin,nepa,neweyits,nelet,neweyits,nepa,nelet,nepa,nelet,nelet,nepa,neweyits,nepa,nelai,neweyits,nepa,neweyits,nemit,neweyits,nelet,nelet,netsim,netul,kok,netul,netsim,tot,netsim,netsim,tot,netsim,netsim,netul,netul,netul,netsim,netul,kok,netsim,netsim,netsim,netul,netsim,netul,netul,netul,netsim,netul,netul
5,0.16408664319396948,1.1322887234748915,0.968202080280922,nelai,neweyits,nelai,nelai,neweyits,neweyits,nepa,nelet,neweyits,nepa,neweyits,nelai,nelet,nelet,nelet,neweyits,nelai,nepa,nelai,nelai,neweyits,nepa,neikeu,nelai,nepa,neweyits,neweyits,nelet,nelet,nepa,nelai,neweyits,nepa,nelai,nelet,nepa,nelai,neweyits,neweyits,nelet,nepin,nelet,nelai,neweyits,neweyits,nelet,nelet,nemit,nepa,nepa,neweyits,nelai,nepa,nelai,neweyits,neweyits,nelai,neikeu,nepa,nepa,neweyits,nepa,nelet,neweyits,nepa,nepin,nelai,neweyits,nelet,nelai,nepa,nelet,nepa,nelet,nepa,nepa,nemit,nepa,neiku,neweyits,nelet,nelai,nelet,nelai,nelet,nelet,neiku,nelet,nelai,netul,netsim,netul,tot,netsim,netsim,tot,netul,netul,kok,netsim,netul,netul,netsim,netsim,netsim,netul,netul,kok,netul,netsim,netsim,netul,netsim,netul,netsim,netul,netsim
6,0.17511486753921957,1.035717636504942,0.8606027689657225,neikeu,nelai,nelet,nelai,neweyits,nelai,neweyits,neweyits,nelet,nelet,nepa,nelet,nelet,nelai,neweyits,nepa,nelet,nepin,nelet,nepa,nelai,nelai,neweyits,nelai,nelai,nelai,nelet,neiku,neweyits,nelai,nepa,nepa,nelet,neweyits,nelet,nelai,neiku,neweyits,nelet,nelai,nepa,nepa,nepa,nelai,neweyits,nepa,nepa,nepa,nelet,nelai,nepa,neweyits,nemit,nelai,nelai,nepa,nelet,nelet,neweyits,nelai,neweyits,nepa,nelet,nelet,nelai,nepa,nepa,neweyits,neweyits,nelet,nelet,nepa,nelet,neweyits,nepin,nepa,neweyits,neikeu,nepa,neweyits,nemit,nepa,neweyits,neweyits,nelai,nelet,neweyits,nelai,neweyits,netsim,netul,netsim,netsim,netul,netsim,netul,tot,netul,netul,netsim,netul,kok,netsim,netul,netul,netsim,netsim,netsim,kok,netul,tot,netsim,netul,netul,netsim,netul,netsim
7,0.11180755682087962,1.1420907337586093,1.0302831769377296,nepin,nelai,nepa,neweyits,nelai,neweyits,nelet,neweyits,nelai,nelai,nelai,nepa,nelai,nelet,nepa,nepa,neweyits,nelai,nelet,nemit,nelai,nelet,nelet,nelet,nelet,nepa,nelet,nelai,nemit,nelet,nepa,neweyits,nelet,nelai,nelet,nepa,nepin,nepa,nelai,nepa,nelet,nelai,neikeu,neweyits,neikeu,neweyits,neweyits,neweyits,nepa,nepa,neweyits,neiku,neweyits,nelet,nelai,nelai,nelai,neweyits,neweyits,nelet,nelai,nepa,nepa,nelet,neweyits,nepa,nelai,nepa,nelet,neweyits,neweyits,nepa,neweyits,neiku,nepa,neweyits,nelai,nelai,nepa,neweyits,nelet,nelet,nepa,neweyits,neweyits,nelet,nepa,nelai,nelet,netul,netsim,kok,netsim,netul,netsim,netsim,netsim,netsim,netul,netsim,netul,netul,netsim,tot,netsim,netsim,netul,kok,netul,netul,netul,netul,netsim,netul,netsim,netul,tot
8,0.1515003395951926,1.1875472743460023,1.0360469347508097,nepa,nepin,nelet,nelet,nelet,nelet,neweyits,neweyits,nelet,nepa,neweyits,nelai,nepa,nepa,neiku,nelai,nelet,nepa,nelai,nepa,nepa,nelet,nelet,nelet,neweyits,nepa,nelet,neweyits,neweyits,nelai,nepa,nelet,neweyits,nelai,nelai,nelet,nelet,nelai,neweyits,neiku,neweyits,neweyits,neweyits,nepa,neweyits,nelet,nepin,nelet,nelai,nelai,nelet,nepa,neweyits,nelet,nelai,neweyits,nepa,neweyits,nemit,nelai,neweyits,nepa,nelai,neikeu,neweyits,neikeu,nepa,nelet,nelai,nelai,nelai,neweyits,nepa,nelet,nepa,neweyits,nelai,nelai,neweyits,nepa,nepa,nelai,nelai,nepa,neweyits,nelai,nelet,nepa,nemit,netsim,netsim,kok,netsim,netul,tot,netsim,netsim,netsim,netsim,netsim,netsim,netul,netul,netul,kok,tot,netul,netsim,netul,netul,netsim,netul,netul,netsim,netul,netul,netul
9,0.08075868654278406,1.1322887234748915,1.0515300369321074,nelai,neweyits,nelai,nepa,nepa,neweyits,nepa,neweyits,nepa,nepa,nelet,neweyits,neweyits,nelet,nelai,nelet,neweyits,nelai,neweyits,neweyits,neweyits,neweyits,nepa,neweyits,nelet,nelet,nelet,neweyits,nepin,nelai,nelet,nepa,neweyits,nepin,nelet,neweyits,nelet,nelai,nelet,nepa,nepa,nepa,nelai,nelai,nelet,nelet,nepa,nelai,neweyits,nepa,nepa,nelai,nelai,neweyits,nepa,nelet,nepa,nelet,neweyits,nemit,neiku,nelai,nelet,nelai,nelai,neikeu,nelai,nelai,neikeu,neweyits,nelet,nemit,nepa,nepa,nelai,nelet,neweyits,neweyits,nepa,nelai,nelet,nelai,nepa,nelai,neiku,neweyits,nelet,nelet,nepa,netul,netsim,netsim,netsim,kok,netsim,netul,tot,netsim,netul,netsim,netsim,kok,netul,netul,netul,netul,netsim,netul,tot,netsim,netul,netsim,netsim,netul,netsim,netul,netul
