simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,fB,fZ,feB,fyB,feZ,fyZ,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.030847463026110078,0.5297061990576545,0.4988587360315444,murumuna,murumuna,mwanyanya,mwanyanya,murumuna,mwanyanya,murumuna,murumuna,mwanyanya,mwanyanya,mwanyanya,maha omuto,maha omuto,maami,maaha,maami,maha omuto,maha omuto,maami,maami,maami,maami,tata,maha omuto,maha omuto,maami,maha omuto,tata,maami,maami,maha omuto,maami,maaha,maami,maha omuto,maha omuto,maha omuto,maha omuto,maami
1,0.07606241580506268,0.5908422462755826,0.5147798304705199,murumuna,mwanyanya,murumuna,murumuna,mwanyanya,mwanyanya,mwanyanya,mwanyanya,murumuna,mwanyanya,murumuna,tata,maha omuto,maami,maaha,maami,maami,maami,maami,maami,maami,maha omuto,maha omuto,maha omuto,maami,maha omuto,maha omuto,maha omuto,maami,maami,maha omuto,maami,maha omuto,maha omuto,maha omuto,maaha,tata,maami,maha omuto
2,0.07421799200375678,0.9950269901795212,0.9208089981757644,mwanyanya,mwanyanya,murumuna,mwanyanya,mwanyanya,murumuna,murumuna,mwanyanya,mwanyanya,murumuna,murumuna,maha omuto,maha omuto,maha omuto,tata,maami,maha omuto,maami,maami,maha omuto,maha omuto,maami,maha omuto,maami,maami,tata,maami,maaha,maha omuto,maha omuto,maha omuto,maami,maami,maha omuto,maami,maami,maami,maha omuto,maaha
3,0.030847463026110078,0.5297061990576545,0.4988587360315444,mwanyanya,murumuna,murumuna,mwanyanya,mwanyanya,mwanyanya,mwanyanya,murumuna,mwanyanya,murumuna,murumuna,maami,maami,tata,maha omuto,maha omuto,maami,maha omuto,maha omuto,maami,maha omuto,maami,maami,maha omuto,maami,maami,maha omuto,maha omuto,maha omuto,maaha,maami,maaha,maami,tata,maami,maami,maha omuto,maha omuto,maha omuto
4,0.09198351024403822,0.5908422462755826,0.49885873603154435,mwanyanya,mwanyanya,murumuna,murumuna,murumuna,mwanyanya,mwanyanya,mwanyanya,mwanyanya,murumuna,murumuna,tata,maami,maha omuto,maami,tata,maha omuto,maaha,maaha,maha omuto,maha omuto,maami,maha omuto,maha omuto,maami,maami,maami,maami,maami,maha omuto,maami,maha omuto,maha omuto,maha omuto,maami,maami,maha omuto,maha omuto,maami
5,0.12450718538199135,1.0720433435750707,0.9475361581930793,mwanyanya,murumuna,mwanyanya,murumuna,mwanyanya,mwanyanya,mwanyanya,murumuna,mwanyanya,murumuna,murumuna,maami,tata,maha omuto,maami,maha omuto,maha omuto,maami,tata,maami,maha omuto,maha omuto,maha omuto,maami,maami,maha omuto,maha omuto,maami,maami,maha omuto,maha omuto,maha omuto,maami,maaha,maaha,maami,maha omuto,maami,maami
6,0.09293744783452518,1.036627968858607,0.9436905210240819,murumuna,murumuna,mwanyanya,mwanyanya,murumuna,murumuna,mwanyanya,mwanyanya,murumuna,mwanyanya,mwanyanya,tata,maha omuto,maha omuto,maami,maami,maami,maha omuto,maha omuto,maha omuto,maha omuto,maami,tata,maha omuto,maami,maha omuto,maami,maaha,maami,maami,maha omuto,maami,maaha,maami,maha omuto,maha omuto,maha omuto,maami,maami
7,0.07317071622655225,1.036627968858607,0.9634572526320548,mwanyanya,murumuna,mwanyanya,murumuna,murumuna,mwanyanya,murumuna,murumuna,mwanyanya,mwanyanya,mwanyanya,tata,maami,maaha,maha omuto,maha omuto,maami,maha omuto,maami,maami,maha omuto,maha omuto,maha omuto,maami,maha omuto,tata,maaha,maha omuto,maha omuto,maami,maami,maami,maami,maha omuto,maha omuto,maami,maha omuto,maami,maami
8,0.07405977707948075,1.0366279688586069,0.9625681917791261,murumuna,murumuna,murumuna,mwanyanya,mwanyanya,murumuna,mwanyanya,murumuna,mwanyanya,mwanyanya,mwanyanya,maami,maha omuto,maami,maami,maami,maami,maami,maha omuto,maha omuto,maami,maha omuto,maha omuto,maha omuto,tata,maami,maaha,maha omuto,maha omuto,maha omuto,maha omuto,tata,maami,maami,maha omuto,maha omuto,maami,maaha,maami
9,0.03541537471646383,0.6869615765973234,0.6515462018808595,mwanyanya,mwanyanya,murumuna,mwanyanya,murumuna,murumuna,mwanyanya,mwanyanya,murumuna,murumuna,mwanyanya,maha omuto,maha omuto,maha omuto,maami,maha omuto,maami,maami,maha omuto,tata,maaha,maha omuto,maha omuto,maami,maha omuto,maami,maami,maha omuto,maaha,maami,maha omuto,maami,maha omuto,maami,maami,maha omuto,tata,maami,maami
