language,language_family,code,simulation_code,simulation,mutual_information,entropy_gn,entropy_gn1,conditional_entropy,variation_gn,variation_gn1,number_of_pairs
Sa,Austronesian,saaa1241,saaa1241_REAL,N,0.0,1.95021,1.0,1.0,4,2,8
Namakura,Austronesian,nama1268b,nama1268b_REAL,N,0.49261,2.23593,1.49261,1.0,5,3,10
Woleaian,Austronesian,wole1240,wole1240_REAL,N,0.0,-0.0,1.9183,1.9183,1,4,4
Nengone,Austronesian,neng1238,neng1238_REAL,N,0.69802,1.75343,2.45321,1.75519,5,6,14
Ontong_Java,Austronesian,onto1237,onto1237_REAL,N,0.0,1.0,1.53049,1.53049,2,3,6
Pama_(Paamanese),Austronesian,paam1238,paam1238_REAL,N,0.59167,2.12809,1.98523,1.39356,5,4,12
Sa_a,Austronesian,saaa1240,saaa1240_REAL,N,1.0,1.0,2.0,1.0,2,4,4
Tigak,Austronesian,tiga1245,tiga1245_REAL,N,0.0,0.98523,1.0,1.0,2,2,4
Southwest_Tanna,Austronesian,sout2869,sout2869_REAL,N,0.99679,2.25656,1.46346,0.46667,5,3,7
Maranao_(Lanao_Moro),Austronesian,mara1404,mara1404_REAL,N,0.88654,1.88205,1.88654,1.0,4,4,8
Wiwirano,Austronesian,wiwi1237,wiwi1237_REAL,N,0.0,0.98523,1.0,1.0,2,2,4
Maguindanao_(Magindonao_Moro),Austronesian,magu1243,magu1243_REAL,N,0.81221,1.91613,1.90745,1.09524,5,5,12
Penrhyn_(Tongareva),Austronesian,penr1237,penr1237_REAL,N,0.0,1.95021,1.0,1.0,4,2,8
Sungwaloge_(Nalemba_Edward),Austronesian,mari1426g,mari1426g_REAL,N,0.93211,1.58219,1.93211,1.0,3,4,6
Tolaki,Austronesian,tola1247,tola1247_REAL,N,0.88654,1.18639,1.19089,0.30435,3,3,5
Yabem,Austronesian,yabe1254,yabe1254_REAL,N,1.45091,3.15357,3.14656,1.69565,10,10,32
Yami_Tao_,Austronesian,yami1254,yami1254_REAL,N,0.95854,1.93626,1.93626,0.97772,4,4,8
Merlav,Austronesian,merl1237,merl1237_REAL,N,0.66934,1.2389,1.97703,1.30769,3,5,8
Māori,Austronesian,maor1246,maor1246_REAL,N,0.58497,2.38684,1.9183,1.33333,6,4,14
West_Coast_Bajau,Austronesian,west2560,west2560_REAL,N,0.88654,1.18639,1.88654,1.0,3,4,6
Sungwaloge_(Nalemba_Simeone_Tari),Austronesian,mari1426f,mari1426f_REAL,N,0.93211,1.93002,1.93211,1.0,4,4,8
Tausug_(Sulu_Moro),Austronesian,taus1251,taus1251_REAL,N,1.16281,1.80624,1.89614,0.73333,4,4,7
Tasiko,Austronesian,tasi1237,tasi1237_REAL,N,0.0,1.90689,1.0,1.0,5,2,10
Mussau-Emira,Austronesian,muss1246,muss1246_REAL,N,0.0,0.98523,1.0,1.0,2,2,4
Pampanga_(Kampampangan),Austronesian,pamp1243,pamp1243_REAL,N,0.88962,1.18639,2.03647,1.14685,3,5,8
Sungagage,Austronesian,mari1426i,mari1426i_REAL,N,1.10331,1.9656,1.83664,0.73333,5,4,7
Rade_(Rhade),Austronesian,rade1240,rade1240_REAL,N,0.0,1.75,1.0,1.0,4,2,8
Mekeo,Austronesian,meke1243,meke1243_REAL,N,0.0,0.98523,1.0,1.0,2,2,4
