parameter,word
mM,ina
mF,ama
mMeB,bapa
mFeB,bapa
mMeZ,babu
mFeZ,babu
meZ,kaka
myZ,ali
mMBeS,tüngud
mMByS,tüngud
mMeBS,tüngud
mMyBS,tüngud
mFBeS,tüngud
mFByS,tüngud
mFeBS,tüngud
mFyBS,tüngud
mMZeS,tüngud
mMZyS,tüngud
mMeZS,tüngud
mMyZS,tüngud
mFZeS,tüngud
mFZyS,tüngud
mFeZS,tüngud
mFyZS,tüngud
mMBeD,tüngud
mMByD,tüngud
mMeBD,tüngud
mMyBD,tüngud
mFBeD,tüngud
mFByD,tüngud
mFeBD,tüngud
mFyBD,tüngud
mMZeD,tüngud
mMZyD,tüngud
mMeZD,tüngud
mMyZD,tüngud
mFZeD,tüngud
mFZyD,tüngud
mFeZD,tüngud
mFyZD,tüngud
fF,ama
fMBeS,tüngud
fMeBS,tüngud
fMyBS,tüngud
fFBeS,tüngud
fFeBS,tüngud
fFyBS,tüngud
fMZeS,tüngud
fMeZS,tüngud
fMyZS,tüngud
fFZeS,tüngud
fFeZS,tüngud
fFyZS,tüngud
fMBeD,tüngud
fMeBD,tüngud
fMyBD,tüngud
fFBeD,tüngud
fFeBD,tüngud
fFyBD,tüngud
fMZeD,tüngud
fMeZD,tüngud
fMyZD,tüngud
fFZeD,tüngud
fFeZD,tüngud
fFyZD,tüngud
