parameter,word
mM,tinäu
mF,táman
mMeB,tämau
mFeB,täman
mMeZ,tinau
mFeZ,tinau
meB,täru-te-karimoä
myB,taru-te-kärimwi
meZ,manu-te-karimoä
myZ,manu-te-karimwi
mMBeS,taru-te-karimoa
mMByS,manu-te-karimoa
mFBeS,taru-te-karimoa
mFByS,taru-te-karimwi
mMZeS,täru-te-karimoa
mMZyS,taru-te-karimwi
mFZeS,täru-te-karimoa
mFZyS,taru-te-karimwi
mMBeD,mänu-te-karimoa
mMByD,taru-te-karimwi
mFBeD,mänu-te-karimoa
mMZeD,manu-te-karimoa
mMZyD,tärǔ-te-karimwi
mFZeD,mänu-te-karimoa
mFZyD,mänu-te-karimwi
feB,manu-te-karimoä
feZ,taru-te-karimoä
fyZ,taru-te-karimwi
fMBeS,mänu-te-karimoa
fMByS,taru-te-karimoa
fFBeS,manu-te-karimoa
fFByS,manu-te-karimwi
fMZeS,mänu-te-karimoa
fMZyS,manu-te-karimwi
fFZeS,manu-te-karimoa
fFZyS,manu-te-karimwi
fMBeD,taru-te-karimoa
fFBeD,taru-te-karimoa
fMZeD,taru-te-karimoa
fMZyD,mänu-te-karimwi
fFZeD,taru-te-karimoa
fFZyD,taru-te-karimwi
