parameter,word
mM,iin
mF,saam
mMeB,tattalin saam
mFeB,tattalin saam
mMeZ,tattalin iin
mFeZ,tattalin iin
meZ,mwengeang
mMBeS,tattalin pwiipwi
mMeBS,tattalin pwiipwi
mMyBS,tattalin pwiipwi
mFBeS,tattalin pwiipwi
mFeBS,tattalin pwiipwi
mFyBS,tattalin pwiipwi
mMZeS,tattalin pwiipwi
mMeZS,tattalin pwiipwi
mMyZS,tattalin pwiipwi
mFZeS,tattalin pwiipwi
mFeZS,tattalin pwiipwi
mFyZS,tattalin pwiipwi
mMBeD,tattalin mwengeang
mMeBD,tattalin mwengeang
mMyBD,tattalin mwengeang
mFBeD,tattalin mwengeang
mFeBD,tattalin mwengeang
mFyBD,tattalin mwengeang
mMZeD,tattalin mwengeang
mMeZD,tattalin mwengeang
mMyZD,tattalin mwengeang
mFZeD,tattalin mwengeang
mFeZD,tattalin mwengeang
mFyZD,tattalin mwengeang
feB,mwengeang
feZ,pwiipwi
