parameter,word
mM,naga
mF,mago
mMeB,mogorugu
mFeB,mago
mFyB,mago
meZ,fafnagu
mMBeS,fagu
mMByS,fagu
mMeBS,fagu
mMyBS,fagu
mMZeS,agasugu
mMeZS,agasugu
mMyZS,agasugu
mFZeS,fagu
mFeZS,fagu
mFyZS,fagu
mMBeD,agasugu
mMByD,agasugu
mMeBD,agasugu
mMyBD,agasugu
mFBeD,fafnagu
mFeBD,fafnagu
mFyBD,fafnagu
mMZeD,agasugu
mMeZD,agasugu
mMyZD,agasugu
fF,mago
fFeB,mago
feB,fafnagu
feZ,duagu
fMBeS,fagu
fMeBS,fagu
fMyBS,fagu
fFBeS,fafnagu
fFeBS,fafnagu
fFyBS,fafnagu
fFZyS,fagu
fMBeD,agasugu
fMeBD,agasugu
fMyBD,agasugu
