parameter,word
mM,anuh
mF,taman
mMeB,lolo
mMyB,lolo
mFeB,taman
mFyB,taman
mMeZ,anuh
mMyZ,anuh
mFeZ,miim
mFyZ,miim
meZ,ngkoren
myZ,ngkoren
mMBeS,hivang
mMByS,hivang
mMeBS,hivang
mMyBS,hivang
mFBeS,hivang
mFByS,hivang
mFeBS,hivang
mFyBS,hivang
mMZeS,hivang
mMZyS,hivang
mMeZS,hivang
mMyZS,hivang
mFZeS,hivang
mFZyS,hivang
mFeZS,hivang
mFyZS,hivang
mMBeD,vain
mMByD,vain
mMeBD,vain
mMyBD,vain
mFBeD,vain
mFByD,vain
mFeBD,vain
mFyBD,vain
mMZeD,vain
mMZyD,vain
mMeZD,vain
mMyZD,vain
mFZeD,vain
mFZyD,vain
mFeZD,vain
mFyZD,vain
fM,anuh
fF,taman
fMeB,lolo
fFeB,taman
fMeZ,anuh
fFeZ,miim
feB,suan
fyB,suan
feZ,ngkoren
fMBeS,hivang
fMeBS,hivang
fMyBS,hivang
fFBeS,hivang
fFeBS,hivang
fFyBS,hivang
fMZeS,hivang
fMeZS,hivang
fMyZS,hivang
fFZeS,hivang
fFeZS,hivang
fFyZS,hivang
fMBeD,vain
fMeBD,vain
fMyBD,vain
fFBeD,vain
fFeBD,vain
fFyBD,vain
fMZeD,vain
fMeZD,vain
fMyZD,vain
fFZeD,vain
fFeZD,vain
fFyZD,vain
