parameter,word
mM,metuua vahine
mF,metuua taane
mMeB,metuua taane
mMyB,metuua taane
mFeB,metuua taane
mFyB,metuua taane
mMeZ,metuua vahine
mMyZ,metuua vahine
mFeZ,metuua vahine
mFyZ,metuua vahine
meZ,tauahine
mMBeS,tua'ana
mMByS,teina
mFBeS,tua'ana
mFByS,teina
mMZeS,tua'ana
mMZyS,teina
mFZeS,tua'ana
mFZyS,teina
mMBeD,tauahine
mFBeD,tauahine
mMZeD,tauahine
mFZeD,tauahine
fM,metuua vahine
fF,metuua taane
fMeB,metuua taane
fFeB,metuua taane
fMeZ,metuua vahine
fFeZ,metuua vahine
feB,tu'aane
feZ,tua'ana
fyZ,teina
fMBeS,tu'aane
fFBeS,tu'aane
fMZeS,tu'aane
fFZeS,tu'aane
fMBeD,tua'ana
fMByD,teina
fFBeD,tua'ana
fFByD,teina
fMZeD,tua'ana
fMZyD,teina
fFZeD,tua'ana
fFZyD,teina
