parameter,word
mM,enana
mF,emana
mMeB,epuna
mMyB,epuna
mFeB,emana
mFyB,emana
mMeZ,enana
mFeZ,enana
meZ,kafaisina
mMBeS,wafaisina
mFBeS,wafaisina
mMZeS,wafaisina
mFZeS,wafaisina
mMBeD,kafaisina
mFBeD,kafaisina
mMZeD,kafaisina
mFZeD,kafaisina
fM,enana
fMeB,epuna
fFeB,emana
feB,wafaisina
feZ,kafaisina
fyZ,kafaisina
fMBeS,wafaisina
fMByS,wafaisina
fFBeS,wafaisina
fFByS,wafaisina
fMZeS,wafaisina
fMZyS,wafaisina
fFZeS,wafaisina
fFZyS,wafaisina
fMBeD,kafaisina
fMByD,kafaisina
fFBeD,kafaisina
fFByD,kafaisina
fMZeD,kafaisina
fMZyD,kafaisina
fFZeD,kafaisina
fFZyD,kafaisina
