parameter,word
mM,papa
mF,tira
mMeB,tau-eka
mFeB,tau-eka
mMeZ,matua-wahine
mFeZ,matua-wahine
meZ,tua-ngane
mMBeS,tua-kana
mMByS,teina
mFBeS,tua-kana
mFByS,teina
mMZeS,tua-kana
mMZyS,teina
mFZeS,tua-kana
mFZyS,teina
mMBeD,tua-ngane
mFBeD,tua-ngane
mMZeD,tua-ngane
mFZeD,tua-ngane
feB,tua-hine
feZ,tua-kana
fyZ,teina
fMBeS,tua-hine
fFBeS,tua-hine
fMZeS,tua-hine
fFZeS,tua-hine
fMBeD,tua-kana
fMByD,teina
fFBeD,tua-kana
fFByD,teina
fMZeD,tua-kana
fMZyD,teina
fFZeD,tua-kana
fFZyD,teina
