parameter,word
mM,metua-wahine
mF,metua-tane
mMeB,metua-tane
mFeB,metua-tane
mMeZ,metua-wahine
mFeZ,metua-wahine
meZ,tua-hine
mMBeS,tua-kana
mMByS,teina
mFBeS,tua-kana
mFByS,teina
mMZeS,tua-kana
mMZyS,teina
mFZeS,tua-kana
mFZyS,teina
mMBeD,tua-hine
mFBeD,tua-hine
mMZeD,tua-hine
mFZeD,tua-hine
feB,tua-ngane
feZ,tua-kana
fyZ,teina
fMBeS,tua-ngane
fFBeS,tua-ngane
fMZeS,tua-ngane
fFZeS,tua-ngane
fMBeD,tua-kana
fMByD,teina
fFBeD,tua-kana
fFByD,teina
fMZeD,tua-kana
fMZyD,teina
fFZeD,tua-kana
fFZyD,teina
