parameter,word
mM,oihon'i
mF,oifā
mMeB,oifā
mFeB,oifā
mMeZ,oihoni
mFeZ,oihoni
meB,sasigi mafua
myB,sasigi mokoī
meZ,saghoni
myZ,saghoni mokoī
mMBeS,sasigi
mMeBS,sasigi
mMyBS,sasigi
mFBeS,sasigi
mFeBS,sasigi
mFyBS,sasigi
mMZeS,sasigi
mMeZS,sasigi
mMyZS,sasigi
mFZeS,sasigi
mFeZS,sasigi
mFyZS,sasigi
mMBeD,saghoni
mMeBD,saghoni
mMyBD,saghoni
mFBeD,saghoni
mFeBD,saghoni
mFyBD,saghoni
mMZeD,saghoni
mMeZD,saghoni
mMyZD,saghoni
mFZeD,saghoni
mFeZD,saghoni
mFyZD,saghoni
feB,sag'veveni
fyB,sag'veveni mokoī
feZ,sasigi mafua
fyZ,sasigi mokoī
fMBeS,sag'veveni
fMeBS,sag'veveni
fMyBS,sag'veveni
fFBeS,sag'veveni
fFeBS,sag'veveni
fFyBS,sag'veveni
fMZeS,sag'veveni
fMeZS,sag'veveni
fMyZS,sag'veveni
fFZeS,sag'veveni
fFeZS,sag'veveni
fFyZS,sag'veveni
fMBeD,sasigi
fMeBD,sasigi
fMyBD,sasigi
fFBeD,sasigi
fFeBD,sasigi
fFyBD,sasigi
fMZeD,sasigi
fMeZD,sasigi
fMyZD,sasigi
fFZeD,sasigi
fFeZD,sasigi
fFyZD,sasigi
