parameter,word
mM,ˈᵐbʷau
mF,ˈtata
mMeB,mamou
mFeB,ˈtata
mMeZ,ˈᵐbʷau
mFeZ,ˈraβe ˈkuru
meZ,ɸindi-k
mMBeS,tumtum
mMeBS,tumtum
mMyBS,tumtum
mFBeS,tua-k
mFeBS,tua-k
mFyBS,tua-k
mMZeS,tua-k
mMeZS,tua-k
mMyZS,tua-k
mFZeS,tumtum
mFeZS,tumtum
mFyZS,tumtum
mMBeD,tumtum
mMeBD,tumtum
mMyBD,tumtum
mFBeD,ɸindik
mFeBD,ɸindik
mFyBD,ɸindik
mMZeD,ɸindi-k
mMeZD,ɸindi-k
mMyZD,ɸindi-k
mFZeD,tumtum
mFeZD,tumtum
mFyZD,tumtum
fFeZ,raβe
feB,ɸindi-k
feZ,tua-k
fFBeS,ɸindi-k
fFeBS,ɸindi-k
fFyBS,ɸindi-k
fMZeS,ɸindi-k
fMeZS,ɸindi-k
fMyZS,ɸindi-k
fFBeD,tua-k
fFeBD,tua-k
fFyBD,tua-k
fMZeD,tua-k
fMeZD,tua-k
fMyZD,tua-k
