parameter,word
mM,aunẽ
mF,audẽ
mFeZ,panea
mFyZ,panea
meZ,auhẽřẽ
mMBeS,auvae
mMByS,auvae
mMeBS,auvae
mMyBS,auvae
mFZeS,auvae
mFZyS,auvae
mFeZS,auvae
mFyZS,auvae
mMBeD,auvae
mMByD,auvae
mMeBD,auvae
mMyBD,auvae
mFZeD,auvae
mFZyD,auvae
mFeZD,auvae
mFyZD,auvae
fFeZ,panea
feB,auhẽřẽ
feZ,aušoo
fyZ,auti
fMBeS,auvae
fMeBS,auvae
fMyBS,auvae
fFZeS,auvae
fFeZS,auvae
fFyZS,auvae
fMBeD,auvae
fMeBD,auvae
fMyBD,auvae
fFZeD,auvae
fFeZD,auvae
fFyZD,auvae
