parameter,word
mM,ina'
mF,ama'
mMeB,ito'
mFeB,ito'
mMeZ,mui
mFeZ,mui
meZ,kaka' wēwēnē
myZ,tuari wēwēnē
mMBeS,oki'-nē-mahtuari
mMeBS,oki'-nē-mahtuari
mMyBS,oki'-nē-mahtuari
mFBeS,oki'-nē-mahtuari
mFeBS,oki'-nē-mahtuari
mFyBS,oki'-nē-mahtuari
mMZeS,oki'-nē-mahtuari
mMeZS,oki'-nē-mahtuari
mMyZS,oki'-nē-mahtuari
mFZeS,oki'-nē-mahtuari
mFeZS,oki'-nē-mahtuari
mFyZS,oki'-nē-mahtuari
mMBeD,oki'-nē-mahtuari
mMeBD,oki'-nē-mahtuari
mMyBD,oki'-nē-mahtuari
mFBeD,oki'-nē-mahtuari
mFeBD,oki'-nē-mahtuari
mFyBD,oki'-nē-mahtuari
mMZeD,oki'-nē-mahtuari
mMeZD,oki'-nē-mahtuari
mMyZD,oki'-nē-mahtuari
mFZeD,oki'-nē-mahtuari
mFeZD,oki'-nē-mahtuari
mFyZD,oki'-nē-mahtuari
fMeB,ito'
fMyB,ito'
fFeB,ito'
fFyB,ito'
fMeZ,mui
fMyZ,mui
fFeZ,mui
fFyZ,mui
feB,kaka' tuama
fyB,tuari tuama
