parameter,word
mM,mina
mF,mama
mMeB,sai
mMyB,sai
mFeB,sai
mFyB,sai
mMeZ,baáy
mFeZ,baáy
meZ,duksayan
mMBeS,lagbä
mMeBS,lagbä
mMyBS,lagbä
mFBeS,lagbä
mFeBS,lagbä
mFyBS,lagbä
mMZeS,lagbä
mMeZS,lagbä
mMyZS,lagbä
mFZeS,lagbä
mFeZS,lagbä
mFyZS,lagbä
mMBeD,lagbä
mMeBD,lagbä
mMyBD,lagbä
mFBeD,lagbä
mFeBD,lagbä
mFyBD,lagbä
mMZeD,lagbä
mMeZD,lagbä
mMyZD,lagbä
mFZeD,lagbä
mFeZD,lagbä
mFyZD,lagbä
fMeB,sai
fFeB,sai
feB,duksayan
feZ,duksayan
fyZ,duksayan
