parameter,word
mM,ebel
mF,emen
mMeB,daci
mFeB,daci
mMeZ,unqʼa
mFeZ,unqʼa
meB,wac
myB,hitʼina wac
meZ,yac
myZ,hitʼina yac
mMBeS,yacħal
mMeBS,yacħal
mMyBS,yacħal
mFBeS,yacħal
mFeBS,yacħal
mFyBS,yacħal
mMZeS,yacħal
mMeZS,yacħal
mMyZS,yacħal
mFZeS,yacħal
mFeZS,yacħal
mFyZS,yacħal
mMBeD,yacħal
mMeBD,yacħal
mMyBD,yacħal
mFBeD,yacħal
mFeBD,yacħal
mFyBD,yacħal
mMZeD,yacħal
mMeZD,yacħal
mMyZD,yacħal
mFZeD,yacħal
mFeZD,yacħal
mFyZD,yacħal
