parameter,word
mM,uma
mF,abah
mMeB,dangsanak uma
mFeB,dangsanak abah
mMeZ,dangsanak uma
mFeZ,dangsanak abah
meZ,kaka
myZ,ading
mMBeS,sapupu sekali
mMeBS,sapupu sekali
mMyBS,sapupu sekali
mFBeS,sapupu sekali
mFeBS,sapupu sekali
mFyBS,sapupu sekali
mMZeS,sapupu sekali
mMeZS,sapupu sekali
mMyZS,sapupu sekali
mFZeS,sapupu sekali
mFeZS,sapupu sekali
mFyZS,sapupu sekali
mMBeD,sapupu sekali
mMeBD,sapupu sekali
mMyBD,sapupu sekali
mFBeD,sapupu sekali
mFeBD,sapupu sekali
mFyBD,sapupu sekali
mMZeD,sapupu sekali
mMeZD,sapupu sekali
mMyZD,sapupu sekali
mFZeD,sapupu sekali
mFeZD,sapupu sekali
mFyZD,sapupu sekali
feB,kaka
fyB,ading
