parameter,word
mM,ama
mF,aita
mMeB,osaba
mFeB,osaba
mMeZ,izeko
mFeZ,izeko
meB,anaia
meZ,arreba nagusia
myZ,arreba gaztea
mMBeS,lehengusua
mMeBS,lehengusua
mMyBS,lehengusua
mFBeS,lehengusua
mFeBS,lehengusua
mFyBS,lehengusua
mMZeS,lehengusua
mMeZS,lehengusua
mMyZS,lehengusua
mFZeS,lehengusua
mFeZS,lehengusua
mFyZS,lehengusua
mMBeD,lehengusina
mMeBD,lehengusina
mMyBD,lehengusina
mFBeD,lehengusina
mFeBD,lehengusina
mFyBD,lehengusina
mMZeD,lehengusina
mMeZD,lehengusina
mMyZD,lehengusina
mFZeD,lehengusina
mFeZD,lehengusina
mFyZD,lehengusina
feB,neba nagusia
fyB,neba gatzea
feZ,ahizpa
