parameter,word
mM,nen
mF,mam
mMeB,wajan
mFeB,taman
mMeZ,tinan
mFeZ,nǐmbin
meZ,kak
mMBeS,daowǎlín
mMeBS,daowǎlín
mMyBS,daowǎlín
mFBeS,gei
mFeBS,gei
mFyBS,gei
mMZeS,gei
mMeZS,gei
mMyZS,gei
mFZeS,daowǎlín
mFeZS,daowǎlín
mFyZS,daowǎlín
mMBeD,daowǎlín
mMeBD,daowǎlín
mMyBD,daowǎlín
mFBeD,gei
mFeBD,gei
mFyBD,gei
mMZeD,gei
mMeZD,gei
mMyZD,gei
mFZeD,daowǎlín
mFeZD,daowǎlín
mFyZD,daowǎlín
feB,kak
feZ,kak
fFBeS,gei
fFeBS,gei
fFyBS,gei
fMZeS,gei
fMeZS,gei
fMyZS,gei
fFBeD,gei
fFeBD,gei
fFyBD,gei
fMZeD,gei
fMeZD,gei
fMyZD,gei
