parameter,word
mM,iin
mF,saam
mMeB,saam
mFeB,saam
mMeZ,iin
mFeZ,iin
meZ,feefina-
mMBeS,napa-
mMByS,mwáániinúk
mFBeS,napa-
mFByS,mwáániinúk
mMZeS,napa-
mMZyS,mwáániinúk
mFZeS,napa-
mFZyS,mwáániinúk
mMBeD,feefina-
mFBeD,feefina-
mMZeD,feefina-
mFZeD,feefina-
feB,mwongeya-
feZ,napa-
fyZ,mwáániinúk
fMBeS,mwongeya-
fFBeS,mwongeya-
fMZeS,mwongeya-
fFZeS,mwongeya-
fMBeD,napa-
fMByD,mwáániinúk
fFBeD,napa-
fFByD,mwáániinúk
fMZeD,napa-
fMZyD,mwáániinúk
fFZeD,napa-
fFZyD,mwáániinúk
