parameter,word
mM,amaamak
mF,aappak
mMeB,
mFeB,
mMeZ,
mFeZ,
meB,angayuk
myB,nukaq
meZ,aliqa
myZ,nayak
mMBeS,angak
mMeBS,angak
mMyBS,angak
mFBeS,angak
mFeBS,angak
mFyBS,angak
mMZeS,angak
mMeZS,angak
mMyZS,angak
mFZeS,angak
mFeZS,angak
mFyZS,angak
mMBeD,arnarvik
mMeBD,arnarvik
mMyBD,arnarvik
mFBeD,arnarvik
mFeBD,arnarvik
mFyBD,arnarvik
mMZeD,arnarvik
mMeZD,arnarvik
mMyZD,arnarvik
mFZeD,arnarvik
mFeZD,arnarvik
mFyZD,arnarvik
feB,ani
fyB,aqqaluaq
feZ,angayuk
fyZ,nukaq
