parameter,word
mM,en täy
mF,en tǎkkǎppǎn
mMeB,en mǎmǎn
mFeB,en periya tǎkkǎppǎn
mFyB,en seriya tǎkkǎppǎn
mMeZ,en pěriyǎ täy
mMyZ,en sěriyǎ täy
mFeZ,en attai
meB,en tǎmaiyan
myB,en tambí
meZ,en akkärl
myZ,en tangaichchi
mMBeS,en mǎittǔnǎn
mFBeS,en tǎmaiyan
mFByS,en tambi
mMZeS,en tǎmaiyǎn
mMZyS,en tambi
mFZeS,en attän
mMBeD,en mǎittǔni
mMByD,en mǎittuni
mFBeD,en akkärl
mFByD,en tangaichchi
mMZeD,en akkärl
mMZyD,en tangǎichchi
mFZeD,en mǎittuni
fMBeS,en mǎchchǎn
fFBeS,en tǎmaiyǎn
fFZeS,en mǎchchǎn
fMBeD,en mǎchchärl
fFZeD,en mǎchchi
fFZyD,en mǎchchi
