parameter,word
mM,tsinana
mF,tamana
mMeB,tu'a-tsinana
mFeB,tamana
mMeZ,tsinana
mFeZ,masakitange
meZ,tua-nga'ane
mMBeS,taina
mMeBS,taina
mMyBS,taina
mFBeS,taina
mFeBS,taina
mFyBS,taina
mMZeS,taina
mMeZS,taina
mMyZS,taina
mFZeS,taina
mFeZS,taina
mFyZS,taina
mMBeD,tua-nga'ane
mMeBD,tua-nga'ane
mMyBD,tua-nga'ane
mFBeD,tua-nga'ane
mFeBD,tua-nga'ane
mFyBD,tua-nga'ane
mMZeD,tua-nga'ane
mMeZD,tua-nga'ane
mMyZD,tua-nga'ane
mFZeD,tua-nga'ane
mFeZD,tua-nga'ane
mFyZD,tua-nga'ane
feB,tua-nga'ane
feZ,taina
fMBeS,tua-nga'ane
fMeBS,tua-nga'ane
fMyBS,tua-nga'ane
fFBeS,tua-nga'ane
fFeBS,tua-nga'ane
fFyBS,tua-nga'ane
fMZeS,tua-nga'ane
fMeZS,tua-nga'ane
fMyZS,tua-nga'ane
fFZeS,tua-nga'ane
fFeZS,tua-nga'ane
fFyZS,tua-nga'ane
fMBeD,taina
fMeBD,taina
fMyBD,taina
fFBeD,taina
fFeBD,taina
fFyBD,taina
fMZeD,taina
fMeZD,taina
fMyZD,taina
fFZeD,taina
fFeZD,taina
fFyZD,taina
