parameter,word
mM,AchE am-ma
mF,ME at-ta
meB,ME i-gi
meZ,NE šu-tú
mMBeS,iza: OE i-za
mMeBS,iza: OE i-za
mMyBS,iza: OE i-za
mFBeS,iza: OE i-za
mFeBS,iza: OE i-za
mFyBS,iza: OE i-za
mMZeS,iza: OE i-za
mMeZS,iza: OE i-za
mMyZS,iza: OE i-za
mFZeS,iza: OE i-za
mFeZS,iza: OE i-za
mFyZS,iza: OE i-za
mMBeD,iza: OE i-za
mMeBD,iza: OE i-za
mMyBD,iza: OE i-za
mFBeD,iza: OE i-za
mFeBD,iza: OE i-za
mFyBD,iza: OE i-za
mMZeD,iza: OE i-za
mMeZD,iza: OE i-za
mMyZD,iza: OE i-za
mFZeD,iza: OE i-za
mFeZD,iza: OE i-za
mFyZD,iza: OE i-za
