parameter,word
mM,tinaqu
mF,tamaqu
mMeB,momo
mFeB,tamaqu
mMeZ,tinaqu
mFeZ,ganei
meZ,genequ
mMBeS,tavalequ
mMeBS,tavalequ
mMyBS,tavalequ
mFBeS,karuaqu
mFeBS,karuaqu
mFyBS,karuaqu
mMZeS,karuaqu
mMeZS,karuaqu
mMyZS,karuaqu
mFZeS,tavalequ
mFeZS,tavalequ
mFyZS,tavalequ
mMBeD,davolaqu
mMeBD,davolaqu
mMyBD,davolaqu
mFBeD,karuaqu
mFeBD,karuaqu
mFyBD,karuaqu
mMZeD,karuaqu
mMeZD,karuaqu
mMyZD,karuaqu
mFZeD,davolaqu
mFeZD,davolaqu
mFyZD,davolaqu
feB,ganequ
feZ,tuakaqu
fyZ,taciqu
fMBeS,davolaqu
fMeBS,davolaqu
fMyBS,davolaqu
fFZeS,davolaqu
fFeZS,davolaqu
fFyZS,davolaqu
fMBeD,raivaqu
fMeBD,raivaqu
fMyBD,raivaqu
fFZeD,raivaqu
fFeZD,raivaqu
fFyZD,raivaqu
