parameter,word
mM,yaya
mF,soga
mMeB,kuku
mFeB,baba
mMeZ,yaya
mFeZ,nyinahenga
meB,muwaha
myB,munakwetu
mMBeS,muhizi
mMeBS,muhizi
mMyBS,muhizi
mFeBS,alaba
mFyBS,alaba
mMeZS,alayo
mMyZS,alayo
mFZeS,muhizi
mFeZS,muhizi
mFyZS,muhizi
mMBeD,muhizi
mMeBD,muhizi
mMyBD,muhizi
mFBeD,lumbu
mFeBD,lumbu
mFyBD,lumbu
mMZeD,lumbu
mMeZD,lumbu
mMyZD,lumbu
mFZeD,muhizi
mFeZD,muhizi
mFyZD,muhizi
fB,lumbu
feZ,muwaha
fyZ,munakwetu
fMBeS,lumbu
fMeBS,lumbu
fMyBS,lumbu
fFBeS,lumbu
fFeBS,lumbu
fFyBS,lumbu
fMZeS,lumbu
fMeZS,lumbu
fMyZS,lumbu
fFZeS,lumbu
fFeZS,lumbu
fFyZS,lumbu
fFeBD,alaba
fFyBD,alaba
fMeZD,alayo
fMyZD,alayo
