parameter,word
mM,mâ:we
mF,tâ:ta
mMeB,malûmi
mFeB,tá:t'ento
mMeZ,má:(w)'énto
mFeZ,tá(:)t'énkåzi
meB,mukúlu wange
myB,mutó wange
meZ,mukúlu wange
myZ,mutó wange
mMBeS,malûmi
mMeBS,malûmi
mMyBS,malûmi
mFBeS,omulúmuna
mFeBS,omulúmuna
mFyBS,omulúmuna
mMZeS,omulúmuna
mMeZS,omulúmuna
mMyZS,omulúmuna
mFZeS,omwi:wa
mFeZS,omwi:wa
mFyZS,omwi:wa
mMBeD,ma:wento
mMeBD,ma:wento
mMyBD,ma:wento
mFBeD,omulúmuna
mFeBD,omulúmuna
mFyBD,omulúmuna
mMZeD,omulúmuna
mMeZD,omulúmuna
mMyZD,omulúmuna
mFZeD,omwi:wa
mFeZD,omwi:wa
mFyZD,omwi:wa
