parameter,word
mM,mama
mF,tate
mMeB,o-honini
mMyB,o-nguende
mFeB,honini
mFyB,inyangu
mFeZ,o-hongaze
meB,erumbi
myB,omwangu
meZ,e-rumbi
myZ,omu-angu
mMBeS,omu-sia
mMeBS,omu-sia
mMyBS,omu-sia
mFBeS,omu-sia
mFeBS,omu-sia
mFyBS,omu-sia
mMZeS,omu-sia
mMeZS,omu-sia
mMyZS,omu-sia
mFZeS,omu-sia
mFeZS,omu-sia
mFyZS,omu-sia
mMBeD,omu-sia
mMeBD,omu-sia
mMyBD,omu-sia
mFBeD,omu-sia
mFeBD,omu-sia
mFyBD,omu-sia
mMZeD,omu-sia
mMeZD,omu-sia
mMyZD,omu-sia
mFZeD,omu-sia
mFeZD,omu-sia
mFyZD,omu-sia
feB,e-rumbi
fyB,omu-angu
feZ,erumbi
fyZ,omwangu
